Годы,"Число больничных учреждений, тыс.","Число больничных коек всего, тыс.",Число больничных коек на 10 тыс.,"Число врачебных амбулаторно-поликлинических учреждений, тыс.","Скорая медицинская помощь, число станций (отделений)",обеспеченность населения врачами на 10 тыс.,Санатории и учреждения отдыха (без 1-2х дневных)
1914,3.2,133,,3.9,,,
1918,,109,,,,,
1940,,482,43.3,20.5,,8.2,
1941,8.5,482,,20.5,,,
1960,14.3,990.9,82.1,21.9,,,
1965,,,,,,24.8,
1966,13.8,1241.1,,19.8,,,
1970,13.8,1469.3,112.5,19.9,,29,
1971,13.8,1469.3,,19.9,,,
1975,,,,,,34.8,
1976,13.1,1649.2,,18.9,,35.8,
1977,12.9,1685.8,,18.9,,,
1980,12.5,1801.9,129.6,18.7,2325,,
1985,12.5,,,19.4,,,
1986,12.6,1962.2,135.2,19.9,2840,,7355
