Годы,"Число больничных организаций, тыс.","Число больничных коек, всего","Число больничных коек, на 10 тыс.","Число врачебных амбулаторно-поликлинических организаций, тыс.","Мощность врачебных амбулаторно-поликлинических организаций, посещений в смену",Мощность на 10 тыс.
2002,10.3,1619.7,112.6,21.4,3565.2,247.8
2003,10.1,1596.6,111.5,21.5,3557.8,248.4
2004,9.8,1600.7,112.2,22.1,3577.5,250.8
2005,9.5,1575.4,110.9,21.8,3637.9,256.0
2006,7.5,1553.6,109.0,18.8,3646.2,255.2
2007,6.8,1521.7,106.6,18.3,3673.9,257.4
2008,6.5,1398.5,98.0,15.5,3651.0,255.8
2009,6.5,1373.4,96.2,15.3,3657.2,256.0
2010,6.3,1339.5,93.8,15.7,3685.4,258.0
2011,6.3,1347.1,94.2,16.3,3727.7,260.6
2012,6.2,1332.3,92.9,16.5,3780.4,263.7
2013,5.9,1301.9,90.6,16.5,3799.4,264.5
2014,5.6,1266.8,86.6,17.1,3858.5,263.8
2015,5.4,1222.0,83.4,18.6,3861.0,263.5
2016,5.4,1197.2,81.6,19.1,3914.2,266.6
