Республика Татарстан (Татарстан),Сумма,Агрызская,Азнакаевская,Азнакаевская городская,Аксубаевская,Актанышская,Алексеевская,Алькеевская,Альметьевская,Альметьевская городская,Апастовская,Арская,Атнинская,Бавлинская,Бавлинская городская,Балтасинская,Бугульминская,Бугульминская городская,Буинская,Буинская городская,Верхнеуслонская,Высокогорская,Дрожжановская,Елабужская,Елабужская городская,Заинская,Заинская городская,Зеленодольская,Зеленодольская городская,"Казань, Авиастроительная","Казань, Вахитовская","Казань, Кировская","Казань, Московская","Казань, Ново-Савиновская","Казань, Приволжская","Казань, Советская",Кайбицкая,Камско-Устьинская,Кукморская,Лаишевская,Лениногорская,Лениногорская городская,Мамадышская,Менделеевская,Мензелинская,Муслюмовская,"Набережные Челны, Автозаводская","Набережные Челны, Комсомольская","Набережные Челны, Центральная",Нижнекамская,Нижнекамская городская,Новошешминская,Нурлатская,Нурлатская городская,Пестречинская,Рыбно-Слободская,Сабинская,Сармановская,Спасская,Тетюшская,Тукаевская,Тюлячинская,Черемшанская,Чистопольская,Чистопольская городская,Ютазинская
"избирателей, включенных в список избирателей",2919482,24517,21980,26884,21654,22658,19625,14857,37724,110901,15546,39493,10167,9901,16294,25592,16519,65141,17981,16132,14928,37873,17715,8865,52053,10947,30593,50631,76769,91018,67621,86725,96727,171013,197343,233768,9917,13094,39356,32946,16471,47187,32987,21666,21901,16279,121842,103846,143850,28880,171641,11166,16944,26595,27125,20926,24518,27238,14251,16528,31137,10687,14557,13556,47444,16792
"изб.бюллетеней, полученных участковой избирательной комиссией",2802989,24242,22766,27646,22557,22898,19903,15200,37296,95600,15850,39852,11689,10250,16683,26131,17007,60630,18658,16664,13970,37706,18763,8750,51897,10773,31000,50346,76692,74550,56477,80200,92327,155280,174884,189646,10335,13273,39386,33036,16700,48920,33888,21948,22042,16028,118480,100630,156500,28982,173150,11437,17337,27202,27352,21287,24585,27430,15350,18217,30748,10962,14990,13735,47120,17156
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",2155833,20930,15982,18753,19870,20761,17842,12906,30578,81800,14575,35480,9301,8447,12247,22689,14596,52960,16050,12694,11641,30480,16734,8133,41560,9984,26391,40632,50310,55540,40157,52455,59783,103196,113252,136801,9011,11658,31543,29421,14528,39120,28700,17877,19764,14802,91409,80734,108510,21210,120307,9981,16046,22404,24665,19690,22320,25349,12443,13687,27261,10169,13515,11990,36638,15571
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",104476,1140,1441,1200,1146,1378,837,1392,1704,3048,781,2252,686,852,756,1710,849,2585,1030,794,1132,2035,658,476,1843,269,409,2093,3079,2345,1457,1671,1993,2711,4461,4574,743,910,2838,1662,1128,1593,1665,937,1447,866,3741,3823,4879,1877,2979,549,618,625,1547,868,1616,519,718,1799,2030,424,780,959,2963,586
"изб.бюллетеней, погашенных",542680,2172,5343,7693,1541,759,1224,902,5014,10752,494,2120,1702,951,3680,1732,1562,5085,1578,3176,1197,5191,1371,141,8494,520,4200,7621,23303,16665,14863,26074,30551,49373,57171,48271,581,705,5005,1953,1044,8207,3523,3134,831,360,23330,16073,43111,5895,49864,907,673,4173,1140,729,649,1562,2189,2731,1457,369,695,786,7519,999
"изб.бюллетеней, в переносных ящиках для голосования",104450,1140,1441,1199,1145,1374,837,1392,1704,3048,781,2252,686,852,756,1710,849,2585,1030,794,1132,2035,658,476,1843,269,408,2093,3079,2345,1455,1671,1993,2711,4459,4574,743,910,2838,1661,1128,1593,1665,935,1447,866,3741,3823,4879,1877,2979,549,618,624,1547,868,1613,519,718,1795,2028,424,780,959,2961,586
"изб.бюллетеней, в стационарных ящиках для голосования",2154215,20920,15982,18753,19869,20735,17841,12906,30571,81797,14566,35477,9300,8447,12220,22667,14591,52926,16045,12692,11639,30479,16733,8133,41556,9984,26359,40631,50309,55461,40117,52432,59740,102951,113065,136620,9011,11658,31529,29412,14527,39061,28700,17867,19727,14795,91317,80622,108481,21199,120256,9981,16046,22389,24664,19686,22320,25338,12443,13677,27208,10169,13511,11987,36549,15571
"изб.бюллетеней, недействительных",18045,149,204,215,11,27,45,82,356,487,161,20,160,45,158,65,47,318,133,77,138,183,35,5,237,24,108,362,664,903,522,707,873,1611,1563,1665,17,41,144,81,37,163,77,63,5,35,741,536,946,116,1794,30,0,28,46,91,24,60,34,67,82,81,48,30,210,58
"изб.бюллетеней, действительных",2240620,21911,17219,19737,21003,22082,18633,14216,31919,84358,15186,37709,9826,9254,12818,24312,15393,55193,16942,13409,12633,32331,17356,8604,43162,10229,26659,42362,52724,56903,41050,53396,60860,104051,115961,139529,9737,12527,34223,30992,15618,40491,30288,18739,21169,15626,94317,83909,112414,22960,121441,10500,16664,22985,26165,20463,23909,25797,13127,15405,29154,10512,14243,12916,39300,16099
