Алтайский край,Сумма,Алейская,Алейская городская,Алтайская,Баевская,"Барнаул, Железнодорожная","Барнаул, Индустриальная","Барнаул, Ленинская","Барнаул, Октябрьская","Барнаул, Центральная",Белокурихинская городская,"Бийск, Восточная","Бийск, Приобская",Бийская,Благовещенская,Бурлинская,Быстроистокская,Волчихинская,Егорьевская,Ельцовская,Завьяловская,Залесовская,Заринская,Заринская городская,Змеиногорская,Зональная,Калманская,Каменская,Ключевская,Косихинская,Красногорская,Краснощековская,Крутихинская,Кулундинская,Курьинская,Кытмановская,Локтевская,Мамонтовская,Михайловская,Немецкая,Новичихинская,Новоалтайская городская,Павловская,Панкрушихинская,Первомайская,Петропавловская,Поспелихинская,Ребрихинская,Родинская,Романовская,Рубцовская,Рубцовская городская,Сибирская городская,Славгородская городская,Смоленская,Советская,Солонешенская,Солтонская,Суетская,Табунская,Тальменская,Тогульская,Топчихинская,Третьяковская,Троицкая,Тюменцевская,Угловская,Усть-Калманская,Усть-Пристанская,Хабарская,Целинная,Чарышская,Шелаболихинская,Шипуновская,Яровская городская
"избирателей, включенных в список избирателей",1822203,12191,21318,19418,7975,78348,168777,107937,75858,101491,13871,80133,84119,27482,22244,8285,7424,14318,10202,4768,14489,11453,12658,36476,16072,15060,11140,38162,13081,13950,12020,13223,8389,16147,8314,10099,20001,17161,15873,12281,7619,57703,32582,9805,39715,9237,18819,18158,13310,9845,17146,101070,8260,31041,19361,12508,7152,6601,3453,6862,33314,6404,17612,10225,19080,10485,9488,11739,10314,12690,12683,9284,10292,23060,13078
"изб.бюллетеней, полученных участковой избирательной комиссией",1650783,12190,19400,19870,7970,69150,131180,90900,66200,81600,11650,75000,79700,21460,22960,7840,7200,12210,10250,4850,13300,10100,12575,34698,13700,14500,10530,32640,13650,12150,10415,14070,8480,15390,8650,10815,15550,15000,13550,11700,7230,50700,31100,9050,39620,9000,14370,16000,16450,10600,16250,99760,8000,25320,19550,10300,5610,6880,3200,7345,33950,6770,16490,9450,17600,9800,8120,10740,7684,12070,12840,9250,11050,23591,12000
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1106745,9054,13192,11456,4746,48087,107537,66263,46490,59931,9430,43661,48634,16369,14054,5034,4251,8864,5515,2960,9748,6461,8973,22152,9617,8690,6222,22429,7929,7982,7238,8566,4816,11722,5014,6637,11411,10824,9074,7809,4954,35816,20534,5795,22837,5650,11519,10539,9768,6430,10966,59748,5298,16338,11047,7776,4118,4023,2297,4281,20283,4039,10815,6441,11421,6908,5594,6663,5748,7729,8345,5716,6579,13785,8103
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",84824,1197,848,1230,687,2324,2984,2714,2047,3834,259,2257,1537,1169,1239,515,632,863,914,475,1189,548,878,1444,795,791,653,1878,1002,808,749,1776,674,1138,610,812,1445,1201,650,350,504,1496,1700,906,1709,712,1152,1484,1843,752,1802,3286,1308,1532,870,790,608,546,324,461,2322,657,1156,509,1547,628,623,767,775,818,1077,621,704,1281,438
"изб.бюллетеней, погашенных",459153,1939,5360,7184,2537,18739,20659,21923,17663,17835,1961,29082,29529,3922,7667,2291,2317,2483,3821,1411,2363,3091,2724,11102,3287,5019,3655,8333,4719,3360,2428,3672,2990,2530,3026,3366,2694,2975,3826,3541,1772,13388,8866,2349,15074,2638,1699,3977,4839,3418,3482,36726,1394,7450,7633,1734,884,2311,579,2603,11345,2074,4519,2500,4632,2264,1903,3310,1161,3523,3418,2913,3767,8525,3459
"изб.бюллетеней, в переносных ящиках для голосования",84869,1197,848,1230,687,2323,2971,2714,2047,3832,259,2257,1537,1169,1239,515,632,863,914,479,1189,548,878,1444,796,792,653,1878,1002,808,749,1832,674,1138,610,812,1445,1201,650,350,504,1496,1700,906,1709,712,1152,1484,1843,751,1802,3286,1308,1532,870,790,608,546,324,461,2322,657,1156,509,1547,628,623,767,775,818,1077,621,704,1281,438
"изб.бюллетеней, в стационарных ящиках для голосования",1106390,9052,13154,11456,4746,48081,107515,66215,46468,59922,9427,43659,48632,16368,14053,5034,4250,8864,5514,2956,9746,6460,8973,22147,9617,8686,6221,22427,7814,7982,7238,8566,4816,11721,5014,6637,11411,10824,9067,7809,4953,35808,20530,5795,22836,5649,11517,10539,9768,6430,10965,59735,5297,16332,11047,7775,4116,4021,2297,4281,20280,4039,10815,6441,11420,6908,5593,6663,5748,7728,8344,5715,6578,13784,8101
"изб.бюллетеней, недействительных",14203,122,185,125,59,579,1210,809,611,807,130,522,559,177,183,70,48,106,67,52,160,53,97,290,136,124,122,264,108,90,73,94,62,153,72,69,193,132,115,125,62,474,333,73,360,55,128,105,157,91,162,769,86,218,140,90,57,46,28,44,312,52,137,95,148,103,38,72,82,101,129,106,111,166,120
"изб.бюллетеней, действительных",1177056,10127,13817,12561,5374,49825,109276,68120,47904,62947,9556,45394,49610,17360,15109,5479,4834,9621,6361,3383,10775,6955,9754,23301,10277,9354,6752,24041,8708,8700,7914,10304,5428,12706,5552,7380,12663,11893,9602,8034,5395,36830,21897,6628,24185,6306,12541,11918,11454,7090,12605,62252,6519,17646,11777,8475,4667,4521,2593,4698,22290,4644,11834,6855,12819,7433,6178,7358,6441,8445,9292,6230,7171,14899,8419
