Амурская область,Сумма,Архаринского района,Белогорского района,города Белогорск,Благовещенского района,города Благовещенск,Бурейского района,Завитинского района,Зейского района,города Зея,Ивановского района,Константиновского района,Магдагачинского района,Мазановского района,Михайловского района,Октябрьского района,города Райчихинск,Ромненского района,Свободненского района,города Свободный,Селемджинского района,Серышевского района,Сковородинского района,Тамбовского района,Тындинского района,города Тында,ЗАТО Циолковский,Шимановского района,города Шимановск,рабочего поселка (п.г.т.) Прогресс
"избирателей, включенных в список избирателей",635083,12648,13962,54266,21170,172714,18369,12397,13359,18643,18647,9813,18162,9768,10820,14842,16752,7320,12324,40378,9135,18411,21321,18368,11212,26201,3949,4630,14731,10771
"изб.бюллетеней, полученных участковой избирательной комиссией",578918,12700,13193,42600,19260,141866,17550,10304,13285,19100,18730,10180,16803,10083,11203,13680,15665,7580,11795,36655,8427,18777,19950,18091,10827,26177,3858,4658,14700,11221
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3498,0,0,0,0,0,0,0,422,0,0,0,399,35,0,0,0,0,367,0,227,0,277,0,1696,0,0,75,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",365862,6506,8089,31211,11814,98979,10036,6937,7124,11255,10813,6614,9781,5521,6501,9853,8364,4734,7950,22524,5404,11465,11430,11411,6996,14432,3000,3314,8328,5476
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",25321,1254,521,1179,700,3528,888,581,877,1179,988,381,1043,567,746,764,711,457,756,1386,296,1481,1293,834,391,460,50,520,1081,409
"изб.бюллетеней, погашенных",184237,4940,4583,10210,6746,39359,6626,2786,4862,6666,6929,3185,5580,3960,3956,3063,6590,2389,2722,12745,2500,5831,6950,5846,1744,11285,808,749,5291,5336
"изб.бюллетеней, в переносных ящиках для голосования",28810,1254,521,1179,700,3519,888,581,1299,1179,988,381,1442,602,746,764,711,457,1123,1386,523,1481,1570,834,2087,460,50,595,1081,409
"изб.бюллетеней, в стационарных ящиках для голосования",365743,6506,8089,31201,11808,98905,10036,6937,7123,11255,10810,6613,9778,5521,6501,9852,8360,4734,7950,22518,5404,11464,11428,11411,6996,14427,3000,3314,8327,5475
"изб.бюллетеней, недействительных",5383,129,134,465,175,1049,172,106,101,197,138,95,255,103,114,132,148,59,185,341,81,157,161,163,171,189,53,54,146,110
"изб.бюллетеней, действительных",389170,7631,8476,31915,12333,101375,10752,7412,8321,12237,11660,6899,10965,6020,7133,10484,8923,5132,8888,23563,5846,12788,12837,12082,8912,14698,2997,3855,9262,5774
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2358,48,59,184,91,650,80,54,36,100,67,41,55,40,39,53,77,33,44,130,21,58,64,55,63,58,17,22,73,46
Грудинин,73485,1277,1325,6945,2257,19907,2697,1433,1249,2740,1882,946,2332,806,1176,1492,2003,580,1380,5565,1168,2097,2305,1506,1015,2956,589,487,2080,1290
Жириновский,37909,815,847,3451,969,7614,1276,759,1125,1241,981,695,1441,594,656,1009,1007,502,963,2347,823,1409,1663,1019,889,1350,324,459,1046,635
Путин,264493,5314,6088,20436,8702,69301,6430,4987,5704,7727,8521,5101,6914,4449,5134,7710,5580,3919,6288,14828,3695,8985,8499,9314,6699,9965,1973,2775,5791,3664
Собчак,4428,48,44,389,122,1781,78,51,67,174,89,43,77,50,50,97,96,31,88,278,52,89,99,67,94,145,32,43,111,43
Сурайкин,2466,60,54,193,69,591,95,72,57,119,52,37,62,40,48,47,77,27,55,137,39,68,94,56,67,88,21,24,69,48
Титов,2080,38,32,159,76,717,61,37,57,62,42,21,35,24,13,42,46,19,38,134,22,53,66,33,44,71,22,29,58,29
Явлинский,1951,31,27,158,47,814,35,19,26,74,26,15,49,17,17,34,37,21,32,144,26,29,47,32,41,65,19,16,34,19
