Архангельская область,Сумма,"Архангельск, Исакогорская","Архангельск, Ломоносовская","Архангельск, Октябрьская","Архангельск, Соломбальская","Архангельск, Южная",Коряжемская городская,Котласская городская,Мирнинская городская,Новодвинская городская,Новая Земля,Северодвинская городская № 1,Северодвинская городская № 2,Вельская,Верхнетоемская,Вилегодская,Виноградовская,Каргопольская,Коношская,Котласская,Красноборская,Ленская,Лешуконская,Мезенская,Няндомская,Онежская,Пинежская,Плесецкая,Приморская,Устьянская,Холмогорская,Шенкурская
"избирателей, включенных в список избирателей",914218,26646,53356,66689,62929,61909,30019,57388,19376,30615,1957,75330,73632,43024,14160,9187,13877,14936,18910,15619,11317,10615,6957,8817,23124,25929,21723,35107,24146,24605,20056,12263
"изб.бюллетеней, полученных участковой избирательной комиссией",884150,24000,53771,64131,64002,60874,28000,54400,18320,30000,4701,75573,74950,41763,14500,7800,13650,14690,19000,12700,10900,10890,6460,9000,19200,26700,22000,29800,21575,24730,15070,11000
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3942,0,0,0,0,0,0,0,0,0,289,0,0,43,571,58,77,4,0,26,0,0,207,341,215,268,103,847,118,556,86,133
"изб.бюллетеней, выданных в помещении для голосования в день голосования",514021,12988,31277,39532,32525,34587,18075,35915,14645,18572,1635,48978,46230,22651,5875,5094,6661,8047,10215,8081,5960,5938,3157,4231,11828,12254,10767,16718,13446,12085,10156,5898
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",23229,379,671,1190,852,697,486,1067,168,307,29,811,834,1893,625,787,719,727,683,979,628,548,235,451,895,862,877,1119,1107,1001,950,652
"изб.бюллетеней, погашенных",342958,10633,21823,23409,30625,25590,9439,17418,3507,11121,2748,25784,27886,17176,7429,1861,6193,5912,8102,3614,4312,4404,2861,3977,6262,13316,10253,11116,6904,11088,3878,4317
"изб.бюллетеней, в переносных ящиках для голосования",27168,379,670,1188,852,697,486,1067,168,307,318,811,834,1936,1196,845,796,731,683,1005,628,548,442,792,1110,1130,980,1966,1225,1557,1036,785
"изб.бюллетеней, в стационарных ящиках для голосования",513794,12986,31265,39513,32518,34584,18064,35899,14641,18548,1635,48927,46167,22650,5875,5094,6661,8047,10215,8081,5958,5937,3156,4231,11828,12252,10764,16715,13446,12084,10155,5898
"изб.бюллетеней, недействительных",4880,116,277,378,310,356,252,373,169,185,10,439,416,216,34,57,46,69,86,76,57,74,10,41,108,119,71,185,119,81,109,41
"изб.бюллетеней, действительных",536082,13249,31658,40323,33060,34925,18298,36593,14640,18670,1943,49299,46585,24370,7037,5882,7411,8709,10812,9010,6529,6411,3588,4982,12830,13263,11673,18496,14552,13560,11082,6642
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4448,92,325,432,257,306,158,295,63,123,2,388,356,189,73,48,49,91,68,65,80,50,20,49,79,123,111,188,125,92,93,58
Грудинин,51868,1056,3448,4364,3061,3443,2096,4336,1203,1638,32,4399,3969,2894,545,710,764,901,968,990,647,631,224,451,1149,1077,648,2052,1163,1297,1020,692
Жириновский,46925,1254,2233,2809,2985,2793,2001,3599,805,1935,134,3061,3263,2595,816,580,658,916,1029,910,720,669,331,555,1256,1563,1164,1784,1425,1227,1158,697
Путин,407190,10302,23045,29507,24794,26316,13149,26688,12143,14088,1746,38967,36763,17712,5366,4375,5725,6527,8452,6722,4898,4860,2945,3743,9862,10053,9417,13766,11248,10564,8460,4987
Собчак,10588,230,1100,1410,827,906,371,725,183,362,15,1011,929,352,92,70,75,94,120,143,70,78,24,62,189,161,107,247,263,128,158,86
Сурайкин,3842,90,197,282,226,247,118,299,81,137,7,339,317,207,59,35,45,70,77,72,41,36,18,54,98,106,88,186,92,105,72,41
Титов,4982,88,499,619,371,358,199,357,86,154,5,445,408,215,47,30,58,64,45,73,46,35,15,49,110,99,76,150,103,68,57,53
Явлинский,6239,137,811,900,539,556,206,294,76,233,2,689,580,206,39,34,37,46,53,35,27,52,11,19,87,81,62,123,133,79,64,28
