Белгородская область,Сумма,Алексеевская,Белгородская районная,Белгородская городская,Борисовская,Валуйская,Вейделевская,Волоконовская,Грайворонская,Губкинская,Ивнянская,Корочанская,Красненская,Красногвардейская,Краснояружская,Новооскольская,Прохоровская,Ракитянская,Ровеньская,Старооскольская,Чернянская,Шебекинская,Яковлевская
"избирателей, включенных в список избирателей",1218896,49873,111891,288165,20185,55431,16951,25357,21634,81574,18146,30378,9761,29299,11483,33514,21655,25845,17918,206741,24286,70486,48323
"изб.бюллетеней, полученных участковой избирательной комиссией",1162467,49407,105116,254156,20181,54881,17810,25885,21715,81000,17730,30820,10011,29500,11800,33008,22430,26930,16640,195043,24500,67800,46104
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",806610,39780,72033,177862,16157,39362,12735,19368,16357,53313,13118,22321,7226,18824,8614,24439,15459,21010,11495,121929,19339,41545,34324
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",86165,4150,7688,9933,1860,3903,2130,2839,2250,5976,2277,3564,1488,3432,1421,3337,3124,2813,2105,8582,2596,7068,3629
"изб.бюллетеней, погашенных",269692,5477,25395,66361,2164,11616,2945,3678,3108,21711,2335,4935,1297,7244,1765,5232,3847,3107,3040,64532,2565,19187,8151
"изб.бюллетеней, в переносных ящиках для голосования",86165,4150,7688,9933,1860,3903,2130,2839,2250,5976,2277,3564,1488,3432,1421,3337,3124,2813,2105,8582,2596,7068,3629
"изб.бюллетеней, в стационарных ящиках для голосования",806269,39778,72031,177656,16157,39277,12735,19368,16357,53312,13118,22321,7226,18824,8614,24439,15459,21010,11495,121891,19339,41540,34322
"изб.бюллетеней, недействительных",8749,178,820,1836,241,395,55,339,124,604,142,266,55,174,105,185,131,150,126,1635,194,529,465
"изб.бюллетеней, действительных",883685,43750,78899,185753,17776,42785,14810,21868,18483,58684,15253,25619,8659,22082,9930,27591,18452,23673,13474,128838,21741,48079,37486
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,5218,143,498,1510,57,193,47,88,70,348,56,144,25,125,44,119,81,86,75,895,95,316,203
Грудинин,93102,3649,8154,21309,1184,4244,970,1814,1081,7655,1037,2488,549,2418,964,1933,1400,1311,1882,17478,1726,6208,3648
Жириновский,49685,1446,4956,11214,749,2908,479,1407,721,3569,501,1585,350,1717,642,924,821,750,837,7369,986,3348,2406
Путин,711392,37937,62899,143593,15497,34636,13134,18247,16314,45557,13460,20857,7606,17404,8094,24219,15864,21202,10441,98678,18586,36852,30315
Собчак,8474,195,858,2962,121,271,48,92,126,573,56,186,33,119,56,109,104,99,77,1545,102,450,292
Сурайкин,6534,196,534,1649,87,287,81,128,79,460,72,176,57,156,63,158,92,96,90,1263,107,433,270
Титов,4835,114,543,1658,48,146,25,56,60,285,48,97,22,84,40,79,48,62,35,820,91,268,206
Явлинский,4445,70,457,1858,33,100,26,36,32,237,23,86,17,59,27,50,42,67,37,790,48,204,146
