Владимирская область,Сумма,"Владимир, Ленинская","Владимир, Октябрьская","Владимир, Фрунзенская",Гусь-Хрустальная городская,Ковровская городская,Муром округ,Радужная городская,Александровская,Вязниковская,Гороховецкая,Гусь-Хрустальная,Камешковская,Киржачская,Ковровская,Кольчугинская,Меленковская,Муромская,Петушинская,Селивановская,Собинская,Судогодская,Суздальская,Юрьев-Польская
"избирателей, включенных в список избирателей",1141236,102683,86825,89042,53127,114459,101105,13720,90259,63361,17125,34145,24759,33920,23137,44182,28191,13180,52314,15197,46423,31345,35925,26812
"изб.бюллетеней, полученных участковой избирательной комиссией",1066871,92369,79538,71376,42417,112166,100400,9803,85430,63460,17880,32153,24280,31480,21160,43350,27120,12560,50517,15225,45435,30005,31622,27125
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",678717,63686,53660,56062,31009,74473,66105,9556,48425,32494,10855,18079,13547,18641,14727,25110,16515,7775,28710,8193,26052,17572,21492,15979
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",63247,3296,3459,3001,1836,3283,4818,247,3688,5824,2249,3728,2493,1432,2179,2749,3546,1499,2193,1659,3478,1983,2088,2519
"изб.бюллетеней, погашенных",324907,25387,22419,12313,9572,34410,29477,0,33317,25142,4776,10346,8240,11407,4254,15491,7059,3286,19614,5373,15905,10450,8042,8627
"изб.бюллетеней, в переносных ящиках для голосования",63241,3296,3458,3001,1833,3283,4818,246,3688,5824,2249,3728,2493,1432,2179,2749,3546,1499,2193,1659,3478,1983,2088,2518
"изб.бюллетеней, в стационарных ящиках для голосования",678160,63629,53585,55917,30986,74462,65934,9513,48421,32491,10855,18078,13547,18639,14727,25107,16514,7775,28706,8193,26044,17572,21487,15978
"изб.бюллетеней, недействительных",9351,777,967,610,268,995,805,128,721,371,176,237,216,270,203,339,235,98,737,115,432,198,258,195
"изб.бюллетеней, действительных",732050,66148,56076,58308,32551,76750,69947,9631,51388,37944,12928,21569,15824,19801,16703,27517,19825,9176,30162,9737,29090,19357,23317,18301
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,5440,594,484,487,186,547,539,95,349,249,93,126,109,170,102,227,135,70,203,56,214,117,174,114
Грудинин,93649,9364,7212,7293,3843,8694,8874,1420,6831,4598,1702,2417,1868,2890,1783,4514,2533,1067,3622,1384,3664,2787,2806,2483
Жириновский,58822,4612,4038,4325,2646,5770,5795,604,3582,3583,1058,2117,1410,1505,1413,2498,1888,758,2208,1007,2691,1636,1874,1804
Путин,546042,47725,41062,43198,24876,58486,52057,7139,38967,28524,9763,16472,11970,14484,12891,19238,14816,7037,23079,7042,21778,14350,17641,13447
Собчак,10777,1577,1265,1224,402,1214,1069,129,625,323,113,141,174,257,180,375,150,89,404,83,288,175,342,178
Сурайкин,5075,465,396,384,164,635,564,68,339,268,72,110,107,186,128,202,118,68,214,74,154,112,132,115
Титов,6098,844,691,645,230,691,534,91,367,226,73,113,100,182,122,237,104,48,217,46,163,96,183,95
Явлинский,6147,967,928,752,204,713,515,85,328,173,54,73,86,127,84,226,81,39,215,45,138,84,165,65
