Волгоградская область,Сумма,Алексеевская,Быковская,"Волгоград, Ворошиловская","Волгоград, Дзержинская","Волгоград, Кировская","Волгоград, Красноармейская","Волгоград, Краснооктябрьская","Волгоград, Советская","Волгоград, Тракторозаводская","Волгоград, Центральная",Волжская городская,Городищенская,Даниловская,Дубовская,Еланская,Жирновская,Иловлинская,Калачевская,Камышинская,Камышинская городская,Киквидзенская,Клетская,Котельниковская,Котовская,Кумылженская,Ленинская,Михайловская,Михайловская городская,Нехаевская,Николаевская,Новоаннинская,Новониколаевская,Октябрьская,Ольховская,Палласовская,Руднянская,Светлоярская,Серафимовичская,Среднеахтубинская,Старополтавская,Суровикинская,Урюпинская,Урюпинская городская,Фроловская,Фроловская городская,Чернышковская
"избирателей, включенных в список избирателей",1761088,12347,19212,56176,126237,66424,111966,99081,77079,97426,54093,208690,49253,11916,20031,22449,30743,21734,43282,29198,71661,11408,12380,25490,25070,14519,20424,17307,43783,10938,18377,26677,17002,15425,12374,27869,11865,28269,15493,40255,14576,25125,18608,28064,10674,27912,12206
"изб.бюллетеней, полученных участковой избирательной комиссией",1768147,12804,20726,52150,124182,63634,98110,114800,73750,95200,51922,202900,48550,10240,21505,24327,31609,20880,44160,28570,78900,11325,13250,25283,25763,14750,21888,18520,40100,11322,23705,27810,16195,16805,13521,31127,12997,29205,17455,42350,15757,23509,19400,29700,11269,23612,12610
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1062296,7230,9431,33433,82914,39582,67784,64189,50605,54849,36503,125613,26475,6514,11799,13475,21426,14293,23280,15994,50312,7268,7066,14889,13642,7363,11086,9841,24094,7676,12114,14007,10134,8739,6577,14530,6706,18550,9000,22506,8179,13110,10934,19075,6381,16330,6798
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",137672,2993,1931,2296,4105,3250,5705,5341,4446,2627,2004,6168,2096,1698,2051,3819,4400,3768,3169,3573,6057,1766,2214,1317,1757,3297,2010,2642,1885,1663,3058,4810,2813,2203,1408,3728,1891,2309,2590,3513,1734,2221,3393,4046,1931,4307,1669
"изб.бюллетеней, погашенных",568170,2581,9364,16419,37163,20802,24621,45268,18699,37723,13415,71119,19979,2028,7655,7033,5783,2819,17711,9003,22531,2291,3969,9077,10364,4090,8792,6037,14119,1983,8533,8993,3248,5863,5536,12868,4400,8346,5865,16331,5844,8178,5073,6579,2957,2975,4143
"изб.бюллетеней, в переносных ящиках для голосования",137609,2993,1931,2295,4105,3250,5705,5341,4446,2627,2004,6167,2096,1698,2051,3819,4400,3768,3168,3573,6057,1766,2214,1317,1757,3297,2010,2642,1884,1663,3058,4810,2813,2203,1408,3728,1891,2309,2590,3513,1734,2221,3393,3988,1930,4307,1669
"изб.бюллетеней, в стационарных ящиках для голосования",1061051,7230,9431,33432,82849,39581,67783,64168,50371,54848,36396,125586,26472,6514,11797,13475,21426,14292,23273,15993,50097,7268,6754,14886,13633,7349,11086,9841,24093,7666,12112,14005,10134,8739,6577,14385,6706,18500,8998,22506,8178,13109,10934,19075,6376,16329,6798
"изб.бюллетеней, недействительных",10850,76,100,337,650,451,550,768,556,608,403,1439,277,53,186,80,119,155,283,206,462,66,37,141,122,76,283,67,227,238,130,113,104,91,136,163,44,162,87,200,92,136,106,89,35,76,70
"изб.бюллетеней, действительных",1187810,10147,11262,35390,86304,42380,72938,68741,54261,56867,37997,130314,28291,8159,13662,17214,25707,17905,26158,19360,55692,8968,8931,16062,15268,10570,12813,12416,25750,9091,15040,18702,12843,10851,7849,17950,8553,20647,11501,25819,9820,15194,14221,22974,8271,20560,8397
"изб.бюллетеней, утраченных",11,0,0,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,8040,49,72,331,595,369,480,568,364,435,305,921,152,46,106,109,144,105,165,126,356,54,62,103,97,50,68,90,227,66,66,123,70,58,40,92,58,122,66,149,61,131,103,100,36,94,56
