Город Байконур (Республика Казахстан),Сумма
"избирателей, включенных в список избирателей",14575
"изб.бюллетеней, полученных участковой избирательной комиссией",12800
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",9491
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",168
"изб.бюллетеней, погашенных",3141
"изб.бюллетеней, в переносных ящиках для голосования",168
"изб.бюллетеней, в стационарных ящиках для голосования",9491
"изб.бюллетеней, недействительных",104
"изб.бюллетеней, действительных",9555
"изб.бюллетеней, утраченных",0
"изб.бюллетеней, не учтенных при получении",0
Бабурин,32
Грудинин,1026
Жириновский,628
Путин,7568
Собчак,130
Сурайкин,51
Титов,50
Явлинский,70
