Еврейская автономная область,Сумма,Биробиджанская,Биробиджанская городская,Ленинская,Облученская,Октябрьская,Смидовичская
"избирателей, включенных в список избирателей",128844,9284,57581,14149,20899,7509,19422
"изб.бюллетеней, полученных участковой избирательной комиссией",120568,9339,50819,11860,21060,7840,19650
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",106,9,0,0,93,0,4
"изб.бюллетеней, выданных в помещении для голосования в день голосования",73398,5744,33412,8529,10522,4229,10962
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",4123,379,1097,439,748,336,1124
"изб.бюллетеней, погашенных",42941,3207,16310,2892,9697,3275,7560
"изб.бюллетеней, в переносных ящиках для голосования",4229,388,1097,439,841,336,1128
"изб.бюллетеней, в стационарных ящиках для голосования",73381,5743,33396,8529,10522,4229,10962
"изб.бюллетеней, недействительных",1331,114,505,150,217,82,263
"изб.бюллетеней, действительных",76279,6017,33988,8818,11146,4483,11827
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0
Бабурин,501,27,251,41,82,22,78
Грудинин,14066,860,6947,1408,2063,867,1921
Жириновский,7387,512,2845,964,1396,400,1270
Путин,52374,4510,22906,6195,7353,3125,8285
Собчак,771,47,403,98,98,28,97
Сурайкин,404,19,186,47,64,17,71
Титов,407,21,226,36,49,16,59
Явлинский,369,21,224,29,41,8,46
