Забайкальский край,Сумма,"Чита, Центральная","Чита, Ингодинская","Чита, Железнодорожная","Чита, Черновская",Агинская городская,ЗАТО п. Горный,Петровск-Забайкальская городская,Агинская,Акшинская,Александрово-Заводская,Балейская,Борзинская,Газимуро-Заводская,Дульдургинская,Забайкальская,Каларская,Калганская,Карымская,Краснокаменская,Красночикойская,Кыринская,Могойтуйская,Могочинская,Нерчинская,Нерчинско-Заводская,Оловяннинская,Ононская,Петровск-Забайкальская,Приаргунская,Сретенская,Тунгиро-Олекминская,Тунгокоченская,Улетовская,Хилокская,Чернышевская,Читинская,Шелопугинская,Шилкинская
"избирателей, включенных в список избирателей",790054,94627,52400,38539,61840,11458,4517,12684,11487,8077,6670,14753,35379,7898,10372,14814,6140,6049,24652,44844,14219,10289,18533,18688,17099,7682,24062,8635,13260,15379,16742,1062,9108,14800,21728,24475,49439,5858,31796
"изб.бюллетеней, полученных участковой избирательной комиссией",755211,86100,47680,36300,60000,12000,4350,10610,12299,8450,7000,15346,29639,6469,11150,14450,6200,6245,25371,42540,13616,9850,19650,18900,19550,7680,18895,9131,13420,16500,15150,1050,9600,13770,17700,25800,44710,5660,32380
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3397,0,0,0,0,0,0,0,550,30,17,0,0,26,347,0,39,0,111,0,158,86,941,290,278,53,36,225,0,0,0,0,0,0,0,181,0,0,29
"изб.бюллетеней, выданных в помещении для голосования в день голосования",425198,58678,31527,20491,33368,6118,2858,6256,7466,4206,3348,7174,18834,4815,6315,7669,3338,2898,11845,24544,8057,5008,11355,8204,9399,3494,11552,4434,6647,8230,8336,668,4019,7583,10323,12588,24673,2942,15938
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",29543,2469,1261,857,1734,311,89,1059,623,416,536,745,1426,362,439,263,70,522,945,1156,991,551,753,352,975,264,1617,434,511,987,816,45,397,658,801,1125,1264,429,1290
"изб.бюллетеней, погашенных",297073,24953,14892,14952,24898,5571,1403,3295,3660,3798,3099,7427,9379,1266,4049,6518,2753,2825,12470,16840,4410,4205,6601,10054,8898,3869,5690,4038,6262,7283,5998,337,5184,5529,6576,11906,18773,2289,15123
"изб.бюллетеней, в переносных ящиках для голосования",32939,2469,1261,857,1733,311,89,1059,1173,446,553,745,1426,388,786,263,109,522,1056,1156,1149,637,1694,642,1253,317,1653,659,511,987,816,45,397,658,801,1306,1264,429,1319
"изб.бюллетеней, в стационарных ящиках для голосования",425096,58665,31524,20489,33312,6118,2857,6256,7466,4206,3348,7174,18834,4815,6315,7669,3338,2898,11845,24540,8057,5007,11355,8204,9399,3494,11552,4433,6647,8230,8336,668,4019,7583,10323,12588,24652,2942,15938
"изб.бюллетеней, недействительных",5767,766,343,293,396,64,54,134,71,57,28,103,272,82,48,130,34,41,153,496,90,77,121,136,78,35,182,47,97,123,93,5,48,89,116,222,372,18,253
"изб.бюллетеней, действительных",452268,60368,32442,21053,34649,6365,2892,7181,8568,4595,3873,7816,19988,5121,7053,7802,3413,3379,12748,25200,9116,5567,12928,8710,10574,3776,13023,5045,7061,9094,9059,708,4368,8152,11008,13672,25544,3353,17004
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2450,388,197,144,203,26,14,62,26,20,21,39,85,35,12,25,24,8,72,120,81,23,53,32,56,16,53,30,49,57,47,1,31,34,47,70,124,16,109
Грудинин,62375,8820,4532,2947,4460,1553,450,1165,1433,359,347,623,2647,640,1177,1496,626,319,1924,4838,981,505,2226,1433,1205,421,1608,447,685,1092,1098,37,428,820,1495,1702,3431,279,2126
Жириновский,45804,4844,3310,2285,3782,312,386,807,515,429,418,772,2283,711,310,915,452,429,1520,2659,983,564,775,1149,1035,417,1357,399,725,991,846,65,472,965,1266,1731,2678,297,1950
Путин,329911,43744,23156,15021,25247,4204,1962,4981,6320,3718,3047,6219,14563,3626,5431,5218,2221,2587,9034,17021,6908,4381,9507,5916,8122,2853,9756,4087,5442,6797,6913,598,3332,6185,7993,9894,18710,2706,12491
Собчак,4750,1102,537,246,348,152,51,52,147,33,16,56,176,45,66,46,35,13,77,208,61,25,201,72,53,20,90,36,69,61,49,4,32,49,76,69,259,22,96
Сурайкин,2772,395,204,155,238,35,13,51,48,17,16,64,109,34,23,48,27,12,54,141,61,43,59,55,47,25,82,27,57,50,47,2,42,58,52,100,148,15,118
Титов,2111,518,253,125,174,32,7,39,35,5,4,22,58,19,11,33,15,8,38,121,25,8,50,27,32,16,40,13,18,31,34,1,22,29,34,40,104,7,63
Явлинский,2095,557,253,130,197,51,9,24,44,14,4,21,67,11,23,21,13,3,29,92,16,18,57,26,24,8,37,6,16,15,25,0,9,12,45,66,90,11,51
