Ивановская область,Сумма,Верхнеландеховская,Вичугская,Вичугская городская,Гаврилово-Посадская,Заволжская,"Иваново, Ленинская","Иваново, Октябрьская","Иваново, Советская","Иваново, Фрунзенская",Ивановская,Ильинская,Кинешемская,Кинешемская городская,Комсомольская,Кохомская городская,Лежневская,Лухская,Палехская,Пестяковская,Приволжская,Пучежская,Родниковская,Савинская,Тейковская,Тейковская городская,Фурмановская,Шуйская,Шуйская городская,Южская,Юрьевецкая
"избирателей, включенных в список избирателей",809832,3554,14310,29134,13118,14108,115808,67992,47895,83219,29274,7124,17741,66530,15150,23123,14719,5274,8595,4994,19444,11158,27703,8867,9769,27610,33653,14843,46958,15964,12201
"изб.бюллетеней, полученных участковой избирательной комиссией",686042,3600,13710,28600,11780,13850,79747,58724,33386,64300,27100,6670,17310,62520,14000,18810,12795,5895,7150,4580,18750,11125,23920,8100,8330,21700,31500,13480,40800,13150,10660
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",429677,2193,6046,13107,7399,6657,64582,37120,24800,44283,17516,3488,9724,32650,9716,11485,8101,2878,4475,2677,10108,6448,14679,4753,5189,15910,16892,8461,23933,8467,5940
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",44507,592,1946,2359,761,1130,3446,1846,1542,2535,2371,609,1333,2506,1400,721,1212,882,984,549,1908,1149,1746,929,1071,1004,2262,1399,1526,1419,1370
"изб.бюллетеней, погашенных",211858,815,5718,13134,3620,6063,11719,19758,7044,17482,7213,2573,6253,27364,2884,6604,3482,2135,1691,1354,6734,3528,7495,2418,2070,4786,12346,3620,15341,3264,3350
"изб.бюллетеней, в переносных ящиках для голосования",44504,592,1946,2359,761,1130,3445,1845,1542,2534,2371,609,1333,2506,1400,721,1212,882,984,549,1908,1149,1746,929,1071,1004,2262,1399,1526,1419,1370
"изб.бюллетеней, в стационарных ящиках для голосования",429535,2193,6046,13107,7399,6657,64534,37083,24780,44276,17513,3488,9724,32644,9716,11484,8101,2878,4474,2677,10108,6448,14679,4753,5189,15908,16892,8461,23916,8467,5940
"изб.бюллетеней, недействительных",4663,12,88,183,87,62,693,433,239,404,218,36,118,308,73,103,108,26,54,30,115,90,90,42,64,210,200,65,291,149,72
"изб.бюллетеней, действительных",469376,2773,7904,15283,8073,7725,67286,38495,26083,46406,19666,4061,10939,34842,11043,12102,9205,3734,5404,3196,11901,7507,16335,5640,6196,16702,18954,9795,25151,9737,7238
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4286,17,80,158,48,82,726,388,234,469,157,26,100,278,65,93,78,25,60,25,99,57,134,50,45,142,132,89,251,105,73
Грудинин,70211,341,1292,2515,1072,1400,9406,5015,3458,6332,2228,705,1751,6806,1331,1546,1230,619,1044,473,2044,1174,2674,794,858,2810,2832,1581,4673,1196,1011
Жириновский,37408,218,649,1449,664,672,4880,2839,2132,3262,1411,324,977,2722,660,930,788,375,423,321,956,608,1467,631,532,1373,1596,750,2277,905,617
Путин,338335,2132,5679,10652,6089,5336,48381,28013,19041,33661,15196,2912,7795,23857,8720,9066,6816,2618,3724,2294,8475,5470,11582,4036,4627,11677,13813,7108,16967,7247,5351
Собчак,7772,19,78,185,65,86,1696,1018,534,1108,272,30,102,443,97,183,103,31,52,33,123,66,166,50,51,337,208,91,378,109,58
Сурайкин,3526,32,61,127,54,73,474,286,185,401,107,30,86,259,80,90,79,30,44,23,70,50,127,34,34,125,139,97,216,65,48
Титов,3696,10,33,98,33,35,759,397,223,551,151,20,66,236,36,97,43,21,26,14,70,45,106,30,27,123,114,44,179,61,48
Явлинский,4142,4,32,99,48,41,964,539,276,622,144,14,62,241,54,97,68,15,31,13,64,37,79,15,22,115,120,35,210,49,32
