Иркутская область,Сумма,Аларская,Ангарская,Балаганская,Баяндаевская,Бодайбинская,Боханская,Братская городская,Братская,Жигаловская,Заларинская,Зиминская городская,Зиминская,Иркутская городская N 1,Иркутская городская N 2,Иркутская городская N 3,Иркутская городская N 4,Иркутская,Казачинско-Ленская,Катангская,Качугская,Киренская,Куйтунская,Мамско-Чуйская,Нижнеилимская,Нижнеудинская,Нукутская,Ольхонская,Осинская,Саянская,Свирская,Слюдянская,Тайшетская,Тулунская городская,Тулунская,Усолье-Сибирская городская,Усольская,Усть-Илимская городская,Усть-Илимская,Усть-Кутская,Усть-Удинская,Черемховская городская,Черемховская,Чунская,Шелеховская,Эхирит-Булагатская
"избирателей, включенных в список избирателей",1877547,19384,185344,6862,9140,16907,17747,172226,42740,7626,22225,24263,10088,116848,112592,84946,157719,83398,14168,4093,14063,16715,24482,3785,41581,51805,11580,7140,15336,30920,10994,33404,57396,34397,19507,64084,36500,63678,13435,41540,11133,40758,22044,27429,51741,23784
"изб.бюллетеней, полученных участковой избирательной комиссией",1763939,19656,173300,7100,8913,15660,17900,156490,43555,7195,21635,23150,9740,111250,107560,74240,148250,65790,13400,3330,14360,14326,24800,3950,34559,47465,12087,7200,15400,30750,9400,29650,57250,34110,19050,60120,35510,61700,11520,40375,11400,39450,22683,26710,48100,23900
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",178,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,11,57,9,11,0,9,0,6,0,11,1,0,0,0,0,0,0,0,0,0,5,14,0,0,0,14,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",995467,10438,105938,3344,5572,7752,9221,90872,19809,3688,10768,11797,5042,64479,63931,44673,87907,45623,7216,2435,7161,8396,12270,1665,20997,24489,6753,3830,7736,19005,6311,16886,27786,16312,9552,33851,19394,33824,6031,20095,4662,21084,13100,12769,29712,11291
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",50075,886,2729,236,555,479,1032,4050,1243,434,1276,498,660,1912,1768,2400,2951,1753,260,57,785,538,980,139,1190,1800,591,480,690,659,492,877,1945,2021,965,1004,875,1191,349,812,426,1788,1380,1424,799,696
"изб.бюллетеней, погашенных",718218,8332,64633,3520,2786,7399,7647,61568,22503,3073,9591,10855,4038,44859,41860,27167,57392,18414,5913,781,6405,5381,11550,2137,12372,21170,4743,2879,6973,11086,2597,11887,27519,15777,8533,25265,15241,26685,5135,19454,6312,16578,8203,12503,17589,11913
"изб.бюллетеней, в переносных ящиках для голосования",50251,886,2729,236,555,509,1032,4050,1243,434,1276,498,660,1911,1768,2400,2950,1753,271,114,794,549,980,148,1190,1806,591,491,691,659,492,877,1945,2021,965,1004,875,1191,354,826,426,1788,1380,1438,799,696
"изб.бюллетеней, в стационарных ящиках для голосования",995267,10437,105923,3344,5572,7751,9221,90856,19805,3688,10768,11797,5041,64428,63922,44665,87861,45616,7213,2435,7160,8396,12270,1665,20996,24486,6753,3830,7736,19005,6310,16870,27786,16311,9552,33847,19392,33822,6031,20094,4662,21084,13099,12769,29710,11288
"изб.бюллетеней, недействительных",11545,75,1272,32,42,155,49,1166,308,25,165,166,60,546,578,479,880,455,79,31,63,105,156,14,274,317,59,46,56,265,96,250,389,198,78,384,257,494,80,279,50,299,172,160,347,94
"изб.бюллетеней, действительных",1033973,11248,107380,3548,6085,8105,10204,93740,20740,4097,11879,12129,5641,65793,65112,46586,89931,46914,7405,2518,7891,8840,13094,1799,21912,25975,7285,4275,8371,19399,6706,17497,29342,18134,10439,34467,20010,34519,6305,20641,5038,22573,14307,14047,30162,11890
"изб.бюллетеней, утраченных",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,5480,50,620,19,22,40,44,514,99,16,58,59,30,319,391,258,599,237,21,12,41,48,69,12,102,121,27,19,32,102,43,111,178,84,46,182,87,199,40,91,15,116,66,56,137,48
Грудинин,166540,1188,18252,690,620,1434,1348,12764,3229,324,1443,2263,685,10670,11849,7959,16031,8182,970,359,1098,1455,1585,151,3783,3154,843,648,1254,3448,1001,3943,4367,2786,1138,6496,4152,5591,924,3384,453,3191,1654,2252,5424,2105
Жириновский,67373,577,7335,229,221,715,561,6660,1563,324,937,1215,491,3918,2710,2421,4148,2622,603,231,537,966,947,188,1793,2053,318,188,294,1145,582,1438,2695,1030,706,2195,1139,2418,471,1767,363,2030,1205,975,1933,516
Путин,763810,9257,77223,2569,5082,5728,8126,71014,15551,3360,9275,8356,4345,48708,46690,33724,64691,34477,5676,1841,6106,6143,10335,1412,15780,20177,5935,3316,6638,14345,4923,11644,21474,13846,8395,24783,14336,25426,4758,14970,4142,16764,11195,10531,21797,8946
Собчак,12646,74,1660,16,68,56,44,1118,86,28,63,77,27,871,1631,1029,1898,626,58,35,50,80,57,10,124,150,81,49,77,122,59,126,193,136,44,323,113,324,39,158,30,175,79,77,355,150
Сурайкин,5240,46,519,16,31,38,41,529,87,15,52,68,30,356,305,209,463,192,35,13,23,57,58,12,142,162,40,19,31,94,43,89,199,121,56,176,89,205,36,112,19,122,69,73,107,41
