Калининградская область,Сумма,Багратионовская,Балтийская,Гвардейская,Гурьевская,Гусевская,Зеленоградская,"Калининград, Ленинградская","Калининград, Московская","Калининград, Центральная",Краснознаменская,Неманская,Нестеровская,Озерская,Пионерская,Полесская,Правдинская,Светлогорская,Светловская,Славская,Советская,Черняховская,Ладушкинская,Мамоновская,Янтарнинская
"избирателей, включенных в список избирателей",799406,24281,27687,22501,56360,25549,27851,154407,132595,108169,9021,14736,11091,10770,10927,13861,14481,14625,22218,13970,29471,40818,3052,6166,4799
"изб.бюллетеней, полученных участковой избирательной комиссией",736173,23000,24657,22000,52580,24800,25080,139150,124695,98582,9050,12190,10780,10800,9500,12000,12750,12009,21700,12700,28250,36000,3000,6300,4600
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",474695,13430,17925,13619,33446,16905,19741,88727,76945,60893,4811,8130,7051,6207,7073,7971,8126,9966,13335,6821,21752,23130,1911,3282,3498
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",23320,784,336,993,1407,1161,1168,2035,1521,1506,941,758,473,538,231,374,624,215,897,498,4182,2057,86,170,365
"изб.бюллетеней, погашенных",238144,8786,6396,7388,17727,6734,4171,48378,46228,36183,3298,3302,3256,4055,2196,3655,4000,1828,7465,5381,2316,10813,1003,2848,737
"изб.бюллетеней, в переносных ящиках для голосования",23320,784,336,993,1407,1161,1168,2035,1521,1506,941,758,473,538,231,374,624,215,897,498,4182,2057,86,170,365
"изб.бюллетеней, в стационарных ящиках для голосования",474255,13429,17911,13612,33430,16904,19630,88655,76897,60849,4705,8130,7051,6207,7072,7970,8126,9961,13331,6821,21752,23127,1906,3282,3497
"изб.бюллетеней, недействительных",5627,187,219,243,398,224,254,1004,788,669,74,97,99,68,90,121,102,119,136,102,164,306,35,50,78
"изб.бюллетеней, действительных",491948,14026,18028,14362,34439,17841,20544,89686,77630,61686,5572,8791,7425,6677,7213,8223,8648,10057,14092,7217,25770,24878,1957,3402,3784
"изб.бюллетеней, утраченных",15,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3395,69,108,85,159,120,129,751,574,481,27,63,49,41,54,39,52,87,116,50,112,179,10,16,24
Грудинин,50755,1160,1652,1350,3240,1917,2114,10176,8243,7227,554,997,650,589,828,762,728,1049,1481,775,1657,2684,210,313,399
Жириновский,29893,923,1423,879,1709,1436,1199,4433,4474,3115,409,732,706,513,440,579,651,574,933,494,1935,1722,125,245,244
Путин,379875,11459,13979,11474,27815,13655,16110,66883,59315,45607,4423,6723,5783,5375,5500,6589,6952,7755,10851,5731,21407,19374,1483,2708,2924
Собчак,12640,181,405,254,692,349,491,3361,2222,2369,65,116,92,53,205,122,110,261,306,67,298,416,56,48,101
Сурайкин,3319,70,120,105,168,139,116,669,562,458,46,54,58,34,46,40,51,65,103,44,118,175,27,22,29
Титов,4772,66,174,100,332,118,194,1157,774,896,22,54,37,34,54,37,58,109,153,30,128,155,30,28,32
Явлинский,7299,98,167,115,324,107,191,2256,1466,1533,26,52,50,38,86,55,46,157,149,26,115,173,16,22,31
