Калужская область,Сумма,Бабынинская,Барятинская,Боровская,Дзержинская,Думиничская,Жиздринская,Жуковская,Износковская,"Калуга, Ленинская","Калуга, Московская","Калуга, Октябрьская",Кировская,Козельская,Куйбышевская,Людиновская,Малоярославецкая,Медынская,Мещовская,Мосальская,Обнинская городская,Перемышльская,Спас-Деменская,Сухиничская,Тарусская,Ульяновская,Ферзиковская,Хвастовичская,Юхновская
"избирателей, включенных в список избирателей",797897,16713,3889,46731,41799,10191,7481,36971,3865,113636,89359,93376,29598,30858,5376,33027,45477,8964,7881,6448,87403,9933,6186,17986,11250,5230,12237,7261,8771
"изб.бюллетеней, полученных участковой избирательной комиссией",762558,16730,4220,45300,40050,10450,7900,37190,4210,96490,84000,89670,30000,29388,6380,33650,44240,8800,8120,6780,80410,9800,6684,17665,10663,4700,12330,8530,8208
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",500980,10150,2218,29782,25797,5691,4704,24385,2674,71471,55393,57135,19298,19044,3326,20298,26977,6180,4961,4160,54782,6705,4051,11506,7690,3001,8066,5052,6483
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",42918,1410,620,2042,2091,1122,790,2328,791,3737,1671,2148,2482,2107,804,1964,2561,1105,1322,1073,1568,1615,587,2020,754,827,1611,785,983
"изб.бюллетеней, погашенных",218656,5170,1382,13476,12162,3637,2406,10477,745,21282,26936,30387,8220,8237,2250,11388,14702,1515,1836,1547,24057,1480,2046,4139,2219,872,2653,2693,742
"изб.бюллетеней, в переносных ящиках для голосования",42908,1410,620,2042,2091,1122,790,2328,791,3727,1671,2148,2482,2107,804,1964,2561,1105,1322,1073,1568,1615,587,2020,754,827,1611,785,983
"изб.бюллетеней, в стационарных ящиках для голосования",500732,10150,2218,29776,25792,5691,4704,24381,2674,71397,55358,57124,19296,19044,3326,20296,26973,6177,4961,4160,54691,6699,4051,11505,7686,3001,8066,5052,6483
"изб.бюллетеней, недействительных",6425,126,37,320,369,91,88,325,46,869,611,693,252,222,48,263,370,119,54,51,785,79,43,117,116,42,106,64,119
"изб.бюллетеней, действительных",537215,11434,2801,31498,27514,6722,5406,26384,3419,74255,56418,58579,21526,20929,4082,21997,29164,7163,6229,5182,55474,8235,4595,13408,8324,3786,9571,5773,7347
"изб.бюллетеней, утраченных",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4197,79,28,232,180,40,39,196,24,621,460,499,139,137,29,226,216,51,36,50,492,54,32,96,63,23,65,32,58
Грудинин,59802,1054,281,3216,2931,852,706,2887,355,8210,6357,6263,3220,2372,682,2694,3015,822,862,374,6397,667,401,1270,1136,363,852,627,936
Жириновский,37905,835,231,2167,2074,624,455,1615,378,4780,4057,4343,1559,1542,312,1605,1807,717,489,443,3062,645,309,1233,583,250,736,402,652
Путин,414027,9186,2206,24797,21526,5051,4087,20832,2577,56812,42795,44866,16112,16288,2990,16857,23143,5349,4746,4187,41604,6703,3748,10492,6234,3097,7667,4603,5472
Собчак,8070,112,18,427,295,51,43,286,34,1595,1000,1011,164,237,32,207,363,87,30,51,1503,63,36,103,95,17,94,31,85
Сурайкин,3943,60,24,208,175,50,37,177,24,539,481,497,170,132,17,168,186,54,26,38,456,45,36,105,46,23,67,40,62
Титов,4200,54,8,205,189,35,18,193,11,747,580,501,78,112,14,125,195,46,23,28,736,29,19,65,75,8,45,21,40
Явлинский,5071,54,5,246,144,19,21,198,16,951,688,599,84,109,6,115,239,37,17,11,1224,29,14,44,92,5,45,17,42
