Камчатский край,Сумма,Алеутская,Быстринская,Вилючинская,Елизовская,Мильковская,Петропавловск-Камчатская городская,Петропавловск-Камчатская городская (судовая),Соболевская,Усть-Большерецкая,Усть-Камчатская,Карагинская,Олюторская,Пенжинская,Тигильская
"избирателей, включенных в список избирателей",239045,499,2054,17335,47293,6743,132334,5201,1871,5982,7674,2855,2905,1690,4609
"изб.бюллетеней, полученных участковой избирательной комиссией",240085,610,2120,17463,47540,7420,129859,5439,1831,5790,7600,2900,3500,2223,5790
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",2009,0,404,0,598,0,49,0,268,37,103,44,171,307,28
"изб.бюллетеней, выданных в помещении для голосования в день голосования",154014,421,1290,12070,30582,4565,81530,5152,1171,3598,4855,1942,2000,1239,3599
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",5907,32,88,196,1033,248,2557,0,84,165,865,155,165,79,240
"изб.бюллетеней, погашенных",78155,157,338,5197,15327,2607,45723,287,308,1990,1777,759,1164,598,1923
"изб.бюллетеней, в переносных ящиках для голосования",7916,32,492,196,1631,248,2606,0,352,202,968,199,336,386,268
"изб.бюллетеней, в стационарных ящиках для голосования",153948,420,1290,12065,30577,4565,81478,5152,1171,3598,4852,1942,2000,1239,3599
"изб.бюллетеней, недействительных",1920,10,15,189,372,59,969,23,16,43,115,24,14,16,55
"изб.бюллетеней, действительных",159944,442,1767,12072,31836,4754,83115,5129,1507,3757,5705,2117,2322,1609,3812
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,912,2,11,34,156,30,556,33,9,11,36,11,4,8,11
Грудинин,27432,16,189,2511,5842,717,15427,383,185,501,1010,179,156,104,212
Жириновский,13733,45,209,980,2841,474,6420,624,173,416,622,226,209,155,339
Путин,112401,363,1307,8244,22079,3407,57450,3860,1089,2739,3869,1627,1909,1309,3149
Собчак,2210,7,25,127,348,40,1322,130,16,26,74,30,14,11,40
Сурайкин,966,3,12,51,181,40,516,31,17,24,44,11,10,10,16
Титов,1131,1,9,78,180,27,701,26,8,15,37,17,6,6,20
Явлинский,1159,5,5,47,209,19,723,42,10,25,13,16,14,6,25
