Кемеровская область,Сумма,Анжеро-Судженская городская,Беловская,Беловская городская,Березовская городская,Гурьевская,Ижморская,Калтанская городская,"Кемерово, Заводская","Кемерово, Кедровская","Кемерово, Кировская","Кемерово, Ленинская","Кемерово, Рудничная","Кемерово, Центральная",Кемеровская,Киселевская городская,Крапивинская,Краснобродская городская,Ленинск-Кузнецкая,Ленинск-Кузнецкая городская,Мариинская,Междуреченская городская,Мысковская городская,"Новокузнецк, Заводская","Новокузнецк, Кузнецкая","Новокузнецк, Куйбышевская","Новокузнецк, Новоильинская","Новокузнецк, Орджоникидзевская","Новокузнецк, Центральная",Новокузнецкая,Осинниковская городская,Полысаевская городская,"Прокопьевск, Зенковская","Прокопьевск, Рудничная","Прокопьевск, Центральная",Прокопьевская,Промышленновская,Тайгинская городская,Таштагольская,Тисульская,Топкинская,Тяжинская,Чебулинская,Юргинская,Юргинская городская,Яйская,Яшкинская
"избирателей, включенных в список избирателей",2005066,60791,22432,97770,35282,32272,10333,24094,111693,16469,42873,92963,59826,75340,34365,74488,18124,10748,17900,77269,37666,73755,34140,67050,34628,53104,56870,62101,126794,36037,38053,21643,47534,48733,48924,22297,33709,16055,37764,16351,35582,19001,10501,15164,62242,14103,20233
"изб.бюллетеней, полученных участковой избирательной комиссией",1945218,58610,22840,100700,35696,32900,10550,22340,101458,14750,41900,82800,56600,63800,34419,76217,18400,10550,18499,74640,38429,75270,34650,61250,31650,49300,52190,56950,116500,33943,38100,22050,46340,47849,46442,22674,34450,15900,47165,16958,35820,19338,10650,15219,63000,14104,21358
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,9,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1535544,44867,17757,80662,27438,26944,9086,19537,82539,13502,31859,71231,45223,54116,26033,65794,15794,8062,14657,60294,27578,58750,28191,50970,24541,34502,44012,44406,75996,30952,33395,18638,30122,31705,31637,18175,28935,12636,33496,13225,29647,15759,8757,13167,52579,11607,16771
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",132628,7376,2614,9722,1425,2456,607,2064,5005,683,3253,4890,3418,4917,3244,3666,900,404,2071,8484,6962,3348,2271,2745,1630,4666,1368,1831,5034,1547,1655,948,4881,3696,3976,2757,2186,1291,1210,1396,1130,1376,733,1087,2113,1533,2059
"изб.бюллетеней, погашенных",276445,6367,2469,10316,6833,3500,857,739,13914,565,6788,6679,7959,4767,5142,6757,1645,2084,1771,5862,3889,13172,4139,7535,5479,10132,6810,10713,35470,1444,3050,2464,11337,12448,10829,1742,3329,1963,11987,2337,5043,2203,1151,965,8308,964,2528
"изб.бюллетеней, в переносных ящиках для голосования",133177,7376,2614,9722,1425,2456,607,2064,5005,683,3253,4884,3418,4917,3244,3657,961,404,2071,8484,6962,3348,2320,2745,1630,4666,1368,1831,5034,1547,1655,948,4868,3688,3970,2757,2186,1291,1682,1396,1130,1376,742,1087,2113,1533,2059
"изб.бюллетеней, в стационарных ящиках для голосования",1532543,44867,17756,80600,27423,26934,9085,19536,82294,13450,31599,70746,45018,53457,25961,65585,15794,8062,14657,60271,27578,58750,28191,50904,24539,34474,43995,44398,75852,30952,33395,18638,30073,31606,31387,18175,28935,12636,33496,13225,29623,15759,8757,13167,52566,11606,16771
"изб.бюллетеней, недействительных",10657,243,95,187,205,172,85,108,737,103,245,728,403,638,99,124,40,128,140,276,120,277,319,447,270,405,418,291,1140,235,41,26,204,201,169,56,163,87,147,122,228,32,63,33,309,37,61
"изб.бюллетеней, действительных",1655063,52000,20275,90135,28643,29218,9607,21492,86562,14030,34607,74902,48033,57736,29106,69118,16715,8338,16588,68479,34420,61821,30192,53202,25899,38735,44945,45938,79746,32264,35009,19560,34737,35093,35188,20876,30958,13840,35031,14499,30525,17103,9436,14221,54370,13102,18769
"изб.бюллетеней, утраченных",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,7972,163,46,263,163,54,19,79,414,225,519,485,557,374,84,170,65,41,39,306,136,396,39,239,147,215,277,225,620,103,57,124,191,226,179,48,24,51,50,57,148,43,26,36,160,24,65
Грудинин,101153,2342,1409,8224,1845,825,341,384,7393,786,997,5272,2440,3393,2366,1949,664,971,458,2532,1394,3024,1348,2901,2007,3492,3851,2698,10509,1909,851,336,3171,4566,3320,960,464,427,1375,1029,1764,970,779,400,2120,455,442
Жириновский,83777,1955,894,1256,2103,750,305,654,5885,1241,2438,4049,3310,2968,1220,2950,331,710,537,2388,652,2158,1179,3960,2134,3140,2535,4566,5860,1641,1023,527,2867,3031,2950,530,322,536,1135,746,1388,852,524,413,2469,288,407
Путин,1422919,46862,17738,78925,23659,27346,8850,20132,69971,11072,29276,62288,40171,48850,24835,63255,15451,6436,15401,62268,31792,54829,27299,44625,20637,30643,36750,37392,58564,28128,32663,18053,27580,26075,27806,19129,29952,12582,32198,12421,26337,15076,7991,13229,48627,12236,17519
Собчак,14002,269,68,518,355,108,30,63,1178,161,420,1001,707,711,238,224,79,57,50,366,145,241,94,528,274,447,521,352,1799,189,50,149,373,494,380,87,71,91,79,73,245,68,50,54,393,34,118
Сурайкин,7556,167,40,151,138,60,22,63,488,68,184,403,261,364,79,186,53,68,41,165,108,594,83,290,273,259,359,195,605,100,101,85,213,218,203,48,33,50,58,72,236,40,27,41,180,27,57
Титов,7213,95,50,357,133,31,18,59,484,124,122,411,219,419,90,185,32,28,33,240,85,371,35,268,198,242,267,221,748,109,95,128,171,214,174,36,48,47,68,34,197,32,22,28,157,21,67
Явлинский,10471,147,30,441,247,44,22,58,749,353,651,993,368,657,194,199,40,27,29,214,108,208,115,391,229,297,385,289,1041,85,169,158,171,269,176,38,44,56,68,67,210,22,17,20,264,17,94
