Кировская область,Сумма,Арбажская,Афанасьевская,Белохолуницкая,Богородская,Верхнекамская,Верхошижемская,Вятскополянская,Вятскополянская городская,Даровская,Зуевская,Кикнурская,Кильмезская,"Киров, Ленинская","Киров, Нововятская","Киров, Октябрьская","Киров, Первомайская",Кирово-Чепецкая,Кирово-Чепецкая городская,Котельничская,Котельничская городская,Куменская,Лебяжская,Лузская,Малмыжская,Мурашинская,Нагорская,Немская,Нолинская,Омутнинская,Опаpинская,Оричевская,Орловская,ЗАТО Первомайский,Пижанская,Подосиновская,Санчурская,Свечинская,Слободская,Слободская городская,Советская,Сунская,Тужинская,Унинская,Уржумская,Фаленская,Шабалинская,Юрьянская,Яранская
"избирателей, включенных в список избирателей",1055239,5654,10672,14960,3855,20214,7021,23168,27852,8479,17896,7315,10169,181970,39042,131589,68219,18222,59531,12644,19511,14444,6848,13439,20140,9981,7803,5926,15887,31521,7399,24022,10250,3392,7687,12657,7606,6140,24746,27220,20984,4880,5593,7016,18085,8718,8099,15461,21312
"изб.бюллетеней, полученных участковой избирательной комиссией",1005278,5920,10650,16035,3770,21009,7506,24290,28140,8867,15560,8340,9780,151464,37200,123670,62000,18482,53963,12480,18020,14325,7235,14345,21186,10050,8060,6250,16025,32628,7970,20080,10495,3587,7535,13000,8090,6649,22785,25150,21000,5285,5996,6885,17780,9350,8999,15955,21437
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",96,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",601182,2957,5875,10063,2317,11102,4502,12531,15905,5218,9942,3972,5761,104739,22425,76145,39128,10545,37094,6162,9739,9337,3475,7034,11793,5156,4333,3663,8382,17233,4174,13677,5562,2505,4479,6197,4099,3412,13569,14394,10742,2922,3616,4340,11352,4968,4392,8781,11473
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",60583,854,927,1658,481,1261,646,2300,1005,1037,1547,1203,1224,2558,935,2966,1259,1329,1732,1284,1214,864,576,1831,3031,770,966,897,1470,2466,667,1685,721,70,1226,1073,1212,623,1588,740,972,540,737,797,2423,866,1297,1627,1428
"изб.бюллетеней, погашенных",343417,2109,3848,4314,972,8646,2358,9459,11230,2602,4071,3165,2795,44167,13840,44559,21613,6608,15137,5034,7067,4124,3184,5480,6362,4124,2761,1690,6173,12929,3118,4718,4212,937,1830,5730,2779,2614,7628,10016,9286,1823,1643,1748,4005,3516,3310,5547,8536
"изб.бюллетеней, в переносных ящиках для голосования",60679,854,927,1658,481,1261,646,2300,1005,1047,1547,1203,1224,2558,935,2966,1259,1329,1732,1284,1214,864,576,1831,3031,770,966,897,1470,2466,678,1685,721,145,1226,1073,1212,623,1588,740,972,540,737,797,2423,866,1297,1627,1428
"изб.бюллетеней, в стационарных ящиках для голосования",601078,2956,5875,10063,2317,11099,4502,12531,15902,5217,9942,3972,5755,104710,22422,76134,39122,10545,37091,6162,9738,9337,3475,7034,11793,5156,4331,3663,8382,17230,4173,13675,5562,2502,4479,6196,4099,3412,13547,14394,10742,2922,3616,4340,11351,4967,4392,8781,11472
"изб.бюллетеней, недействительных",7455,21,61,68,18,215,61,140,248,72,137,50,46,1214,229,972,479,131,501,61,142,129,34,79,210,57,49,71,114,271,40,141,68,31,34,65,46,42,183,189,103,44,30,49,136,56,41,123,154
"изб.бюллетеней, действительных",654302,3789,6741,11653,2780,12145,5087,14691,16659,6192,11352,5125,6933,106054,23128,78128,39902,11743,38322,7385,10810,10072,4017,8786,14614,5869,5248,4489,9738,19425,4811,15219,6215,2616,5671,7204,5265,3993,14952,14945,11611,3418,4323,5088,13638,5777,5648,10285,12746
