Костромская область,Сумма,Антроповская,Буйская,Буйская городская,Волгореченская городская,Вохомская,Галичская,Галичская городская,Кадыйская,Кологривская,Костромская,Костромская городская 1,Красносельская,Макарьевская,Мантуровская,Мантуровская городская,Межевская,Нейская,Нерехтская,Октябрьская,Островская,Павинская,Парфеньевская,Поназыревская,Пыщугская,Солигаличская,Судиславская,Сусанинская,Чухломская,Шарьинская,Шарьинская городская,Костромская городская 2
"избирателей, включенных в список избирателей",532700,5560,8322,19526,13404,7936,6908,13766,6550,5076,34363,123005,15631,11957,3620,13549,3449,11435,28476,3714,9480,3613,4958,5437,3843,7885,11259,6053,8731,7549,29188,98457
"изб.бюллетеней, полученных участковой избирательной комиссией",481521,5560,8097,16289,12500,7907,6740,13300,6444,5132,32463,107500,15354,11750,3460,12200,2953,9850,23430,3850,9785,3454,4400,5696,4050,7620,10389,6000,8125,7583,28700,80940
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",299038,2833,4278,10690,8749,4303,3474,8264,3526,2642,19755,70238,8911,6478,1611,6697,1850,5966,16536,2061,4841,1765,2487,2839,2078,4242,5818,3184,4645,4282,15549,58446
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",23308,527,705,535,270,745,793,564,452,456,1252,2831,782,992,507,594,271,671,2000,285,744,411,419,548,246,620,790,279,645,697,743,1934
"изб.бюллетеней, погашенных",159175,2200,3114,5064,3481,2859,2473,4472,2466,2034,11456,34431,5661,4280,1342,4909,832,3213,4894,1504,4200,1278,1494,2309,1726,2758,3781,2537,2835,2604,12408,20560
"изб.бюллетеней, в переносных ящиках для голосования",23307,527,705,535,270,745,793,564,452,456,1252,2830,782,992,507,594,271,671,2000,285,744,411,419,548,246,620,790,279,645,697,743,1934
"изб.бюллетеней, в стационарных ящиках для голосования",298970,2833,4277,10687,8747,4303,3474,8262,3522,2642,19753,70212,8908,6478,1611,6696,1850,5966,16535,2061,4841,1765,2487,2839,2078,4242,5818,3184,4644,4282,15549,58424
"изб.бюллетеней, недействительных",3048,28,33,121,106,43,41,111,26,26,188,671,97,70,12,70,29,54,165,20,49,17,28,35,32,42,58,33,60,45,161,577
"изб.бюллетеней, действительных",319229,3332,4949,11101,8911,5005,4226,8715,3948,3072,20817,72371,9593,7400,2106,7220,2092,6583,18370,2326,5536,2159,2878,3352,2292,4820,6550,3430,5229,4934,16131,59781
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2665,28,44,106,82,30,34,71,40,33,163,616,74,77,14,43,21,56,133,17,54,18,22,26,21,34,35,23,31,35,146,538
Грудинин,52135,647,900,2241,1698,1023,699,1420,687,647,3013,9790,1476,1371,379,1659,496,1269,2723,439,805,357,482,722,516,938,1096,589,1102,707,3655,8589
Жириновский,29834,390,530,1134,753,594,436,963,471,271,1866,5980,890,647,184,770,186,725,1657,295,506,320,318,409,265,684,617,337,562,640,1810,4624
Путин,221449,2199,3320,7283,5959,3241,2963,5970,2649,2050,14946,52060,6861,5137,1483,4555,1331,4303,13277,1523,4026,1403,1979,2111,1425,3045,4611,2395,3416,3436,9908,42584
Собчак,4852,27,49,128,142,52,29,116,22,31,297,1447,111,54,18,69,20,97,196,18,47,28,31,22,22,53,79,25,49,48,207,1318
Сурайкин,2309,14,44,73,80,32,26,70,32,15,148,544,62,43,15,44,13,49,152,14,45,14,23,28,22,17,40,29,28,29,123,441
Титов,2879,18,33,71,112,19,23,67,33,13,202,858,62,42,8,40,16,43,120,13,34,13,9,15,13,23,41,15,20,24,132,747
Явлинский,3106,9,29,65,85,14,16,38,14,12,182,1076,57,29,5,40,9,41,112,7,19,6,14,19,8,26,31,17,21,15,150,940
