Краснодарский край,Сумма,Абинская,Анапская,Апшеронская,Армавирская,Белоглинская,Белореченская,Брюховецкая,Выселковская,Геленджикская,Горячеключевская,Гулькевичская,Динская,Ейская районная,Ейская городская,Кавказская,Калининская,Каневская,Кореновская,Красноармейская,"Краснодар, Западная","Краснодар, Карасунская","Краснодар, Прикубанская","Краснодар, Центральная",Кропоткинская,Крыловская,Крымская,Курганинская,Кущевская,Лабинская,Ленинградская,Мостовская,Новокубанская,Новопокровская,"Новороссийск, Восточная","Новороссийск, Приморская","Новороссийск, Судовая","Новороссийск, Центральная",Отрадненская,Павловская,Приморско-Ахтарская,Северская,Славянская,"Сочи, Адлерская","Сочи, Лазаревская","Сочи, Хостинская","Сочи, Центральная",Староминская,Тбилисская,Темрюкская,Тимашевская,Тихорецкая районная,Тихорецкая городская,Туапсинская районная,Туапсинская городская,Успенская,Усть-Лабинская,Щербиновская,"Новороссийск, Южная","Новороссийск, Пригородная","Краснодар, Калининская"
"избирателей, включенных в список избирателей",4049575,66713,143269,55718,125489,23565,72023,42510,46790,85203,48142,68864,103144,31901,72964,33460,37081,72363,66806,80245,133969,191086,161902,122454,55670,25519,97373,67262,51518,70955,48354,50066,63677,33663,26442,54631,131,48634,46062,51328,42585,89164,95847,102667,68919,67459,112834,30072,35731,90603,79050,43346,47730,42785,46658,29542,77106,28639,47150,41037,153705
"изб.бюллетеней, полученных участковой избирательной комиссией",3942775,66687,134616,54679,125293,24060,79465,42808,44955,75820,45428,65748,101700,31890,70439,34060,37500,74485,66725,79950,125977,195500,148950,110489,55325,26097,97590,69000,49485,74437,46930,50475,64992,34054,26053,51540,131,45870,44040,52140,43088,86863,97529,90620,66840,64800,112950,31690,32650,80996,77310,43586,48616,39288,44505,30040,77500,28842,47783,40346,131550
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",2825178,48626,104851,40361,90752,18866,51005,31859,36655,62442,35644,52126,68986,18581,42197,28789,25356,60699,51686,61354,79738,127255,98147,77815,48619,17248,71595,44212,29384,50974,33863,33643,46943,23828,20063,41186,126,39029,33907,42954,33304,58286,67641,64330,46901,48244,77501,20484,21005,56851,49008,34156,40574,31260,33808,22699,52979,16278,39940,33273,85292
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",327900,4918,4667,7234,10246,2608,7758,5519,4719,3163,3558,5138,8664,2318,3699,2489,6391,7071,8862,8697,5408,10924,8756,6694,4061,2685,9181,13581,4936,8913,4834,4054,6588,2519,2404,2635,0,4473,5204,3756,4169,15965,10962,3371,6158,3074,3689,3786,3537,5776,7913,4646,3884,3912,3339,3447,8727,3293,1269,2379,5279
"изб.бюллетеней, погашенных",789468,13143,25098,7084,24295,2586,20702,5430,3581,10215,6226,8484,24050,10991,24543,2782,5753,6715,6177,9899,40831,57321,42047,25980,2645,6164,16814,11207,15165,14550,8233,12778,11461,7707,3456,7719,5,2368,4929,5430,5615,12612,18926,22919,13682,13482,31760,7420,8108,18369,20389,4784,4158,4116,7358,3894,15794,9271,6574,4694,40979
"изб.бюллетеней, в переносных ящиках для голосования",328098,4918,4667,7234,10246,2608,7758,5519,4719,3163,3556,5138,8663,2318,3699,2489,6391,7071,8862,8697,5408,10901,8755,6694,4061,2685,9181,13581,4936,8913,4834,4054,6588,2519,2534,2635,0,4473,5204,3756,4169,15965,10962,3370,6257,3072,3689,3786,3537,5775,7913,4646,3884,3912,3339,3447,8727,3293,1269,2379,5279
"изб.бюллетеней, в стационарных ящиках для голосования",2823875,48619,104762,40361,90733,18866,51003,31859,36650,62435,35644,52124,68938,18577,42165,28789,25355,60677,51673,61349,79698,127109,97972,77803,48585,17248,71589,44212,29384,50966,33862,33603,46942,23828,20061,41186,126,39029,33904,42954,33303,58282,67635,64304,46901,48232,77472,20484,21002,56831,49007,34156,40563,31257,33555,22670,52976,16278,39938,33273,85116
"изб.бюллетеней, недействительных",26090,448,841,439,922,122,656,101,294,362,398,424,631,327,568,14,252,269,394,402,713,875,1001,667,24,184,446,415,384,462,415,351,548,223,152,174,2,159,286,370,141,1097,580,933,546,768,954,289,261,816,528,142,199,439,322,169,583,255,146,226,981
"изб.бюллетеней, действительных",3125883,53089,108588,47156,100057,21352,58105,37277,41075,65236,38802,56838,76970,20568,45296,31264,31494,67479,60141,69644,84393,137135,105726,83830,52622,19749,80324,57378,33936,59417,38281,37306,52982,26124,22443,43647,124,43343,38822,46340,37331,73150,78017,66741,52612,50536,80207,23981,24278,61790,56392,38660,44248,34730,36572,25948,61120,19316,41061,35426,89414
