Красноярский край,Сумма,Абанская,Ачинская,Ачинская городская,Балахтинская,Березовская,Бирилюсская,Боготольская,Боготольская городская,Богучанская,Большемуртинская,Большеулуйская,Бородинская городская,Дзержинская,Дивногорская городская,Емельяновская,Енисейская,Енисейская городская,Ермаковская,Железногорская городская,Зеленогорская городская,Идринская,Иланская,Ирбейская,Казачинская,Канская,Канская городская,Каратузская,Кедровая поселковая,Кежемская,Козульская,Краснотуранская,"Красноярск, Железнодорожная","Красноярск, Кировская","Красноярск, Ленинская","Красноярск, Октябрьская","Красноярск, Свердловская","Красноярск, Советская","Красноярск, Центральная",Курагинская,Лесосибирская городская,Манская,Минусинская,Минусинская городская,Мотыгинская,Назаровская,Назаровская городская,Нижнеингашская,Новоселовская,Норильская городская,Партизанская,Пировская,Рыбинская,Саянская,Северо-Енисейская,Солнечная поселковая,Сосновоборская городская,Сухобузимская,Тасеевская,Туруханская,Тюхтетская,Ужурская,Уярская,Шарыповская,Шарыповская городская,Шушенская,Таймырская Долгано-Ненецкая №1,Таймырская Долгано-Ненецкая №2,Байкитская,Илимпийская,Тунгусско-Чунская
"избирателей, включенных в список избирателей",2100869,15971,12220,79819,15393,29783,7500,6312,16879,31032,14879,5814,14169,10944,25021,38979,18761,13537,15086,75170,49364,9353,17629,12528,7673,17706,69953,11774,3468,14406,11569,11207,65154,81806,97594,125344,96324,220811,55473,34059,49028,13383,20091,57621,10688,14959,40012,20574,10018,116277,8255,5659,23289,9063,12102,6284,29678,16280,8674,14912,5918,23512,16492,11559,31980,26462,20127,3917,5461,5561,2569
"изб.бюллетеней, полученных участковой избирательной комиссией",2034473,15815,12380,80935,14846,29250,7270,6209,16442,32700,15307,5711,13900,11037,24024,37050,18647,13050,14390,73050,48500,9781,17903,12300,8700,17111,63827,11854,3329,13600,11565,11210,65100,80600,96800,93550,92900,214189,49900,36730,49053,13309,19765,51400,11000,13050,40681,20671,10553,118854,8315,5661,24738,9103,11695,6400,27800,15000,9380,16165,6400,21001,17300,11300,30100,26494,19873,4100,5650,5600,2600
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",8991,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,207,0,5,0,0,57,0,0,0,0,0,0,0,0,0,32,523,0,0,32,4440,0,0,12,0,0,0,1437,416,1683,5,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1200443,9527,7349,46910,9927,15519,4127,3875,8246,18263,7921,3821,8261,6905,14833,20824,10112,7430,9010,48645,31472,4974,9706,6138,4751,10220,32886,7754,1875,8224,6161,6336,38269,45409,54665,68348,56745,124084,30424,18964,26390,6913,11676,32106,5837,9248,21133,10568,5890,77137,4158,3325,12707,5100,10397,4190,18796,8725,4535,6081,3726,13174,8323,7860,19071,14406,10482,2387,2193,3584,1415
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",58181,686,456,1451,1277,985,487,432,423,1057,1070,454,348,603,481,891,785,561,1074,1469,1085,359,752,357,523,486,1445,1225,38,313,883,654,1302,1231,2349,2721,1792,2713,1271,1470,1060,574,596,1532,656,633,775,1379,474,915,531,508,1271,618,544,141,810,837,590,442,479,1083,552,742,748,994,313,124,78,94,129
"изб.бюллетеней, погашенных",766858,5602,4575,32574,3601,12746,2656,1902,7773,13380,6316,1436,5291,3529,8710,15335,7687,5059,4306,22936,15943,4448,7445,5805,3426,6405,29496,2875,1416,5025,4521,4220,25529,33960,39786,22481,34363,87392,18205,16089,21603,5817,7493,17762,4450,3169,18773,8724,4189,40802,3626,1828,10760,3385,722,1546,8194,5438,4223,5202,2195,6744,8413,2698,10281,11094,7641,1173,1696,1917,1056
"изб.бюллетеней, в переносных ящиках для голосования",67163,686,456,1451,1318,985,487,432,423,1057,1070,454,348,603,481,891,848,561,1074,1469,1085,359,752,357,523,486,1445,1225,38,351,883,654,1302,1230,2349,2721,1791,2711,1269,1677,1060,579,596,1531,713,633,775,1379,474,915,531,508,1271,618,576,664,810,837,622,4882,479,1083,564,742,748,994,1750,539,1760,99,129
"изб.бюллетеней, в стационарных ящиках для голосования",1199820,9526,7349,46879,9927,15518,4127,3875,8245,18252,7920,3820,8261,6905,14827,20822,10111,7430,9010,48592,31457,4974,9706,6138,4751,10220,32879,7754,1875,8222,6161,6336,38169,45369,54652,68313,56727,124055,30400,18962,26384,6913,11674,32103,5837,9248,21096,10568,5890,77083,4158,3325,12706,5100,10397,4188,18695,8725,4535,6081,3726,13174,8313,7860,19065,14402,10479,2387,2193,3584,1415
"изб.бюллетеней, недействительных",14327,72,114,613,127,190,39,47,92,236,92,38,103,87,176,191,118,84,108,650,515,43,129,60,50,125,384,71,31,99,71,78,416,509,624,752,554,1306,293,337,289,83,190,391,54,95,251,157,60,1118,48,38,133,74,99,68,227,93,41,126,34,152,128,84,229,141,159,20,70,39,12
"изб.бюллетеней, действительных",1252656,10140,7691,47717,11118,16313,4575,4260,8576,19073,8898,4236,8506,7421,15132,21522,10841,7907,9976,49411,32027,5290,10329,6435,5224,10581,33940,8908,1882,8474,6973,6912,39055,46090,56377,70282,57964,125460,31376,20302,27155,7409,12080,33243,6496,9786,21620,11790,6304,76880,4641,3795,13844,5644,10874,4784,19278,9469,5116,10837,4171,14105,8749,8518,19584,15255,12070,2906,3883,3644,1532
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,8072,64,37,304,66,77,27,25,46,126,52,33,46,44,106,135,60,57,56,365,293,34,60,34,35,56,213,48,10,45,32,40,295,293,317,455,380,812,240,151,169,45,82,278,36,52,165,95,47,412,30,17,98,53,48,24,111,45,32,76,32,74,53,45,142,128,72,6,23,12,1
Грудинин,161925,1290,1185,7464,1166,1926,482,544,1542,3225,872,525,1424,896,1924,2860,1199,1256,1275,7394,5492,692,1544,713,657,1152,4921,1063,256,1353,979,971,4826,5465,6234,9071,6751,15372,4082,2951,3494,773,1733,5360,762,1200,3196,1449,836,8724,617,263,1829,492,757,633,2455,783,585,1207,399,2105,1066,890,3104,2522,1000,125,390,111,71
Жириновский,93628,889,771,4214,873,1389,381,333,744,1588,629,414,620,638,1038,1469,1047,717,887,4029,2545,464,984,624,450,904,2496,740,160,702,754,490,2115,3120,3833,3537,3340,7165,1496,1581,2279,828,1017,2616,665,910,1409,1290,615,6171,457,327,1317,517,978,408,1708,788,418,1044,462,1415,874,614,1415,1067,932,144,418,236,119
