Курганская область,Сумма,Альменевская,Белозерская,Варгашинская,Далматовская,Звериноголовская,Каргапольская,Катайская,Кетовская,"Курган, Восточная","Курган, Западная",Куртамышская,Лебяжьевская,Макушинская,Мишкинская,Мокроусовская,Петуховская,Половинская,Притобольная,Сафакулевская,Целинная,Частоозерская,Шадринская,Шадринская городская,Шатровская,Шумихинская,Щучанская,Юргамышская
"избирателей, включенных в список избирателей",704338,8639,13388,14987,22942,7303,23007,18395,43322,129793,136265,24564,12376,13623,13664,9123,15698,9486,11464,10328,13380,4783,22148,55524,13766,22648,17763,15959
"изб.бюллетеней, полученных участковой избирательной комиссией",687678,8900,13000,14880,23320,7530,22970,16950,42180,126950,127375,24380,12760,13800,13240,9420,15895,9908,11690,9970,13300,4650,23150,54100,14050,20800,17430,15080
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",400315,5164,7315,9019,13798,4390,13822,10749,24348,69483,77329,13498,6815,7567,7444,5646,8701,5623,6513,6333,7273,3434,14300,32613,7835,12252,10185,8866
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",34521,660,1489,1301,1471,463,1800,806,1901,3287,2071,2113,949,835,1263,681,800,562,722,591,941,309,1366,2344,1639,1752,1062,1343
"изб.бюллетеней, погашенных",252842,3076,4196,4560,8051,2677,7348,5395,15931,54180,47975,8769,4996,5398,4533,3093,6394,3723,4455,3046,5086,907,7484,19143,4576,6796,6183,4871
"изб.бюллетеней, в переносных ящиках для голосования",34517,660,1488,1301,1471,463,1800,805,1901,3287,2070,2113,949,835,1263,681,800,562,722,591,941,309,1366,2343,1639,1752,1062,1343
"изб.бюллетеней, в стационарных ящиках для голосования",400269,5164,7315,9019,13798,4390,13822,10749,24348,69467,77310,13498,6815,7567,7444,5646,8701,5623,6513,6333,7273,3434,14300,32604,7835,12252,10185,8864
"изб.бюллетеней, недействительных",3873,50,81,98,189,62,122,110,216,618,708,145,75,71,79,63,80,36,73,84,87,30,112,297,80,133,95,79
"изб.бюллетеней, действительных",430913,5774,8722,10222,15080,4791,15500,11444,26033,72136,78672,15466,7689,8331,8628,6264,9421,6149,7162,6840,8127,3713,15554,34650,9394,13871,11152,10128
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2682,37,42,53,101,23,93,78,166,526,523,95,34,35,40,45,57,46,49,29,31,17,82,200,68,83,58,71
Грудинин,59425,940,1076,1414,2219,775,1913,1384,3605,10584,11188,2189,872,1175,1118,754,1837,604,1291,1018,1309,482,1498,4029,1345,2001,1456,1349
Жириновский,38002,378,833,1222,1189,316,1429,925,2643,6218,6907,1492,760,918,815,660,806,537,637,227,678,279,1243,2640,891,1329,1015,1015
Путин,318703,4253,6628,7341,11216,3591,11754,8794,18938,51877,56866,11399,5901,6065,6480,4669,6577,4851,5046,5394,5967,2875,12481,26793,6921,10134,8385,7507
Собчак,4590,42,53,68,145,25,113,96,255,1161,1248,89,38,47,60,42,48,46,53,56,47,23,98,402,71,109,86,69
Сурайкин,3020,79,41,63,87,38,115,79,190,524,632,107,32,50,48,43,55,33,45,56,57,24,79,246,55,107,84,51
Титов,2178,20,25,30,62,16,56,41,114,566,593,49,29,21,35,37,26,21,23,31,19,7,36,163,25,53,37,43
Явлинский,2313,25,24,31,61,7,27,47,122,680,715,46,23,20,32,14,15,11,18,29,19,6,37,177,18,55,31,23
