Ленинградская область,Сумма,Бокситогорская,Волосовская,Волховская,Всеволожская,Выборгская,Гатчинская,Кингисеппская,Киришская,Кировская,Лодейнопольская,Ломоносовская,Лужская,Подпорожская,Приозерская,Сланцевская,Сосновоборская городская,Тихвинская,Тосненская
"избирателей, включенных в список избирателей",1331507,38488,32443,66838,241369,152582,159868,60781,50793,74175,23296,61795,60262,24927,45702,35327,53892,57968,91001
"изб.бюллетеней, полученных участковой избирательной комиссией",1233933,36430,30250,65960,216900,138610,160980,58065,45090,69810,21460,54400,46430,25520,40050,32921,49250,51827,89980
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",55,0,0,0,0,4,0,51,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",826203,23877,20807,38340,155384,93813,100146,39521,32935,44853,13083,39276,33582,13437,27648,18967,37123,37837,55574
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",64370,3884,3275,3931,5277,5808,9525,3038,1850,2611,2483,2884,4990,1913,2376,1866,579,3006,5074
"изб.бюллетеней, погашенных",343305,8669,6168,23689,56239,38985,51309,15455,10305,22346,5894,12240,7858,10170,10026,12088,11548,10984,29332
"изб.бюллетеней, в переносных ящиках для голосования",64423,3884,3275,3931,5277,5811,9525,3089,1850,2610,2483,2884,4990,1913,2376,1866,579,3006,5074
"изб.бюллетеней, в стационарных ящиках для голосования",825903,23872,20791,38321,155302,93791,100131,39510,32932,44806,13082,39226,33578,13437,27644,18966,37110,37833,55571
"изб.бюллетеней, недействительных",10539,250,264,511,1862,1360,1145,586,392,486,144,485,377,189,401,230,451,409,997
"изб.бюллетеней, действительных",879787,27506,23802,41741,158717,98242,108511,42013,34390,46930,15421,41625,38191,15161,29619,20602,37238,40430,59648
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,6136,142,130,295,1080,698,796,292,291,329,141,254,273,94,188,127,299,285,422
Грудинин,78545,2435,1543,3891,14596,8658,9394,4041,3876,3838,1326,3217,3219,1174,2497,1902,4313,3526,5099
Жириновский,48465,1755,1163,2862,7183,5670,5301,2507,2271,2372,1015,2011,2394,1034,1830,1322,2112,2717,2946
Путин,703423,22327,20361,33100,124734,78265,87355,33431,26415,37914,12323,34140,30937,12285,23861,16551,28322,32517,48585
Собчак,18715,306,227,695,5365,2175,2328,724,623,1026,218,939,597,226,507,268,902,572,1017
Сурайкин,5655,185,130,265,913,597,764,265,223,324,128,227,222,115,199,144,244,271,439
Титов,8129,194,108,335,1984,905,1029,336,353,446,145,338,255,121,272,143,398,278,489
Явлинский,10719,162,140,298,2862,1274,1544,417,338,681,125,499,294,112,265,145,648,264,651
