Липецкая область,Сумма,Воловская,Грязинская,Данковская,Добринская,Добровская,Долгоруковская,Елецкая,Елецкая городская,Задонская,Измалковская,Краснинская,Лебедянская,Лев-Толстовская,"Липецк, Левобережная","Липецк, Октябрьская №1","Липецк, Правобережная","Липецк, Советская",Липецкая,Становлянская,Тербунская,Усманская,Хлевенская,Чаплыгинская,"Липецк, Октябрьская №2"
"избирателей, включенных в список избирателей",929445,11154,60324,28788,27935,20758,14578,22354,82705,26904,12113,11071,34136,12783,38956,103062,66922,132990,44926,14320,17333,37840,16386,24624,66483
"изб.бюллетеней, полученных участковой избирательной комиссией",862478,10600,60440,24800,28210,19640,13300,22480,78090,23780,11825,11040,31900,12230,32412,88810,62083,116500,43650,13765,17615,36990,16470,24348,61500
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",592717,7080,40410,19804,23143,13712,9225,16292,49512,16066,9349,7360,21278,9078,22716,61204,38948,81179,28058,9142,11063,26845,13098,14392,43763
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",78115,1619,14096,2647,3924,2951,2518,3604,2524,3019,1921,1748,2680,943,1428,2040,1759,3493,3423,1833,3261,8495,2300,5355,534
"изб.бюллетеней, погашенных",191641,1901,5934,2349,1143,2977,1557,2584,26054,4695,555,1932,7941,2209,8268,25566,21376,31825,12169,2790,3291,1650,1072,4601,17202
"изб.бюллетеней, в переносных ящиках для голосования",78112,1619,14096,2647,3924,2951,2518,3604,2523,3019,1921,1748,2680,943,1428,2039,1759,3493,3423,1833,3261,8495,2300,5354,534
"изб.бюллетеней, в стационарных ящиках для голосования",592645,7080,40409,19802,23143,13712,9224,16292,49511,16065,9348,7359,21278,9078,22715,61193,38942,81142,28056,9142,11063,26845,13098,14387,43761
"изб.бюллетеней, недействительных",6225,39,116,230,68,175,73,171,610,161,70,180,240,122,298,753,455,1006,330,80,205,124,52,243,424
"изб.бюллетеней, действительных",664532,8660,54389,22219,26999,16488,11669,19725,51424,18923,11199,8927,23718,9899,23845,62479,40246,83629,31149,10895,14119,35216,15346,19498,43871
"изб.бюллетеней, утраченных",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3834,32,126,110,32,66,55,71,367,122,25,53,144,51,161,504,334,750,195,50,49,95,16,75,351
Грудинин,67299,631,2267,1940,664,1449,763,1465,6683,1850,504,717,3261,873,2977,8361,5420,11238,3613,1252,1049,1330,946,1910,6136
Жириновский,33739,312,1177,1099,237,583,494,784,3177,931,276,446,1353,640,1906,4400,2598,5447,1902,547,709,1032,156,713,2820
Путин,542199,7586,50298,18655,25980,14186,10224,17104,39751,15700,10310,7592,18413,8144,17952,46412,30204,62153,24648,8902,12156,32502,14183,16508,32636
Собчак,6714,32,166,165,27,72,38,126,524,115,30,51,201,64,336,1054,702,1625,331,47,52,73,18,93,772
Сурайкин,3994,40,147,125,32,67,51,91,408,107,35,40,153,53,208,582,286,701,197,45,60,83,16,101,366
Титов,3259,11,110,61,18,28,22,49,272,53,12,14,106,44,141,528,335,755,143,31,18,58,6,50,394
Явлинский,3494,16,98,64,9,37,22,35,242,45,7,14,87,30,164,638,367,960,120,21,26,43,5,48,396
