Магаданская область,Сумма,Магаданская,Ольская,Омсукчанская,Северо-Эвенская,Среднеканская,Сусуманская,Тенькинская,Хасынская,Ягоднинская,Арманская
"избирателей, включенных в список избирателей",102626,69464,5385,3330,1918,2093,4370,4616,4071,5652,1727
"изб.бюллетеней, полученных участковой избирательной комиссией",107633,70311,5330,3159,1965,2462,5527,4584,5614,6695,1986
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",2417,0,18,393,548,452,172,666,2,166,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",68365,45971,3547,1940,903,1227,3284,3217,3548,3633,1095
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",3018,1513,141,149,87,72,320,178,121,255,182
"изб.бюллетеней, погашенных",33833,22827,1624,677,427,711,1751,523,1943,2641,709
"изб.бюллетеней, в переносных ящиках для голосования",5434,1512,159,542,635,524,492,844,123,421,182
"изб.бюллетеней, в стационарных ящиках для голосования",68345,45954,3546,1940,903,1227,3284,3217,3548,3631,1095
"изб.бюллетеней, недействительных",1108,622,56,47,67,20,56,109,66,50,15
"изб.бюллетеней, действительных",72671,46844,3649,2435,1471,1731,3720,3952,3605,4002,1262
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0
Бабурин,417,270,17,11,8,11,25,27,23,17,8
Грудинин,10364,7229,560,240,153,184,383,551,566,353,145
Жириновский,6185,3527,356,234,168,152,344,598,324,365,117
Путин,53341,34124,2625,1902,1092,1341,2887,2641,2611,3156,962
Собчак,1007,740,41,10,29,22,31,59,29,33,13
Сурайкин,408,262,23,19,7,8,15,24,18,27,5
Титов,458,329,10,7,9,8,19,26,19,25,6
Явлинский,491,363,17,12,5,5,16,26,15,26,6
