Московская область,Сумма,Балашихинская городская,Бронницкая городская,Волоколамская,Воскресенская,Восходненская поселковая,Власихинская городская,Дзержинская городская,Дмитровcкая,Долгопрудненская городская,Домодедовская городская,Дубненская городская,Егорьевская городская,Жуковская городская,Зарайская городская,Звенигородская городская,Звездный городок городская,Ивантеевская городская,Истринская городская,Каширская городская,Клинская городская,Коломенская городская,Королевская городская,Котельниковская поселковая,Красноармейская городская,Красногорская городская,Краснознаменская городская,Ленинская,Лобненская городская,Лосино-Петровская городская,Лотошинская,Луховицкая городская,Лыткаринская городская,Люберецкая городская,Можайская,Молодежная поселковая,Мытищинская городская,Наро-Фоминская городская,Ногинская,Одинцовская,Озерская городская,Орехово-Зуевская городская,Орехово-Зуевская,Павлово-Посадская городская,Подольская городская,Протвинская городская,Пушкинская,Пущинская городская,Раменская,Реутовская городская,Рошальская городская,Рузская городская,Сергиево-Посадская,Серебряно-Прудская городская,Серпуховская городская,Серпуховская,Солнечногорская,Ступинская городская,Талдомская,Фрязинская городская,Химкинская городская,Черноголовская городская,Чеховская городская,Шатурская городская,Шаховская городская,Щелковская,Электрогорская городская,Электростальская городская,Балашихинская городская № 2,Королевская городская № 2,Красногорская городская № 2,Одинцовская № 2,Раменская № 2,Химкинская городская № 2
"избирателей, включенных в список избирателей",5829578,166788,16632,42179,118750,1399,18255,37261,132833,74474,134658,55007,78181,77688,30899,22401,5085,53544,108388,55313,102786,154707,122290,25383,20553,117971,32752,107761,68312,16440,14194,49897,41472,229486,56834,2173,194502,133191,167298,141859,28273,101377,79421,65559,267486,29147,139808,16363,80964,70875,16015,54621,198772,18671,107082,33350,120576,89902,37180,46320,116102,18022,105541,54341,19145,165760,17528,121972,176339,51869,57114,118576,110967,64944
"изб.бюллетеней, полученных участковой избирательной комиссией",5210945,149800,13800,39200,94866,1400,17500,34850,112767,62529,110800,52750,70316,62150,28440,16656,4850,47300,100587,48170,93635,135350,116302,20204,20325,106455,31300,86690,53350,14700,12950,44540,41100,210850,51050,2000,158314,124205,158050,125712,22410,96355,78375,62500,255950,26500,125250,13400,71257,65800,13150,49400,193630,16901,101800,31200,94880,85780,35300,37100,92281,14911,87950,51600,18200,146890,15000,118400,158200,49095,52650,109970,92300,50747
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",3540550,110861,10623,17712,64784,926,11794,22248,78690,46159,84600,34013,41771,44623,16842,12667,3156,33776,60616,30851,60695,93605,75718,19003,11328,76178,20654,63189,43984,10673,7338,30959,27406,148725,33602,1464,115635,81655,107410,90403,14448,59943,41667,36556,160708,17486,83586,9283,47937,51808,11545,30550,118062,11218,69902,18751,68549,61226,20644,28201,69786,10508,64760,28832,10488,102659,12575,74650,108298,31006,39110,73793,67486,38193
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",167006,5253,397,943,3421,24,196,745,4478,1247,3861,708,6018,1453,2168,373,95,1054,2404,2297,4650,5778,1924,312,269,2551,512,1326,1463,2211,751,2055,619,5792,4041,31,3542,2600,5094,6177,975,3360,2559,1840,4251,477,3480,394,1573,1974,392,1851,8340,1042,2512,764,2287,4428,1693,618,1857,249,5085,2411,1277,2987,723,3725,4529,987,1699,3827,2985,1022
"изб.бюллетеней, погашенных",1503019,33664,2780,20544,26661,450,5510,11857,29599,15123,22335,18029,22526,16066,9430,3615,1599,12444,37567,15022,28199,35960,38598,888,8728,27726,10134,22172,7903,1816,4861,11526,13075,56333,13406,505,39133,39947,45546,29133,6987,33052,34149,24104,90979,8537,38178,3722,21747,12018,1213,16999,67133,4641,29386,11685,24041,20125,12963,8281,20638,4154,18104,20357,6434,41244,1702,40021,45362,17102,11841,32349,21829,11532
"изб.бюллетеней, в переносных ящиках для голосования",166859,5204,397,943,3421,24,196,744,4478,1247,3861,706,6018,1447,2167,373,95,1054,2403,2297,4650,5778,1922,312,269,2551,512,1325,1463,2211,751,2055,619,5792,4041,31,3540,2600,5094,6176,975,3360,2559,1840,4251,477,3478,394,1573,1974,392,1851,8340,1042,2512,764,2287,4427,1693,618,1833,249,5085,2411,1276,2987,723,3725,4523,986,1699,3826,2985,977
"изб.бюллетеней, в стационарных ящиках для голосования",3536654,110026,10582,17709,64718,924,11777,22193,78648,46137,84501,33947,41771,44612,16842,12667,3155,33763,60438,30851,60644,93547,75679,18948,11314,76090,20604,63170,43979,10673,7336,30958,27400,148569,33595,1463,115526,81643,107324,90317,14448,59831,41666,36552,160521,17475,83439,9279,47877,51776,11545,30549,117971,11218,69874,18750,68536,61110,20643,28188,69477,10496,64746,28826,10485,102644,12570,74625,108160,30976,39092,73682,67419,38168
"изб.бюллетеней, недействительных",48175,1735,115,428,811,17,112,329,814,523,829,431,596,645,264,142,39,553,648,452,783,1905,1135,144,232,1100,311,713,583,79,93,480,273,1469,475,24,1804,1088,1605,1248,244,979,722,542,1987,238,1541,125,623,335,118,358,1628,201,818,271,898,639,244,420,1176,173,765,320,199,1318,149,875,1720,429,493,1125,747,728
"изб.бюллетеней, действительных",3655338,113495,10864,18224,67328,931,11861,22608,82312,46861,87533,34222,47193,45414,18745,12898,3211,34264,62193,32696,64511,97420,76466,19116,11351,77541,20805,63782,44859,12805,7994,32533,27746,152892,37161,1470,117262,83155,110813,95245,15179,62212,43503,37850,162785,17714,85376,9548,48827,53415,11819,32042,124683,12059,71568,19243,69925,64898,22092,28386,70134,10572,69066,30917,11562,104313,13144,77475,110963,31533,40298,76383,69657,38417
