Мурманская область,Сумма,Апатитская,Видяевская,Заозерская,Кандалакшская,Кировская,Ковдорская,Кольская,Ловозерская,Мончегорская,Мурманская,Оленегорская,Островнинская,Печенгская,Полярнозоринская,Североморская,ТИК ЗАТО Александровск,Терская
"избирателей, включенных в список избирателей",599851,45246,3188,6578,38966,25856,16254,32772,8223,38237,237854,22712,1242,28894,13480,44989,30432,4928
"изб.бюллетеней, полученных участковой избирательной комиссией",560390,37600,3300,6060,32430,24200,15910,32167,7145,31376,229876,20130,1200,25000,11200,47596,29950,5250
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",1096,0,0,8,197,0,89,127,15,0,0,12,50,404,0,0,26,168
"изб.бюллетеней, выданных в помещении для голосования в день голосования",387283,30436,2362,4450,23114,18395,9793,19362,4816,23873,150636,14851,723,19389,9673,31464,21279,2667
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",9670,717,18,84,808,374,291,489,190,849,3584,409,9,362,365,472,446,203
"изб.бюллетеней, погашенных",162339,6447,920,1518,8311,5431,5737,12189,2124,6654,75654,4858,418,4845,1162,15660,8199,2212
"изб.бюллетеней, в переносных ящиках для голосования",10763,717,18,92,1005,374,380,615,205,849,3583,421,59,766,365,471,472,371
"изб.бюллетеней, в стационарных ящиках для голосования",387044,30422,2362,4449,23111,18385,9771,19331,4816,23866,150586,14845,723,19378,9669,31394,21270,2666
"изб.бюллетеней, недействительных",4915,554,21,48,345,270,136,232,55,319,1721,190,5,320,196,182,283,38
"изб.бюллетеней, действительных",392892,30585,2359,4493,23771,18489,10015,19714,4966,24396,152448,15076,777,19824,9838,31683,21459,2999
"изб.бюллетеней, утраченных",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2827,277,12,20,170,146,66,109,28,163,1292,68,0,121,88,143,92,32
Грудинин,35240,3304,188,296,2310,2069,1027,1651,439,2177,12821,1264,30,1766,1234,2604,1798,262
Жириновский,31434,2942,172,383,2070,1826,810,1596,352,2103,10730,1125,74,1935,733,2461,1828,294
Путин,303796,22170,1915,3661,18121,13367,7748,15571,3967,18823,118573,12114,647,15258,7240,25290,17037,2294
Собчак,8931,776,33,73,481,481,158,358,73,465,4194,209,10,358,233,623,355,51
Сурайкин,2578,228,17,25,170,149,60,124,37,168,1010,97,7,121,85,153,110,17
Титов,3426,344,12,13,209,183,70,131,25,205,1564,79,5,131,93,224,108,30
Явлинский,4660,544,10,22,240,268,76,174,45,292,2264,120,4,134,132,185,131,19
