Ненецкий автономный округ,Сумма,Нарьян-Марская,Заполярная
"избирателей, включенных в список избирателей",39470,17498,21972
"изб.бюллетеней, полученных участковой избирательной комиссией",33688,15000,18688
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",6116,0,6116
"изб.бюллетеней, выданных в помещении для голосования в день голосования",18414,10196,8218
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",579,299,280
"изб.бюллетеней, погашенных",8579,4505,4074
"изб.бюллетеней, в переносных ящиках для голосования",6695,299,6396
"изб.бюллетеней, в стационарных ящиках для голосования",18412,10195,8217
"изб.бюллетеней, недействительных",267,86,181
"изб.бюллетеней, действительных",24840,10408,14432
"изб.бюллетеней, утраченных",0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0
Бабурин,185,89,96
Грудинин,3397,1621,1776
Жириновский,2482,852,1630
Путин,17863,7477,10386
Собчак,448,171,277
Сурайкин,135,58,77
Титов,172,74,98
Явлинский,158,66,92
