Нижегородская область,Сумма,Ардатовская,Арзамасская,Арзамасская городская,Балахнинская,Богородская,Большеболдинская,Большемурашкинская,Борская,Бутурлинская,Вадская,Варнавинская,Вачская,Ветлужская,Вознесенская,Володарская,Воротынская,Воскресенская,Выксунская,Гагинская,Городецкая,Дальнеконстантиновская,"Дзержинская, Свердловская",Дивеевская,Саровская городская,Княгининская,Ковернинская,Краснобаковская,Краснооктябрьская,Кстовская,Кулебакская,Лукояновская,Лысковская,Навашинская,Сокольская,"Нижний Новгород, Автозаводская Северная","Нижний Новгород, Канавинская","Нижний Новгород, Ленинская","Нижний Новгород, Московская","Нижний Новгород, Нижегородская","Нижний Новгород, Приокская","Нижний Новгород, Советская","Нижний Новгород, Сормовская",Павловская,Первомайская,Перевозская,Пильнинская,Починковская,Семеновская,Сергачская,Сеченовская,Сосновская,Спасская,Тонкинская,Тоншаевская,Уренская,Чкаловская,Шарангская,Шатковская,Шахунская,"Нижний Новгород, Автозаводская Южная","Дзержинская, Калининская"
"избирателей, включенных в список избирателей",2618865,20359,34249,83812,63200,57898,8765,9026,98508,11092,11104,7897,15094,11599,12494,45526,14376,15700,69152,9480,72676,17630,97778,12916,74823,9026,15009,15171,8307,96319,39892,20593,29080,18744,10853,117901,127090,112618,102643,111413,82112,117822,132629,78948,15270,12256,16113,22153,35874,24170,11680,14749,8796,6338,10534,22631,18263,9493,19463,30315,123426,96017
"изб.бюллетеней, полученных участковой избирательной комиссией",2458513,20860,33420,66100,62050,56250,9280,9250,95148,11450,10690,8135,13630,11300,12865,42500,14020,15350,67695,9390,71020,17150,89662,12770,71150,9100,15350,14500,8445,86061,37700,20619,30220,18900,10780,109798,116272,102806,95196,97066,64149,109179,123794,76180,15200,12210,15050,22320,34900,24540,11895,14600,8826,6416,10510,21950,18415,9900,19689,30550,117050,87242
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1595437,13211,22275,51903,34805,37449,6210,5737,59441,8378,7913,5302,8960,7198,7317,28321,8974,7852,46145,5718,43191,11711,58837,9272,53745,6482,8850,8623,5005,55844,22590,15738,18691,12040,7631,71761,72535,62526,58839,65107,49402,67780,77509,50733,9936,7625,9204,17913,22216,15463,8286,10375,5323,4093,7796,13829,10986,7046,11967,17064,72682,56082
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",132168,2391,3286,2204,2215,3701,870,1213,11330,1366,1099,1180,2634,1193,1126,1360,1669,2253,2029,1010,3681,2422,2148,1589,1586,934,2178,1849,581,3410,2803,1903,2517,1132,1409,1905,2536,1647,1731,2909,1458,2300,3134,7053,1223,798,1492,2258,4414,1993,1151,1970,1414,964,922,1498,2122,618,2255,2411,2709,3012
"изб.бюллетеней, погашенных",730505,5258,7859,11993,25030,15100,2200,2300,24377,1706,1678,1653,2036,2909,4422,12819,3377,5245,19521,2662,24148,3017,28677,1909,15819,1684,4322,4028,2859,26807,12307,2978,9012,5728,1740,36132,41201,38633,34626,28647,13289,39099,43151,18394,4041,3787,4354,2149,8270,7084,2458,2255,2089,1359,1792,6623,5307,2236,5467,11075,41659,28148
"изб.бюллетеней, в переносных ящиках для голосования",132480,2391,3286,2204,2215,3701,870,1213,11324,1366,1099,1180,2634,1193,1126,1360,1669,2253,2029,1009,3681,2422,2148,1589,1586,934,2178,1849,581,3409,2803,1903,2517,1132,1409,1905,2532,1647,1731,3312,1457,2300,3133,6979,1223,798,1492,2258,4414,1993,1151,1970,1414,964,922,1498,2122,618,2255,2411,2708,3010
"изб.бюллетеней, в стационарных ящиках для голосования",1594498,13211,22274,51887,34702,37449,6210,5737,59405,8378,7913,5302,8958,7195,7316,28315,8974,7851,46133,5718,43182,11711,58819,9272,53716,6482,8849,8622,5005,55802,22588,15738,18687,12040,7630,71696,72488,62483,58754,65057,49323,67730,77466,50732,9851,7622,9202,17913,22216,15463,8286,10375,5323,4093,7796,13829,10984,7046,11965,17064,72650,56020
"изб.бюллетеней, недействительных",15107,179,167,565,443,238,47,43,343,63,57,59,82,46,61,357,85,64,591,53,499,63,608,87,764,47,88,76,49,535,172,11,147,98,41,630,679,553,565,729,557,814,698,432,76,88,93,48,205,160,26,32,47,38,87,104,91,42,113,165,710,497
"изб.бюллетеней, действительных",1711871,15423,25393,53526,36474,40912,7033,6907,70386,9681,8955,6423,11510,8342,8381,29318,10558,10040,47571,6674,46364,14070,60359,10774,54538,7369,10939,10395,5537,58676,25219,17630,21057,13074,8998,72971,74341,63577,59920,67640,50223,69216,79901,57279,10998,8332,10601,20123,26425,17296,9411,12313,6690,5019,8631,15223,13015,7622,14107,19310,74648,58533
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,12037,92,146,497,301,216,47,36,348,37,41,30,79,57,41,147,73,78,293,42,383,88,425,106,515,33,57,66,31,348,184,120,118,61,50,519,572,512,526,613,416,669,581,394,58,62,77,112,135,87,53,45,37,40,43,88,77,27,83,137,530,358
Грудинин,183465,2114,2456,7046,4784,3500,745,600,5426,837,901,599,1639,1161,1235,3043,1118,1413,5227,864,5282,1504,6442,909,6533,813,1152,1016,1057,6835,3241,810,2411,1432,605,6532,7488,6532,6450,8154,5912,8058,7806,5799,1374,1229,1347,1041,2420,2497,901,989,672,556,962,2762,1233,660,1578,3394,6502,5867
Жириновский,111744,1024,1634,3686,2944,2217,672,417,4170,533,723,466,840,618,476,2590,674,943,3441,593,3711,908,4441,432,3690,427,859,1149,227,4107,1647,972,1417,996,593,4666,4181,3922,3552,3130,2735,3492,4836,3048,668,675,701,1046,2068,1239,500,509,396,394,830,1349,812,455,1054,2026,4942,4281
Путин,1334417,11769,20579,40355,27036,33823,5404,5721,58624,8140,7037,5196,8690,6326,6487,22572,8452,7389,37285,5030,35379,11248,46058,9125,41600,5933,8643,7909,4119,44993,19529,15351,16628,10249,7551,57399,57884,49025,46080,49713,37959,51314,62636,46430,8669,6176,8271,17516,21157,13119,7775,10580,5474,3947,6548,10718,10571,6335,11091,13280,59310,45210
Собчак,27728,168,162,731,545,468,53,35,733,36,101,46,93,59,37,484,83,52,501,58,596,116,1252,47,848,46,82,77,46,979,194,140,162,104,74,1606,1707,1378,1314,2585,1296,2368,1635,588,75,69,76,141,219,105,66,71,32,23,105,93,126,43,98,170,1377,1154
Сурайкин,12320,129,184,575,285,244,64,45,363,49,62,44,77,60,53,169,82,73,315,46,329,98,469,66,464,53,60,79,32,386,210,116,167,99,50,538,556,494,497,488,399,546,533,376,105,61,75,97,162,133,57,53,40,26,64,97,90,44,106,135,506,445
Титов,14053,76,112,383,311,234,30,32,354,30,56,27,59,35,32,183,47,62,291,24,379,53,558,62,436,42,45,58,12,547,141,63,80,81,49,731,826,716,640,1160,674,1057,816,323,33,30,30,67,162,70,35,36,26,21,44,75,56,29,68,112,700,532
