Новосибирская область,Сумма,Баганская,Барабинская,Бердская городская,Болотнинская,Венгеровская,Доволенская,Здвинская,Искитимская,Искитимская городская,Карасукская,Каргатская,Колыванская,Коченевская,Кочковская,Краснозерская,Куйбышевская,Купинская,Кыштовская,Маслянинская,Мошковская,"Новосибирск, Дзержинская","Новосибирск, Железнодорожная","Новосибирск, Заельцовская","Новосибирск, Калининская","Новосибирск, Кировская","Новосибирск, Ленинская","Новосибирск, Октябрьская","Новосибирск, Первомайская","Новосибирск, Советская","Новосибирск, Центральная",Новосибирская,Обская городская,Ордынская,Северная,Сузунская,Татарская,Тогучинская,Убинская,Усть-Таркская,Чановская,Черепановская,Чистоозерная,Чулымская,р.п.Кольцово
"избирателей, включенных в список избирателей",2159912,12240,34452,84368,22383,14738,14097,11453,50473,47455,35145,14960,20284,35352,10530,25801,45352,23481,9598,19832,32812,121395,47219,115765,147717,145085,227990,172596,66284,102732,57382,108384,21421,31045,7323,24429,30556,44322,11953,9181,19163,37764,13804,18643,12953
"изб.бюллетеней, полученных участковой избирательной комиссией",2041894,12800,33335,80950,22560,11908,14365,12600,45600,42550,35990,14910,19510,34292,11000,25495,44300,23646,9400,20000,31800,115381,44520,109845,143385,137213,217483,155554,64200,87400,49750,100150,21050,31150,8000,23800,28940,40372,11735,9165,16980,37950,13220,15340,12300
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1240320,7661,19318,50108,12555,8700,7531,7370,29775,26944,20605,7962,11731,19947,7029,16769,25639,12811,5386,12243,18001,67544,28745,65110,86630,80676,127563,97090,37259,60743,34616,61816,11937,18199,4528,15659,16535,25051,6800,5459,12135,22671,7804,9143,8522
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",64418,674,1635,1937,1267,1222,830,1078,1641,1081,1920,818,976,1733,858,1910,2533,1392,687,919,1181,2128,820,2694,2377,1948,3598,2136,1217,1500,1063,2421,463,1522,454,1560,1578,3158,680,632,1140,2285,834,1746,172
"изб.бюллетеней, погашенных",737149,4465,12382,28903,8738,1986,6003,4152,14184,14525,13465,6130,6803,12612,3113,6815,16128,9443,3327,6838,12618,45708,14955,42041,54377,54589,86322,56329,25724,25157,14071,35912,8650,11429,3018,6580,10827,12163,4255,3074,3705,12994,4582,4451,3606
"изб.бюллетеней, в переносных ящиках для голосования",64418,674,1635,1937,1267,1222,830,1078,1641,1081,1920,818,976,1733,858,1910,2533,1392,687,919,1181,2128,820,2694,2377,1948,3598,2136,1217,1500,1063,2421,463,1522,454,1560,1578,3158,680,632,1140,2285,834,1746,172
"изб.бюллетеней, в стационарных ящиках для голосования",1239841,7661,19318,50081,12554,8700,7531,7370,29768,26937,20605,7962,11730,19944,7029,16768,25637,12811,5386,12240,17999,67460,28739,65102,86599,80608,127497,97047,37252,60676,34614,61789,11935,18199,4528,15658,16535,25050,6800,5459,12135,22671,7804,9143,8510
"изб.бюллетеней, недействительных",16625,104,292,636,223,68,95,92,524,381,286,130,151,323,121,265,389,188,79,139,320,1029,299,730,1168,1042,1442,1025,486,891,333,892,210,268,75,251,237,420,100,69,125,404,110,89,124
"изб.бюллетеней, действительных",1287634,8231,20661,51382,13598,9854,8266,8356,30885,27637,22239,8650,12555,21354,7766,18413,27781,14015,5994,13020,18860,68559,29260,67066,87808,81514,129653,98158,37983,61285,35344,63318,12188,19453,4907,16967,17876,27788,7380,6022,13150,24552,8528,10800,8558
"изб.бюллетеней, утраченных",9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,8473,47,116,379,66,76,50,37,153,193,131,56,57,91,33,93,187,51,52,73,106,496,269,486,585,569,849,692,227,536,288,379,79,83,38,107,116,155,53,32,58,165,46,58,60
Грудинин,213707,1029,4221,8686,1979,1844,1294,1242,4718,5014,4858,1105,1725,2767,1375,3303,5681,1940,855,1787,2825,11189,5075,11472,14485,13697,21230,17583,6824,10650,6076,11129,1979,2995,946,2247,2718,3856,1053,812,1714,3216,1712,1241,1560
Жириновский,85790,757,2012,3213,1181,851,697,910,2608,2076,1952,766,980,1591,689,1627,1990,1404,639,1531,1630,4099,1195,3221,5111,4627,6884,4798,2348,2517,1495,3940,859,1639,552,1740,1577,2998,575,539,945,2993,674,991,369
