Омская область,Сумма,Азовская,Большереченская,Большеуковская,Горьковская,Знаменская,Исилькульская,Калачинская,Колосовская,Кормиловская,Крутинская,Любинская,Марьяновская,Москаленская,Муромцевская,Называевская,Нижнеомская,Нововаршавская,Одесская,Оконешниковская,Омская,Павлоградская,Полтавская,Русско-Полянская,Саргатская,Седельниковская,Таврическая,Тарская,Тевризская,Тюкалинская,Усть-Ишимская,Шербакульская,Черлакская,"Омск, Кировская","Омск, Ленинская","Омск, Октябрьская","Омск, Советская","Омск, Центральная"
"избирателей, включенных в список избирателей",1535403,17721,22414,6169,17471,9169,31000,34575,9519,19438,11638,29624,19553,21997,18180,18170,12965,18229,11968,10897,82058,14515,16544,15369,13653,7823,27449,32165,11275,19161,9397,16798,22341,203421,155486,133057,188575,225619
"изб.бюллетеней, полученных участковой избирательной комиссией",1500429,17350,23390,6658,17926,8520,28075,33764,9494,19797,11833,30675,18583,22776,18971,17476,11472,18041,10427,11117,81054,14263,17150,15955,14075,8044,27680,29600,11583,19900,9616,17716,21962,194870,148221,129550,186695,216150
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",877614,11134,12250,3683,9386,5639,18882,20138,5794,11468,8478,19519,10921,13051,10092,9474,7674,10840,7460,6569,45470,9054,10192,8282,7732,5309,16752,19949,6565,10102,4760,10184,12753,113578,88382,76777,105733,123588
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",51132,590,1520,419,1087,544,1460,1611,565,962,1568,1911,968,1220,1069,1446,895,690,588,775,2397,749,837,618,864,615,1447,1905,512,1781,653,990,1005,2947,2912,2547,3046,5419
"изб.бюллетеней, погашенных",571681,5626,9620,2556,7453,2337,7733,12015,3135,7367,1787,9245,6694,8505,7810,6556,2903,6511,2379,3773,33187,4460,6121,7053,5479,2120,9481,7746,4506,8017,4203,6542,8204,78345,56927,50226,77916,87143
"изб.бюллетеней, в переносных ящиках для голосования",51130,590,1520,419,1087,544,1460,1611,565,962,1568,1911,968,1220,1069,1446,895,690,588,775,2397,749,837,618,864,615,1447,1905,512,1781,653,990,1005,2947,2912,2547,3045,5418
"изб.бюллетеней, в стационарных ящиках для голосования",877350,11134,12250,3683,9386,5639,18835,20138,5792,11467,8478,19519,10920,13050,10092,9474,7674,10840,7460,6569,45469,9054,10192,8281,7732,5309,16751,19948,6565,10102,4760,10184,12752,113546,88367,76732,105688,123518
"изб.бюллетеней, недействительных",12487,157,129,44,127,74,240,280,77,198,129,314,170,176,144,119,111,144,100,102,666,132,116,115,117,78,327,247,92,140,71,160,193,1678,1474,1059,1460,1527
"изб.бюллетеней, действительных",915993,11567,13641,4058,10346,6109,20055,21469,6280,12231,9917,21116,11718,14094,11017,10801,8458,11386,7948,7242,47200,9671,10913,8784,8479,5846,17871,21606,6985,11743,5342,11014,13564,114815,89805,78220,107273,127409
"изб.бюллетеней, утраченных",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,10496,103,110,37,71,44,157,183,71,76,62,192,117,139,102,100,72,53,65,61,403,90,90,53,70,69,159,454,81,110,49,84,97,1467,1053,1081,1389,1882
Грудинин,189303,2046,2973,711,1698,1588,3250,4616,1705,1750,1169,2786,2020,2287,2439,1716,1621,2262,1555,1484,10205,1717,1776,1318,1618,1012,3274,4328,992,2321,674,1826,2564,27123,18448,17529,24553,28349
Жириновский,57901,656,949,323,753,397,1398,1723,537,986,817,1357,858,985,765,1054,711,721,676,555,2953,752,997,603,612,680,1254,1730,661,895,473,803,1018,5787,5409,4505,6057,6491
Путин,624934,8540,9351,2905,7642,3976,14843,14485,3833,9166,7678,16388,8487,10381,7484,7718,5877,8158,5500,5018,32294,6922,7812,6639,6041,3975,12777,14609,5054,8209,4004,8080,9593,74983,61153,51409,70089,83861
Собчак,14282,86,98,37,78,44,144,182,46,122,70,163,97,105,103,74,59,61,51,47,561,74,79,64,49,48,184,182,72,81,46,87,107,2534,1573,1473,2272,3129
Сурайкин,5653,55,60,20,54,31,115,114,47,65,69,102,63,103,62,78,63,61,50,41,316,53,86,57,42,30,103,112,63,52,55,66,89,699,606,558,656,757
Титов,5832,38,53,15,29,21,82,94,27,28,22,66,37,55,32,39,24,36,31,21,255,37,45,25,23,22,65,100,30,37,25,39,53,922,630,681,925,1168
Явлинский,7592,43,47,10,21,8,66,72,14,38,30,62,39,39,30,22,31,34,20,15,213,26,28,25,24,10,55,91,32,38,16,29,43,1300,933,984,1332,1772
