Оренбургская область,Сумма,Абдулинская городская,Адамовская,Акбулакская,Александровская,Асекеевская,Беляевская,Бугурусланская,Бугурусланская городская,Бузулукская,Бузулукская городская,Гайская городская,Грачевская,Домбаровская,Илекская,Кваркенская,Красногвардейская,Кувандыкская городская,Курманаевская,Матвеевская,Медногорская городская,Новоорская,Новосергиевская,Новотроицкая городская,Октябрьская,"Оренбург, Дзержинская","Оренбург, Ленинская","Оренбург, Промышленная","Оренбург, Центральная",Оренбургская,"Орск, Ленинская","Орск, Октябрьская","Орск, Советская",Первомайская,Переволоцкая,Пономаревская,Сакмарская,Саракташская,Светлинская,Северная,Соль-Илецкая городская,Сорочинская городская,Ташлинская,Тоцкая,Тюльганская,Шарлыкская,Ясненская городская,ЗАТО Комаровская
"избирателей, включенных в список избирателей",1518357,24472,18112,19201,12559,16208,13093,15902,37793,24625,62408,37450,10984,10729,19945,13341,16374,35783,14738,9729,22257,24012,27366,73765,16776,110910,138968,75698,72319,69778,51603,70802,54699,19193,21086,11463,20985,32301,9637,11292,39953,34129,18713,25717,15992,14558,15578,5361
"изб.бюллетеней, полученных участковой избирательной комиссией",1463314,24410,21000,19280,12968,17000,14250,15700,37960,22842,51700,38450,11275,12676,21100,15200,17305,36979,15183,9985,20580,24969,27390,74935,17200,102860,122250,71995,59100,69239,53600,61150,42480,20250,21777,11725,22050,32180,10785,12000,39895,35000,19310,25375,14470,14960,15826,4700
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381
"изб.бюллетеней, выданных в помещении для голосования в день голосования",934617,12498,10842,10862,8241,10230,8164,9676,21361,15584,38859,23581,7174,6790,12548,9221,9740,18764,9264,5986,13194,13911,17031,44965,10668,76637,92643,51489,43965,44538,28431,35641,28767,11944,12045,7719,12418,19177,5892,7000,23911,20822,12491,16823,9390,9955,10009,3756
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",68462,1323,708,1017,792,1909,904,1393,976,2183,1717,1114,900,370,1571,751,1187,1515,1249,808,1090,1024,1304,1653,1032,3442,3334,3723,3008,2261,1951,2101,2238,1045,861,1202,1398,1774,928,1088,1668,1870,1088,2163,851,1386,528,64
"изб.бюллетеней, погашенных",459846,10589,9450,7401,3931,4860,5182,4631,15623,5075,11124,13755,3201,5516,6981,5228,6378,16700,4670,3191,6295,10034,9055,28316,5500,22780,26273,16783,12127,22440,23218,23408,11475,7261,8871,2804,8234,11229,3965,3912,14316,12308,5731,6389,4229,3619,5289,499
"изб.бюллетеней, в переносных ящиках для голосования",68784,1323,708,1017,792,1909,904,1393,976,2183,1702,1114,900,370,1571,751,1187,1515,1249,808,1090,1024,1304,1653,1032,3441,3334,3723,3008,2261,1913,2101,2233,1045,861,1202,1398,1774,928,1088,1668,1870,1088,2163,851,1386,528,445
"изб.бюллетеней, в стационарных ящиках для голосования",934198,12498,10842,10862,8238,10228,8163,9676,21360,15584,38859,23581,7174,6790,12547,9219,9740,18764,9264,5986,13194,13911,17029,44879,10667,76626,92560,51466,43961,44534,28348,35638,28767,11944,12044,7719,12417,19146,5892,6999,23839,20821,12491,16823,9389,9955,10008,3756
"изб.бюллетеней, недействительных",10938,140,125,130,64,83,78,114,264,247,424,318,78,124,132,115,67,171,72,56,186,185,178,570,119,807,1064,609,592,451,343,400,414,108,150,79,154,278,71,89,295,276,145,213,110,93,107,50
"изб.бюллетеней, действительных",992044,13681,11425,11749,8966,12054,8989,10955,22072,17520,40137,24377,7996,7036,13986,9855,10860,20108,10441,6738,14098,14750,18155,45962,11580,79260,94830,54580,46377,46344,29918,37339,30586,12881,12755,8842,13661,20642,6749,7998,25212,22415,13434,18773,10130,11248,10429,4151
"изб.бюллетеней, утраченных",8,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,6137,61,48,64,44,61,39,61,143,80,239,155,42,36,89,65,61,115,47,25,93,83,116,336,44,565,728,351,329,240,233,276,198,54,56,66,75,126,46,58,118,135,61,82,58,73,47,15
Грудинин,155156,3055,2273,1570,1474,1801,1097,1763,4186,2599,6675,4370,1208,1902,2319,1462,1808,4393,1832,1218,3048,2760,3145,7697,1955,10258,13043,6617,6415,6261,5170,6214,5390,2180,1630,886,1790,3126,930,1005,4130,4034,1864,2496,1915,1797,1712,683
Жириновский,67777,885,737,801,667,656,736,802,1752,1297,2781,2208,616,368,1122,856,883,1254,677,486,962,1055,1561,3207,732,5188,5384,3785,2838,2789,1815,2340,2051,862,947,463,855,1702,540,445,1543,1691,1183,1643,787,623,804,398
Путин,731838,9398,8112,9092,6575,9286,6885,8112,15312,13173,29213,16828,5933,4587,10220,7231,7825,13830,7703,4863,9592,10518,12941,33236,8595,59886,70957,41664,34542,35571,21677,27262,22181,9521,9820,7258,10580,15091,5121,6344,18876,16066,10109,14102,7113,8511,7616,2910
Собчак,11539,100,89,65,77,79,73,75,216,128,425,272,61,59,86,66,77,149,54,33,137,113,135,548,82,1318,2049,834,897,615,375,450,276,72,86,55,118,182,33,46,184,155,67,196,84,74,88,86
Сурайкин,7846,105,91,93,70,91,80,85,216,126,296,226,79,41,64,96,103,197,74,63,133,97,135,359,95,639,707,490,420,295,237,263,200,113,118,70,109,227,50,54,195,150,90,127,100,97,62,18
Титов,6003,47,50,30,33,41,49,42,134,61,251,177,39,23,49,41,69,90,35,33,70,57,72,302,45,693,891,364,430,300,218,271,138,46,59,26,73,110,16,29,90,120,36,80,53,42,55,23
Явлинский,5748,30,25,34,26,39,30,15,113,56,257,141,18,20,37,38,34,80,19,17,63,67,50,277,32,713,1071,475,506,273,193,263,152,33,39,18,61,78,13,17,76,64,24,47,20,31,45,18
