Орловская область,Сумма,Болховская,Верховская,Глазуновская,Дмитровская,Должанская,Залегощенская,Знаменская,Колпнянская,Корсаковская,Краснозоренская,Кромская,Ливенская,Ливенская городская,Малоархангельская,Мценская,Мценская городская,Новодеревеньковская,Новосильская,"Орел, Железнодорожная","Орел, Заводская","Орел, Советская",Орловская,Покровская,Свердловская,Сосковская,Троснянская,Урицкая,Хотынецкая,Шаблыкинская,"Орел, Северная"
"избирателей, включенных в список избирателей",631300,14775,14580,10496,10156,8925,11754,4040,11687,3427,5309,16602,24375,37864,9485,15778,34404,8522,6798,51752,88084,65408,55932,11529,12735,4979,7743,14198,8165,5991,55807
"изб.бюллетеней, полученных участковой избирательной комиссией",620855,14656,14265,10400,10282,9000,12430,4047,12000,3400,5360,17000,25101,37636,9909,16420,28664,8900,6935,50150,87210,60900,55150,11570,12380,4900,8000,14860,8230,6108,54992
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",400548,9291,9287,7597,6004,5676,7993,2969,8271,2206,3352,11267,15164,24219,5646,10881,21265,5576,4069,30937,53485,43557,34896,7108,8099,3406,4972,9389,5574,4552,33840
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",55088,1890,1199,1277,1226,1538,1669,536,2112,554,1052,2215,3896,1932,2183,2828,1327,1265,998,1657,2163,1794,7477,1912,1745,1129,1447,2316,1448,761,1542
"изб.бюллетеней, погашенных",165218,3475,3779,1526,3052,1786,2768,542,1617,640,956,3518,6041,11485,2080,2711,6072,2059,1868,17556,31561,15549,12777,2550,2536,365,1581,3155,1208,795,19610
"изб.бюллетеней, в переносных ящиках для голосования",55085,1890,1199,1277,1226,1538,1669,536,2112,554,1052,2215,3896,1932,2183,2828,1327,1265,998,1654,2163,1794,7477,1912,1745,1129,1447,2316,1448,761,1542
"изб.бюллетеней, в стационарных ящиках для голосования",400486,9289,9287,7597,6004,5676,7993,2969,8271,2206,3351,11267,15164,24218,5646,10881,21262,5576,4068,30933,53477,43531,34891,7104,8099,3406,4972,9389,5574,4552,33833
"изб.бюллетеней, недействительных",4670,117,93,44,81,61,115,23,23,23,28,156,174,308,73,93,288,49,32,371,633,567,409,102,72,34,44,106,68,45,438
"изб.бюллетеней, действительных",450901,11062,10393,8830,7149,7153,9547,3482,10360,2737,4375,13326,18886,25842,7756,13616,22301,6792,5034,32216,55007,44758,41959,8914,9772,4501,6375,11599,6954,5268,34937
"изб.бюллетеней, утраченных",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3210,66,53,43,50,27,76,10,24,11,24,83,104,185,46,46,171,37,36,302,547,444,295,47,69,18,24,49,20,27,276
Грудинин,55482,1250,1318,736,1253,669,1311,411,851,305,458,1576,2340,4241,749,1649,3564,898,656,3976,6936,5577,4682,1299,1184,347,570,1018,598,567,4493
Жириновский,27617,539,795,518,431,462,540,159,378,125,209,820,1242,1705,550,679,1609,429,278,2093,3450,2577,2641,685,692,159,298,706,222,264,2362
Путин,349743,8992,8026,7385,5273,5900,7417,2836,8974,2263,3614,10604,14851,19034,6238,11007,16245,5312,3968,24241,41243,33495,33017,6726,7620,3918,5395,9579,6039,4306,26225
Собчак,5777,82,63,66,51,31,59,31,49,14,25,88,123,258,69,88,259,43,38,658,1117,1090,516,44,76,24,39,100,21,38,617
Сурайкин,3187,72,65,34,45,38,69,19,46,11,33,83,117,167,47,70,190,38,15,270,463,417,312,54,62,24,26,73,19,33,275
Титов,3187,35,44,27,28,16,47,7,16,3,7,43,69,132,40,40,147,18,27,344,667,557,299,42,43,5,12,44,18,23,387
Явлинский,2698,26,29,21,18,10,28,9,22,5,5,29,40,120,17,37,116,17,16,332,584,601,197,17,26,6,11,30,17,10,302
