Пензенская область,Сумма,"Пенза, Октябрьская","Пенза, Железнодорожная","Пенза, Ленинская","Пенза, Первомайская",Зареченская городская,Кузнецкая городская,Башмаковская,Бековская,Белинская,Бессоновская,Вадинская,Городищенская,Земетчинская,Иссинская,Каменская,Камешкирская,Колышлейская,Кузнецкая,Лопатинская,Лунинская,Малосердобинская,Мокшанская,Наровчатская,Неверкинская,Нижнеломовская,Никольская,Пачелмская,Пензенская,Сердобская,Сосновоборская,Спасская,Тамалинская,Шемышейская
"избирателей, включенных в список избирателей",1061806,148020,87918,71868,104321,50813,65625,15280,11690,21021,34825,6537,38017,18280,8591,43943,9109,17615,28318,10213,15684,6948,21366,9132,11961,29898,25636,12137,50757,40528,13014,8922,11897,11922
"изб.бюллетеней, полученных участковой избирательной комиссией",1037724,145600,80700,62590,88300,47050,66071,17129,12510,22200,34780,7147,38619,19360,8900,43800,9564,19295,28690,10855,16078,7960,20526,9532,12471,30377,25772,12581,49412,41810,12495,9572,12738,13240
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",678998,89923,51304,41815,62520,34710,36382,11101,7025,11866,26936,4216,26279,11573,5825,30373,5767,10766,20001,7823,10510,4298,14045,6555,9697,20609,19952,8412,36099,21905,9047,5655,6928,9081
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",104043,5623,6727,3276,6473,1650,6641,1963,2221,3349,3758,1426,2556,2688,1469,5882,1248,3417,2832,1096,2718,1698,2673,1457,1290,5125,4368,1347,5698,5629,1339,1629,2304,2473
"изб.бюллетеней, погашенных",254676,50053,22668,17499,19304,10690,23048,4065,3264,6985,4086,1505,9784,5099,1606,7545,2549,5112,5856,1936,2850,1964,3807,1520,1484,4643,1452,2822,7615,14276,2109,2288,3506,1686
"изб.бюллетеней, в переносных ящиках для голосования",104036,5619,6727,3275,6472,1650,6641,1963,2221,3349,3758,1426,2556,2688,1469,5882,1248,3417,2832,1096,2718,1698,2672,1457,1290,5125,4368,1347,5698,5629,1339,1629,2304,2473
"изб.бюллетеней, в стационарных ящиках для голосования",678602,89904,51295,41781,62494,34502,36362,11101,7022,11863,26934,4216,26271,11573,5825,30371,5767,10765,20000,7822,10510,4298,14044,6555,9697,20607,19952,8362,36099,21903,9047,5655,6928,9077
"изб.бюллетеней, недействительных",6740,1114,612,502,671,481,337,264,117,96,284,22,310,120,42,156,57,98,104,67,110,40,129,34,21,150,30,73,184,252,18,74,113,58
"изб.бюллетеней, действительных",775898,94409,57410,44554,68295,35671,42666,12800,9126,15116,30408,5620,28517,14141,7252,36097,6958,14084,22728,8851,13118,5956,16587,7978,10966,25582,24290,9636,41613,27280,10368,7210,9119,11492
"изб.бюллетеней, утраченных",8,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4616,766,468,393,546,328,239,75,49,71,128,23,117,81,18,182,23,69,101,18,51,25,64,22,31,99,51,44,177,191,47,42,47,30
Грудинин,78135,11343,6702,5412,7953,4662,5041,1166,890,1297,1911,458,2523,1805,690,3305,637,1574,1952,971,1139,823,1428,492,1297,1782,603,1007,2965,2798,881,774,1182,672
Жириновский,43823,6759,3860,2741,4442,2906,2655,832,682,843,1415,247,1019,681,355,2143,272,764,1121,160,658,337,907,250,190,1082,222,688,1749,1781,555,406,637,464
Путин,625928,70946,43813,33351,52204,25765,33562,10501,7301,12676,26361,4806,24360,11364,6089,29882,5925,11417,19120,7629,11069,4685,13837,7123,9343,22272,23272,7725,35862,21863,8654,5856,7099,10196
Собчак,9048,1866,1063,1113,1275,861,389,75,87,77,213,33,174,68,40,192,19,100,123,19,79,23,132,21,39,115,34,67,351,204,64,41,53,38
Сурайкин,5614,914,489,422,640,382,370,62,51,94,168,26,182,77,43,196,47,77,191,28,65,31,106,45,38,115,40,62,191,199,99,38,64,62
Титов,4037,811,444,432,485,326,217,43,40,32,118,13,83,41,9,112,17,47,71,16,29,16,68,13,22,72,38,22,159,138,32,31,23,17
Явлинский,4697,1004,571,690,750,441,193,46,26,26,94,14,59,24,8,85,18,36,49,10,28,16,45,12,6,45,30,21,159,106,36,22,14,13
