Пермский край,Сумма,Александровская,Бардымская,Березниковская городская,Березовская,Большесосновская,Верещагинская,Горнозаводская,Гремячинская,Губахинская городская,Добрянская,Еловская,Ильинская,Карагайская,Кизеловская,Кишертская,Красновишерская,Краснокамская,Куединская,Кунгурская городская,Лысьвенская городская,Нытвенская,Октябрьская,Ординская,Осинская,Оханская,Очерская,Пермская,"Пермь, Дзержинская","Пермь, Индустриальная","Пермь, Кировская","Пермь, Ленинская","Пермь, Мотовилихинская","Пермь, Орджоникидзевская","Пермь, Свердловская № 2",Сивинская,Соликамская городская,Суксунская,Уинская,Усольская,Чайковская,Частинская,Чердынская,Чернушинская,Чусовская,Звездная городская,Кунгурская районная,Соликамская районная,Гайнская,Косинская,Кочевская,Кудымкарская районная,Кудымкарская городская,Юрлинская,Юсьвинская,"Пермь, Свердловская № 1"
"избирателей, включенных в список избирателей",1982962,22759,17694,114341,12231,10028,29805,19386,9952,26882,44113,8238,14059,16538,19092,9718,16309,54381,20129,46135,59448,34385,22362,11200,22744,11819,17907,86354,120876,124817,98136,42113,142607,86541,73643,9672,67124,15004,8706,10548,78178,9404,14125,36222,50518,5352,33890,9903,9223,4765,7662,16672,22555,6557,13376,86764
"изб.бюллетеней, полученных участковой избирательной комиссией",1727208,19580,17070,99622,10520,8800,24665,16455,8320,22770,37100,7015,12270,14930,15900,8990,15100,48920,19450,38300,52310,29300,19860,9610,20250,9700,16676,76450,101400,108750,92814,34050,127850,73600,62500,9800,55080,12300,7425,10270,67800,9000,12020,31336,45850,4700,27520,9083,8760,4797,8170,14700,17800,7050,12150,70700
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",5520,0,0,0,184,0,0,176,35,0,20,0,0,19,0,172,176,0,0,0,0,0,543,374,0,0,0,0,0,0,0,0,0,0,0,307,0,1014,0,75,1244,0,192,97,268,0,173,451,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1211886,12201,12316,77770,7356,5841,16825,10440,5373,17381,26761,4607,7854,8299,9252,5476,8814,31399,11747,28286,35679,19313,13331,6653,13759,6135,10055,55817,75869,75186,58872,26067,87193,55016,45935,5657,44503,8189,5418,6705,50638,5228,6857,24803,29118,3839,19593,7202,5459,3117,4664,8840,13408,4022,6464,55284
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",101478,954,2040,3300,1570,1378,3251,1619,828,1457,2043,852,2004,2476,877,1497,1083,1731,1543,2172,2824,2191,2044,1097,1414,1428,1379,5163,2202,3560,2641,1380,3016,2852,1578,1187,2132,1430,883,1081,3204,1222,1198,2287,2833,105,2926,548,792,576,954,2653,1288,1091,3741,1903
"изб.бюллетеней, погашенных",408313,6425,2714,18552,1410,1581,4589,4220,2084,3932,8276,1556,2412,4136,5771,1845,5027,15790,6160,7842,13807,7796,3942,1486,5077,2137,5242,15467,23326,30004,31301,6605,37636,15732,14987,2649,8443,1667,1124,2409,12714,2550,3773,4149,13631,756,4828,882,2509,1104,2552,3207,3104,1937,1945,13513
"изб.бюллетеней, в переносных ящиках для голосования",106943,954,2040,3300,1754,1378,3251,1795,863,1457,2063,852,2004,2495,877,1669,1259,1731,1543,2172,2823,2191,2587,1471,1414,1428,1379,5163,2202,3548,2641,1380,3014,2814,1578,1494,2132,2444,883,1156,4448,1222,1390,2383,3101,105,3099,999,792,576,954,2653,1287,1091,3741,1903
"изб.бюллетеней, в стационарных ящиках для голосования",1210963,12201,12316,77683,7356,5841,16822,10436,5373,17381,26757,4606,7851,8299,9252,5476,8812,31398,11747,28285,35672,19312,13331,6653,13754,6134,10055,55813,75852,75034,58834,26054,86890,54993,45881,5657,44493,8187,5418,6705,50617,5228,6856,24800,29105,3835,19593,7201,5459,3117,4663,8840,13408,4022,6462,55143
"изб.бюллетеней, недействительных",18203,241,123,1282,101,86,288,197,101,410,432,61,149,120,187,74,160,413,178,391,639,250,219,71,145,68,108,686,1036,1021,825,378,1282,894,661,59,821,100,54,83,798,70,88,374,515,49,174,121,77,125,58,139,237,73,92,819
"изб.бюллетеней, действительных",1299703,12914,14233,79701,9009,7133,19785,12034,6135,18428,28388,5397,9706,10674,9942,7071,9911,32716,13112,30066,37856,21253,15699,8053,15023,7494,11326,60290,77018,77561,60650,27056,88622,56913,46798,7092,45804,10531,6247,7778,54267,6380,8158,26809,31691,3891,22518,8079,6174,3568,5559,11354,14458,5040,10111,56227
