Приморский край,Сумма,Анучинская,Арсеньевская городская,Артёмовская городская,Большекаменская городская,"Владивосток, Ленинская","Владивосток, Первомайская","Владивосток, Первореченская","Владивосток, Советская","Владивосток, Фрунзенская",Дальнегорская городская,Дальнереченская городская,Кавалеровская,Кировская,Красноармейская,Лазовская,Лесозаводская городская,Михайловская,Надеждинская,Находкинская городская,Октябрьская,Ольгинская,Партизанская городская,Партизанская,Пограничная,Пожарская,Спасская городская,Тернейская,Уссурийская городская,Ханкайская,Хасанская,Хорольская,Черниговская,Чугуевская,Фокинская городская,Яковлевская,Спасская,Дальнереченская,Шкотовская
"избирателей, включенных в список избирателей",1478748,11419,44438,85729,29159,109394,111590,107065,88954,50351,37041,22328,20961,17299,13912,10485,35484,26560,31337,120642,21843,7912,37382,21138,17031,23172,32553,9468,143646,17107,24958,22877,27721,17497,21322,11577,20937,8228,18231
"изб.бюллетеней, полученных участковой избирательной комиссией",1432295,11540,45900,83100,29200,104210,105189,100900,80790,43061,36800,22900,17620,16600,14290,11400,32435,27270,30900,121377,22418,7860,37615,21600,16550,23800,34000,9500,136100,17100,24320,22000,27620,18215,21035,11900,19910,7900,17370
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",1498,171,0,0,0,0,7,0,0,0,0,0,0,25,28,0,42,287,0,0,91,25,20,147,0,0,0,12,82,0,305,0,34,182,0,0,0,40,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",867578,6815,27496,55684,18791,60641,60450,61352,48977,31008,18912,12955,10812,9393,7798,5936,20731,14028,16415,72769,14102,4750,18537,12862,10505,13043,21848,4817,96398,10097,13463,12300,15995,10999,13182,6674,10888,5054,11101
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",34697,389,833,1728,501,1495,1057,958,1422,735,804,790,672,557,459,320,1047,870,517,2822,1169,266,1052,577,409,513,1314,219,3363,623,336,1714,1107,761,272,425,1299,708,594
"изб.бюллетеней, погашенных",528518,4165,17571,25688,9908,42074,43675,38590,30391,11318,17082,9155,6136,6625,6005,5144,10615,12085,13966,45786,7056,2819,18006,8014,5636,10244,10838,4452,36257,6380,10216,7986,10484,6273,7581,4801,7723,2098,5675
"изб.бюллетеней, в переносных ящиках для голосования",36195,560,833,1728,501,1495,1064,958,1422,735,804,790,672,582,487,320,1089,1157,517,2822,1260,291,1072,724,409,513,1314,231,3445,623,641,1714,1141,943,272,425,1299,748,594
"изб.бюллетеней, в стационарных ящиках для голосования",866873,6815,27492,55398,18783,60603,60425,61327,48877,30986,18907,12954,10811,9390,7798,5935,20721,14027,16409,72651,14102,4749,18536,12861,10505,13038,21843,4817,96365,10097,13462,12300,15992,10999,13182,6673,10888,5054,11101
"изб.бюллетеней, недействительных",14571,89,397,1437,375,839,791,821,583,436,355,267,145,182,179,127,379,289,270,1180,299,117,375,284,198,315,344,107,1390,147,289,191,318,116,295,118,259,74,194
"изб.бюллетеней, действительных",888497,7286,27928,55689,18909,61259,60698,61464,49716,31285,19356,13477,11338,9790,8106,6128,21431,14895,16656,74293,15063,4923,19233,13301,10716,13236,22813,4941,98420,10573,13814,13823,16815,11826,13159,6980,11928,5728,11501
"изб.бюллетеней, утраченных",4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,6605,33,230,296,139,509,478,498,404,267,200,93,85,75,78,44,158,100,146,563,101,50,150,76,67,115,148,40,623,58,98,123,154,74,77,73,78,35,69
Грудинин,193166,1278,6309,10936,4519,14288,13554,13738,11229,6716,5041,3539,3156,2369,1642,1240,4945,2938,3580,17965,2525,1197,5119,2936,2180,3872,4386,974,18319,1734,3470,2460,3579,1986,2438,1392,2426,819,2372
Жириновский,63754,674,2076,2893,1290,3453,3675,3328,2754,2097,1645,1194,906,868,927,522,2356,1125,1204,5436,1174,558,1555,1179,1054,1068,1720,484,6552,893,1027,1145,1543,1021,1236,621,1164,434,903
Путин,589384,5110,18425,39835,12268,38965,39857,40217,32466,19852,11806,8255,6808,6179,5209,4159,13317,10380,11219,47421,10802,2959,11796,8736,7065,7802,15956,3284,69710,7626,8827,9774,11015,8487,8971,4699,7952,4335,7840
Собчак,15079,62,312,710,242,1912,1391,1678,1265,1160,246,131,119,103,101,63,265,128,197,1226,188,46,215,176,198,138,225,63,1359,112,151,107,193,90,170,71,106,38,122
Сурайкин,5814,55,201,321,143,368,388,365,327,163,168,119,110,70,59,25,166,104,108,479,106,43,151,64,57,96,136,35,598,53,90,88,146,69,87,43,99,38,76
Титов,6676,41,172,302,157,755,626,715,537,404,117,84,78,66,34,31,115,58,96,550,77,39,127,67,48,72,119,29,583,49,81,59,85,47,94,44,51,15,52
Явлинский,8019,33,203,396,151,1009,729,925,734,626,133,62,76,60,56,44,109,62,106,653,90,31,120,67,47,73,123,32,676,48,70,67,100,52,86,37,52,14,67
