Псковская область,Сумма,Бежаницкая,Великолукская,Великолукская городская,Гдовская,Дедовичская,Дновская,Красногородская,Куньинская,Локнянская,Невельская,Новоржевская,Новосокольническая,Опочецкая,Островская,Палкинская,Печорская,Плюсская,Порховская,Псковская,Псковская городская,Пустошкинская,Пушкиногорская,Пыталовская,Себежская,Струго-Красненская,Усвятская
"избирателей, включенных в список избирателей",527477,9186,16709,77791,9528,11013,10191,5607,6909,7278,19184,6908,10481,14609,24190,6633,15706,7226,17419,31972,168837,7097,7210,9125,14202,8513,3953
"изб.бюллетеней, полученных участковой избирательной комиссией",503638,10215,14600,68600,7520,11670,9450,5920,6960,7120,19280,7150,11400,14900,24740,6320,16000,7250,17150,27500,160400,7076,7200,8680,13552,8900,4085
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",299495,4813,8216,45550,4540,5933,5400,2957,3763,3756,10731,3156,5360,7493,13341,3468,8345,3443,8325,17097,105585,3570,3888,4800,8681,5245,2039
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",45141,2197,3235,1764,1449,1234,947,922,1561,1199,2326,1513,1614,1752,2161,1533,1862,1320,2699,3677,3133,1026,1123,976,1397,1770,751
"изб.бюллетеней, погашенных",159002,3205,3149,21286,1531,4503,3103,2041,1636,2165,6223,2481,4426,5655,9238,1319,5793,2487,6126,6726,51682,2480,2189,2904,3474,1885,1295
"изб.бюллетеней, в переносных ящиках для голосования",45139,2197,3234,1764,1449,1234,947,922,1561,1199,2326,1513,1614,1752,2161,1533,1862,1320,2699,3677,3132,1026,1123,976,1397,1770,751
"изб.бюллетеней, в стационарных ящиках для голосования",299422,4813,8216,45546,4540,5933,5400,2957,3762,3756,10731,3156,5360,7493,13338,3467,8344,3443,8323,17094,105533,3570,3887,4800,8676,5245,2039
"изб.бюллетеней, недействительных",3165,55,89,541,52,47,67,43,42,50,123,36,37,80,173,45,105,46,55,182,990,44,35,44,103,69,12
"изб.бюллетеней, действительных",341396,6955,11361,46769,5937,7120,6280,3836,5281,4905,12934,4633,6937,9165,15326,4955,10101,4717,10967,20589,107675,4552,4975,5732,9970,6946,2778
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2952,66,94,441,34,38,39,45,38,23,118,36,33,82,129,42,90,20,82,158,1034,48,47,39,115,47,14
Грудинин,39407,868,994,6016,599,901,622,400,446,607,1483,553,672,1006,1508,411,1054,392,1062,2135,13662,704,621,700,1177,528,286
Жириновский,23688,562,829,3035,401,459,544,309,440,388,871,328,573,654,1307,363,758,301,763,1394,6712,347,266,470,919,511,184
Путин,258584,5264,9103,34939,4625,5500,4826,2938,4229,3734,10059,3572,5462,7072,11751,3958,7723,3844,8697,15940,78747,3224,3858,4330,7353,5647,2189
Собчак,5794,70,96,792,75,83,97,49,54,47,140,60,52,111,242,55,176,62,137,357,2537,62,64,66,189,90,31
Сурайкин,2782,54,87,494,36,45,54,32,36,54,86,31,44,95,129,36,66,29,74,141,901,50,28,47,59,46,28
Титов,2656,36,53,431,24,36,34,18,20,15,58,23,35,48,89,24,81,27,62,188,1141,38,30,17,82,38,8
Явлинский,5533,35,105,621,143,58,64,45,18,37,119,30,66,97,171,66,153,42,90,276,2941,79,61,63,76,39,38
