Республика Алтай,Сумма,Горно-Алтайская городская,Кош-Агачская,Майминская,Онгудайская,Турочакская,Улаганская,Усть-Канская,Усть-Коксинская,Чемальская,Чойская,Шебалинская
"избирателей, включенных в список избирателей",158891,44831,13490,23265,11267,10404,7955,10757,11922,8276,6494,10230
"изб.бюллетеней, полученных участковой избирательной комиссией",156580,42510,14490,22810,11623,9550,8459,11035,11543,7310,6686,10564
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",1186,0,996,0,0,27,156,0,7,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",97103,26805,7975,13913,7436,5453,4461,7701,8004,4974,4013,6368
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",4630,1032,311,730,378,269,274,425,357,174,337,343
"изб.бюллетеней, погашенных",53661,14673,5208,8167,3809,3801,3568,2909,3175,2162,2336,3853
"изб.бюллетеней, в переносных ящиках для голосования",5816,1032,1307,730,378,296,430,425,364,174,337,343
"изб.бюллетеней, в стационарных ящиках для голосования",97096,26804,7975,13913,7436,5452,4461,7700,8003,4971,4013,6368
"изб.бюллетеней, недействительных",974,262,83,152,62,47,38,84,78,42,48,78
"изб.бюллетеней, действительных",101938,27574,9199,14491,7752,5701,4853,8041,8289,5103,4302,6633
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,446,141,39,75,25,33,15,17,36,29,13,23
Грудинин,21259,6895,1454,3578,1445,1016,774,1101,1603,910,1114,1369
Жириновский,5376,1592,165,1028,199,501,149,214,555,314,326,333
Путин,72674,18110,7390,9476,5921,4036,3835,6579,5977,3751,2787,4812
Собчак,929,338,90,130,70,50,39,59,52,31,25,45
Сурайкин,431,142,21,62,30,28,14,32,41,25,14,22
Титов,340,122,22,60,25,22,13,14,16,19,17,10
Явлинский,483,234,18,82,37,15,14,25,9,24,6,19
