Республика Башкортостан,Сумма,Абзелиловская,Агидельская городская,Альшеевская,Архангельская,Аскинская,Аургазинская,Баймакская,Бакалинская,Балтачевская,Белебеевская,Белокатайская,Белорецкая,Бижбулякская,Благоварская,Благовещенская,Буздякская,Бураевская,Бурзянская,Гафурийская,Давлекановская,Дуванская,Дюртюлинская,Ермекеевская,Зианчуринская,Зилаирская,Иглинская,Илишевская,Ишимбайская,Калтасинская,Караидельская,Кармаскалинская,Кигинская,Краснокамская,Кугарчинская,Кумертауская городская,Кушнаренковская,Мечетлинская,Мишкинская,Миякинская,Нефтекамская городская,Нуримановская,Октябрьская,Салаватская городская,Салаватская,Сибайская городская,Стерлибашевская,Стерлитамакская городская,Стерлитамакская,Татышлинская,"Уфа, Демская","Уфа, Калининская","Уфа, Кировская","Уфа, Ленинская","Уфа, Октябрьская","Уфа, Орджоникидзевская","Уфа, Советская",Уфимская,Учалинская,Федоровская,Хайбуллинская,Чекмагушевская,Чишминская,Шаранская,Янаульская,Бирская,Куюргазинская,Межгорьевская городская,Мелеузовская,Туймазинская
"избирателей, включенных в список избирателей",3045698,33005,12938,31473,14916,16257,27923,40410,21919,15768,70899,14867,78650,18201,19052,37327,22121,18545,11194,25203,30955,21966,47931,11597,21218,11546,40919,25102,68515,19360,18795,37989,13514,21312,23457,49328,22698,17246,18395,21989,103286,15315,79053,108324,20142,43824,15958,202931,32084,18803,51477,152198,131118,60831,173483,122660,128059,67567,56843,12799,23456,23569,39239,17027,36565,45702,18011,11521,62759,96594
"изб.бюллетеней, полученных участковой избирательной комиссией",2866878,31165,12200,31067,15297,16138,28127,40020,22808,15831,63931,15365,79180,19087,19780,37049,22850,18597,12330,25485,28829,22684,47436,11682,22183,11938,38124,25695,68400,20727,18865,38331,13000,21660,23252,49000,22223,17876,18576,22043,93280,15593,78550,95905,19616,41250,16011,165662,31232,18965,44577,144756,106533,51980,155134,117785,107170,64340,50570,12865,22487,23700,38424,17620,34980,43665,18041,10758,64000,92598
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",2186576,24992,8456,25054,10314,11916,19862,30772,18802,12245,53973,11383,51133,14492,15163,24002,16525,13571,9094,19891,20256,16819,36787,8726,16563,9869,26399,21400,45095,13694,15926,32591,11093,15881,17161,33826,17821,13489,14018,17467,70253,12503,51693,68472,17705,29514,12250,139501,24731,16867,33181,112532,81824,35968,129298,90102,90881,46926,43527,10022,19221,20143,28969,14497,26017,27895,14377,6776,49074,65336
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",111258,1327,198,1841,2727,936,2849,1771,1267,919,2520,1066,4389,881,1214,1431,1304,1707,501,1422,1861,1075,1897,808,820,367,2497,980,2904,962,987,1643,444,1382,1262,1097,979,1025,1223,1441,1496,809,1684,3143,847,1127,1169,3008,1591,442,948,3533,4467,2486,3254,3398,1748,1828,2125,1119,623,1403,2584,860,1486,1628,1065,176,2285,3002
"изб.бюллетеней, погашенных",569036,4846,3546,4172,2256,3286,5416,7477,2739,2667,7438,2916,23658,3714,3403,11616,5021,3319,2735,4172,6712,4790,8752,2148,4800,1702,9228,3313,20401,6071,1952,4097,1463,4397,4829,14077,3423,3362,3335,3135,21531,2281,25173,24290,1064,10609,2592,23153,4910,1656,10448,28691,20242,13526,22582,24285,14541,15586,4918,1724,2643,2154,6871,2263,7477,14142,2599,3806,12641,24254
"изб.бюллетеней, в переносных ящиках для голосования",111248,1327,198,1841,2727,936,2849,1771,1267,919,2520,1066,4389,881,1214,1431,1304,1707,501,1422,1861,1075,1897,808,820,367,2497,980,2904,962,987,1643,444,1382,1262,1097,979,1025,1223,1441,1496,809,1684,3143,847,1127,1169,3008,1591,442,948,3533,4467,2486,3246,3398,1748,1827,2124,1119,622,1403,2584,860,1486,1629,1065,176,2285,3002
"изб.бюллетеней, в стационарных ящиках для голосования",2185854,24911,8456,25054,10314,11916,19862,30772,18802,12245,53950,11383,51092,14492,15163,24001,16524,13571,9093,19891,20255,16791,36774,8726,16557,9869,26399,21398,45095,13694,15926,32591,11093,15881,17161,33826,17821,13489,14018,17458,70252,12491,51658,68469,17705,29475,12250,139373,24731,16867,33180,112417,81773,35961,129282,90083,90881,46922,43517,10022,19176,20143,28968,14497,26017,27892,14375,6776,49074,65313
"изб.бюллетеней, недействительных",18506,371,70,174,72,131,96,261,40,53,180,40,717,95,64,269,156,94,97,155,179,74,334,100,114,59,154,63,426,120,125,88,105,343,113,397,187,88,121,185,656,84,306,807,105,334,72,805,169,79,322,957,1079,415,967,621,756,590,308,31,186,134,248,67,212,404,124,90,344,724
"изб.бюллетеней, действительных",2278596,25867,8584,26721,12969,12721,22615,32282,20029,13111,56290,12409,54764,15278,16313,25163,17672,15184,9497,21158,21937,17792,38337,9434,17263,10177,28742,22315,47573,14536,16788,34146,11432,16920,18310,34526,18613,14426,15120,18714,71092,13216,53036,70805,18447,30268,13347,141576,26153,17230,33806,114993,85161,38032,131561,92860,91873,48159,45333,11110,19612,21412,31304,15290,27291,29117,15316,6862,51015,67591
