Республика Бурятия,Сумма,Баргузинская,Баунтовская,Бичурская,Джидинская,Еравнинская,Заиграевская,Закаменская,Иволгинская,Кабанская,Кижингинская,Курумканская,Кяхтинская,Муйская,Мухоршибирская,Окинская,Прибайкальская,Северо-Байкальская,Северобайкальская городская,Селенгинская,Тарбагатайская,Тункинская,"Улан-Удэ, Железнодорожная","Улан-Удэ, Октябрьская","Улан-Удэ, Советская",Хоринская
"избирателей, включенных в список избирателей",603265,16488,6883,16020,15631,10371,33025,18407,29583,38660,11389,7405,24026,7931,16499,3900,16946,8324,15006,26873,14238,15667,82335,110333,46943,10382
"изб.бюллетеней, полученных участковой избирательной комиссией",578925,16385,6724,13340,13420,11398,30000,19262,24966,32496,11645,7955,24390,7654,15290,3669,15328,7615,13600,26875,12830,13659,89999,104599,45485,10341
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",4473,2,797,0,0,107,0,2114,0,0,0,0,0,227,0,921,0,296,0,0,0,6,0,0,0,3
"изб.бюллетеней, выданных в помещении для голосования в день голосования",419475,9314,3836,9637,10699,9058,22323,11579,19956,24575,10225,5814,18543,4785,10885,2206,11202,5961,10561,17323,8267,8720,59668,82677,33425,8236
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",29706,963,713,1527,647,323,2072,1645,896,2135,509,1030,1575,116,1234,58,1413,379,338,1582,1225,587,3428,2690,1480,1141
"изб.бюллетеней, погашенных",125271,6106,1378,2176,2074,1910,5605,3924,4114,5786,911,1111,4272,2526,3171,484,2713,979,2701,7970,3338,4346,26903,19232,10580,961
"изб.бюллетеней, в переносных ящиках для голосования",34175,965,1510,1527,647,430,2072,3759,896,2135,509,1030,1575,343,1234,979,1413,675,338,1582,1225,593,3428,2687,1479,1144
"изб.бюллетеней, в стационарных ящиках для голосования",419428,9314,3836,9637,10699,9055,22323,11577,19954,24562,10225,5814,18543,4785,10885,2206,11201,5961,10561,17323,8266,8720,59659,82664,33423,8235
"изб.бюллетеней, недействительных",5980,169,57,97,113,121,327,116,278,546,176,54,316,73,142,14,156,79,142,248,112,153,883,1069,449,90
"изб.бюллетеней, действительных",447623,10110,5289,11067,11233,9364,24068,15220,20572,26151,10558,6790,19802,5055,11977,3171,12458,6557,10757,18657,9379,9160,62204,84282,34453,9289
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1746,36,29,56,30,27,95,25,70,116,25,15,84,21,41,7,42,34,47,55,38,32,297,353,158,13
Грудинин,66867,1245,578,1966,1289,903,3114,1580,3256,4231,681,655,2409,758,1912,338,1897,960,1879,2630,1213,1634,10290,14778,5848,823
Жириновский,29087,679,479,1088,623,470,1864,518,891,2656,226,227,1697,492,981,105,1257,687,870,1262,745,322,3955,4636,1890,467
Путин,334381,7980,4072,7757,9083,7739,18459,12869,15537,18580,9479,5783,15148,3679,8797,2647,9000,4758,7672,14284,7198,6966,44716,59608,24741,7829
Собчак,7618,89,72,82,105,132,233,134,487,208,74,67,231,44,86,49,97,34,106,190,93,109,1426,2426,959,85
Сурайкин,2471,33,25,68,57,44,140,35,101,149,24,20,101,24,71,9,90,49,69,109,36,38,400,547,197,35
Титов,1822,21,14,33,32,26,73,21,75,111,25,11,66,13,42,8,39,19,47,54,18,28,355,499,174,18
Явлинский,3631,27,20,17,14,23,90,38,155,100,24,12,66,24,47,8,36,16,67,73,38,31,765,1435,486,19
