Республика Дагестан,Сумма,Агульская,Акушинская,Ахвахская,Ахтынская,Бабаюртовская,Бежтинская,Ботлихская,Буйнакская,Буйнакская городская,Гергебильская,Гумбетовская,Гунибская,Дагогнинская городская,Дахадаевская,Дербентская,Дербентская городская,Докузпаринская,Избербашская городская,Казбековская,Кайтагская,Карабудахкентская,Каспийская городская,Каякентская,Кизилюртовская,Кизилюртовская городская,Кизлярская,Кизлярская городская,Кулинская,Кумторкалинская,Курахская,Лакская,Левашинская,Магарамкентская,"Махачкала, Кировская","Махачкала, Ленинская","Махачкала, Советская",Новолакская,Ногайская,Рутульская,Сергокалинская,Сулейман-Стальская,Табасаранская,Тарумовская,Тляратинская,Унцукульская,Хасавюртовская,Хасавюртовская городская,Хивская,Хунзахская,Цумадинская,Цунтинская,Чародинская,Шамильская,Южно-Сухокумская городская
"избирателей, включенных в список избирателей",1631826,5938,27253,14479,17548,27323,5656,28305,45022,36884,13111,11046,15536,20150,25769,63170,68383,10306,29270,30429,21298,49715,52340,34059,40790,23970,44473,25005,7306,15970,10616,7413,49573,39827,90773,86612,90757,21814,13724,14215,20359,35291,34782,22064,15689,15163,97642,65109,12739,20441,15512,7645,8246,19148,6168
"изб.бюллетеней, полученных участковой избирательной комиссией",1619208,6050,27403,14074,16680,27323,5600,27900,45333,40515,13250,10796,15400,20600,26681,61366,68250,10414,29550,30723,22050,49050,51129,32280,41453,24245,44484,25804,7104,15690,10810,7487,49440,39410,86725,83550,83346,21950,14700,14224,20741,36007,33909,22250,15220,15342,97000,64750,13760,20940,14914,7575,8400,19395,6166
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1395447,5263,24325,11597,15153,24016,4775,25856,41570,18011,12307,9629,13177,16373,23061,59996,57342,9968,23762,26261,19561,45981,45860,29176,38379,21794,37293,18869,6909,14780,10178,7243,42682,37218,61813,70125,71784,20324,11246,12971,18048,32644,28516,17184,11799,13631,90993,59522,10805,17013,12498,6004,7224,17345,5593
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",32041,100,125,159,81,655,0,935,557,1061,92,232,1298,111,742,118,620,26,631,961,173,590,341,501,452,57,475,3744,127,220,40,29,308,98,6072,3372,1278,264,710,40,198,159,448,247,230,407,1054,471,299,331,107,2,134,478,81
"изб.бюллетеней, погашенных",191631,687,2953,2309,1446,2652,825,1109,3206,21443,851,935,925,4116,2878,1252,10295,420,5157,3501,2316,2479,4928,2603,2622,2394,6713,3191,68,690,592,215,6450,2074,18832,10041,10271,1362,2744,1213,2494,3196,4945,4819,3191,1293,4942,4757,2656,3596,2309,1569,1042,1572,492
"изб.бюллетеней, в переносных ящиках для голосования",32039,100,125,159,81,655,0,935,557,1061,92,232,1298,111,742,118,620,26,631,961,173,590,341,500,452,57,475,3744,127,220,40,29,308,98,6072,3372,1278,264,710,40,198,159,448,247,230,407,1054,471,298,331,107,2,134,478,81
"изб.бюллетеней, в стационарных ящиках для голосования",1394887,5258,24325,11597,15153,24016,4774,25855,41570,17991,12305,9629,13177,16362,23061,59996,57310,9968,23754,26259,19561,45981,45850,29168,38379,21794,37293,18869,6909,14780,10177,7243,42682,37218,61790,70087,71645,20324,11106,12971,18048,32619,28513,17184,11799,13621,90914,59522,10805,17013,12498,6004,7222,17345,5593
"изб.бюллетеней, недействительных",6265,29,77,24,33,81,37,218,93,345,28,50,40,24,59,106,236,29,116,10,44,325,137,74,19,0,263,124,7,30,30,0,190,132,507,500,521,96,47,18,79,63,117,55,56,92,171,616,66,145,57,22,10,17,0
"изб.бюллетеней, действительных",1420661,5329,24373,11732,15201,24590,4737,26572,42034,18707,12369,9811,14435,16449,23744,60008,57694,9965,24269,27210,19690,46246,46054,29594,38812,21851,37505,22489,7029,14970,10187,7272,42800,37184,67355,72959,72402,20492,11769,12993,18167,32715,28844,17376,11973,13936,91797,59377,11037,17199,12548,5984,7346,17806,5674
"изб.бюллетеней, утраченных",113,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,20,8,12,13,0,0,0,1,8,0,0,0,11,12,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Бабурин,1781,4,58,6,8,37,0,7,37,33,19,5,10,39,32,9,80,2,9,30,11,59,40,37,74,1,44,47,14,12,2,0,24,66,232,83,147,29,12,3,48,17,4,32,19,59,40,135,6,32,14,6,3,4,0
Грудинин,103942,263,1660,630,1037,1590,130,752,2217,2291,510,305,612,1443,1183,2165,4347,69,2327,1137,1471,2232,4080,2692,1404,1691,5310,2428,129,798,180,235,2921,4161,7125,7507,7726,1216,1650,533,3455,2109,1951,2756,935,584,3811,3005,900,1606,549,668,265,1020,171
Жириновский,3830,4,103,17,32,56,10,54,53,126,12,9,22,20,66,47,84,2,20,59,16,117,193,37,1,1,108,131,17,28,5,6,91,117,320,162,336,26,21,24,134,37,411,105,18,36,32,201,13,108,33,98,15,7,29
Путин,1295128,5025,22264,11020,14010,22213,4594,25658,39546,16036,11698,9284,13724,14769,21987,57160,52857,9885,21866,25634,18130,43649,41394,26694,35998,19686,31850,19695,6845,14068,9989,7031,39357,32388,57940,64369,62914,19128,10043,12407,14243,30501,26278,14302,10958,13166,87573,54033,10089,15339,11859,5187,7047,16303,5445
Собчак,3741,13,92,24,58,102,1,41,57,134,2,11,29,52,43,8,111,2,23,38,19,87,150,48,53,9,110,67,6,24,6,0,182,238,379,361,493,49,22,11,114,25,22,50,26,45,52,121,12,17,48,7,8,10,29
Сурайкин,4395,9,100,19,36,56,2,14,69,38,6,10,9,50,325,343,113,1,7,52,30,38,82,46,135,1,44,40,10,14,5,0,69,132,276,100,223,20,13,10,114,18,15,26,6,10,55,1473,16,84,20,0,2,9,0
Титов,5379,3,62,11,9,504,0,25,30,18,45,183,27,39,61,82,36,3,4,208,9,44,23,18,1026,435,14,46,4,10,0,0,89,28,868,215,193,7,7,4,20,5,15,97,3,17,176,173,0,5,11,13,2,452,0
Явлинский,2465,8,34,5,11,32,0,21,25,31,77,4,2,37,47,194,66,1,13,52,4,20,92,22,121,27,25,35,4,16,0,0,67,54,215,162,370,17,1,1,39,3,148,8,8,19,58,236,1,8,14,5,4,1,0
