Республика Крым,Сумма,Алуштинская городская,Армянская городская,Бахчисарайская,Белогорская,Джанкойская городская,Джанкойская,Евпаторийская городская,Керченская городская,Кировская,Красногвардейская,Красноперекопская городская,Красноперекопская,Ленинская,Нижнегорская,Первомайская,Раздольненская,Сакская городская,Сакская,"Симферополь, Железнодорожная","Симферополь, Киевская","Симферополь, Центральная",Симферопольская,Советская,Судакская городская,Феодосийская городская,Черноморская,Ялтинская городская
"избирателей, включенных в список избирателей",1508701,42819,20207,74298,48425,34068,53307,87632,111164,40267,65235,21757,21224,47816,36654,24363,25021,21731,60973,76631,122994,84534,121876,25416,24689,82003,25376,108221
"изб.бюллетеней, полученных участковой избирательной комиссией",1309349,38462,17660,64920,41480,29370,46310,73250,96800,35962,57110,19060,18980,39917,33350,21740,22980,18310,52780,65240,106314,72270,106285,23300,21860,70743,23040,91856
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1024311,31930,13000,44905,28291,22030,36420,57630,73703,24322,49217,15968,14430,31329,26973,18529,18797,14803,44036,52922,85357,57627,84640,17410,18780,54962,19446,66854
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",55220,1572,609,2977,2350,1228,3232,2532,3489,1826,3193,644,1362,2295,3284,1260,1239,694,2556,1538,3070,1660,4325,1259,817,2786,1067,2356
"изб.бюллетеней, погашенных",229816,4960,4051,17038,10839,6112,6658,13088,19608,9814,4700,2448,3188,6293,3093,1951,2944,2813,6188,10780,17887,12981,17320,4631,2263,12995,2527,22646
"изб.бюллетеней, в переносных ящиках для голосования",55218,1572,609,2977,2350,1228,3232,2532,3489,1826,3193,644,1362,2295,3284,1260,1239,694,2556,1538,3070,1659,4325,1259,817,2785,1067,2356
"изб.бюллетеней, в стационарных ящиках для голосования",1024077,31929,13000,44905,28291,22030,36418,57630,73697,24322,49214,15968,14430,31325,26970,18529,18797,14801,44033,52918,85349,57565,84639,17330,18780,54961,19446,66800
"изб.бюллетеней, недействительных",11395,447,249,592,490,205,477,572,661,349,779,170,190,387,321,229,259,149,596,504,578,410,752,272,296,480,259,722
"изб.бюллетеней, действительных",1067900,33054,13360,47290,30151,23053,39173,59590,76525,25799,51628,16442,15602,33233,29933,19560,19777,15346,45993,53952,87841,58814,88212,18317,19301,57266,20254,68434
"изб.бюллетеней, утраченных",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2098,88,26,96,96,23,100,125,132,56,97,41,34,53,56,35,36,22,85,100,146,97,140,45,41,129,29,170
Грудинин,23773,837,332,1027,650,413,708,1511,2016,583,1041,314,326,762,528,336,444,384,984,1195,1821,1100,1605,375,501,1498,413,2069
Жириновский,19506,653,294,692,416,448,497,1197,1890,352,899,280,294,557,432,262,248,288,619,1170,1507,1028,1374,233,326,1347,397,1806
Путин,994569,30531,12387,43891,27867,21764,36545,55372,71209,23866,48263,15426,14460,30960,27957,18390,18527,14289,42975,50173,82331,55341,82851,17079,17808,53261,18743,62303
Собчак,17764,567,191,1045,804,250,927,827,682,645,877,217,336,594,632,386,384,194,856,827,1199,775,1523,405,384,566,455,1216
Сурайкин,2267,77,34,100,50,44,67,131,180,44,103,48,31,66,117,37,27,40,94,93,153,108,133,43,45,122,43,237
Титов,2785,101,27,129,77,43,88,151,196,55,100,38,36,57,48,31,26,41,113,195,305,163,201,46,61,135,51,271
Явлинский,5138,200,69,310,191,68,241,276,220,198,248,78,85,184,163,83,85,88,267,199,379,202,385,91,135,208,123,362
