Республика Саха (Якутия),Сумма,Абыйская,Алданская,Аллаиховская,Амгинская,Анабарская,Булунская,Верхневилюйская,Верхнеколымская,Верхоянская,Вилюйская,Горная,Жиганская,Кобяйская,Ленская,Мегино-Кангаласская,Мирнинская,Момская,Намская,Нерюнгринская,Нижнеколымская,Нюрбинская,Оймяконская,Олекминская,Оленекская,Среднеколымская,Сунтарская,Таттинская,Томпонская,Усть-Алданская,Усть-Майская,Усть-Янская,Хангаласская,Чурапчинская,Эвено-Бытантайская,Якутская городская
"избирателей, включенных в список избирателей",643786,2857,32501,1751,9907,2604,5113,10713,2890,7981,17111,6425,3186,7926,33879,22984,55542,2697,15279,50963,3049,17942,6787,18717,2104,5354,15220,10064,9154,13112,5792,4328,22110,13753,1771,202220
"изб.бюллетеней, полученных участковой избирательной комиссией",611220,3055,26255,1800,11670,2600,5000,11150,3021,8245,16933,6980,3050,8590,28770,22660,48400,3000,15200,57250,3350,18210,5930,15779,2400,5750,15060,11300,9500,13576,5555,4708,22950,15005,1958,176560
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",17281,11,2425,5,14,987,321,9,26,300,16,98,455,202,5984,0,1007,71,0,1436,88,2,709,2374,144,29,15,0,233,0,16,129,106,0,69,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",418588,2016,16938,1167,7712,1314,3129,8174,1749,4748,11224,5323,1725,5315,17308,16118,35304,1797,10720,32851,2080,11377,3376,10076,1754,3552,10605,7280,5297,9664,3558,2848,14509,10476,1107,136397
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",21196,120,1119,103,516,87,138,445,208,341,829,298,187,427,676,926,522,153,494,771,104,779,276,1075,105,227,612,649,310,718,336,256,877,582,83,5847
"изб.бюллетеней, погашенных",154155,908,5773,525,3428,212,1412,2522,1038,2856,4864,1261,683,2646,4802,5616,11567,979,3986,22192,1078,6052,1569,2254,397,1942,3828,3371,3660,3194,1645,1475,7458,3947,699,34316
"изб.бюллетеней, в переносных ящиках для голосования",38474,131,3544,108,530,1074,459,454,234,641,845,396,642,629,6658,926,1529,224,494,2207,192,781,985,3448,249,256,627,649,543,718,352,385,983,582,152,5847
"изб.бюллетеней, в стационарных ящиках для голосования",418450,2016,16938,1167,7711,1314,3129,8174,1749,4748,11224,5323,1725,5315,17304,16118,35288,1797,10720,32839,2080,11377,3375,10076,1754,3552,10604,7280,5296,9664,3558,2848,14509,10476,1107,136295
"изб.бюллетеней, недействительных",4636,11,356,10,56,23,29,45,17,15,73,25,15,30,230,106,603,8,59,617,22,71,46,208,11,18,60,53,57,52,32,21,156,52,4,1445
"изб.бюллетеней, действительных",452288,2136,20126,1265,8185,2365,3559,8583,1966,5374,11996,5694,2352,5914,23732,16938,36214,2013,11155,34429,2250,12087,4314,13316,1992,3790,11171,7876,5782,10330,3878,3212,15336,11006,1255,140697
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1696,6,89,5,26,7,16,20,10,17,33,10,10,16,145,39,187,7,19,174,11,22,22,68,7,13,22,25,18,19,18,12,50,21,3,529
Грудинин,124518,401,3964,188,2937,575,490,2966,208,941,3837,1796,498,1263,5106,6657,7664,464,4263,5578,189,4369,706,2610,397,475,3757,2925,1384,4141,620,512,5165,3281,327,43864
Жириновский,18089,77,1805,59,94,60,144,80,149,141,161,58,43,184,2092,152,2536,39,87,3081,102,191,408,865,31,129,102,71,310,65,278,128,471,54,16,3826
Путин,294166,1592,13763,973,4987,1666,2825,5339,1535,4162,7720,3724,1740,4348,15757,9811,24764,1461,6540,24678,1906,7281,3065,9480,1518,3054,7046,4700,3954,5977,2891,2484,9304,7500,889,85732
Собчак,7494,35,211,21,89,27,35,129,24,60,156,71,30,46,287,182,447,24,152,370,21,142,50,119,18,78,159,88,57,80,29,41,193,95,14,3914
Сурайкин,1711,8,125,9,12,11,16,12,11,20,25,8,13,24,127,21,209,10,26,216,6,29,23,65,7,14,29,17,25,9,15,12,36,13,3,505
Титов,2010,10,74,3,18,8,21,16,15,13,34,9,11,15,115,29,190,4,31,183,7,23,20,57,6,17,28,28,20,17,14,12,50,23,0,889
Явлинский,2604,7,95,7,22,11,12,21,14,20,30,18,7,18,103,47,217,4,37,149,8,30,20,52,8,10,28,22,14,22,13,11,67,19,3,1438
