Республика Северная Осетия - Алания,Сумма,Алагирская,Ардонская,"Владикавказ, Левобережная","Владикавказ, Правобережная",Дигорская,Ирафская,Кировская,Моздокская,Правобережная,Пригородная
"избирателей, включенных в список избирателей",515157,27720,22635,132700,105992,14199,12818,19218,60119,44494,75262
"изб.бюллетеней, полученных участковой избирательной комиссией",511210,27693,22560,132640,104770,14666,12765,19255,60090,41900,74871
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",71,52,0,19,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",438279,24813,17058,112921,93212,11918,10619,16722,49782,33887,67347
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",25230,1173,876,5075,5663,1043,832,1191,3504,4176,1697
"изб.бюллетеней, погашенных",47630,1655,4626,14625,5895,1705,1314,1342,6804,3837,5827
"изб.бюллетеней, в переносных ящиках для голосования",25178,1173,876,5024,5663,1043,832,1191,3503,4176,1697
"изб.бюллетеней, в стационарных ящиках для голосования",438139,24865,17058,112916,93212,11918,10619,16722,49750,33767,67312
"изб.бюллетеней, недействительных",3470,163,99,928,752,70,2,130,652,229,445
"изб.бюллетеней, действительных",459847,25875,17835,117012,98123,12891,11449,17783,52601,37714,68564
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0
Бабурин,1071,54,37,310,208,28,18,33,116,103,164
Грудинин,51026,2070,1495,10611,10204,1285,1365,1678,9867,4682,7769
Жириновский,13954,906,556,3095,1555,348,242,323,2930,1543,2456
Путин,377648,21656,14910,99316,83888,10584,9556,15122,38696,29338,54582
Собчак,1034,60,28,285,331,1,0,16,119,128,66
Сурайкин,8398,764,587,1841,1057,469,192,490,541,1042,1415
Титов,5699,332,194,1354,619,164,69,107,250,771,1839
Явлинский,1017,33,28,200,261,12,7,14,82,107,273
