Республика Тыва,Сумма,Ак-Довуракская,Бай-Тайгинская,Барун-Хемчикская,Дзун-Хемчикская,Каа-Хемская,Кызылская городская,Кызылская,Монгун-Тайгинская,Овюрская,Пий-Хемская,Сут-Хольская,Тандинская,Тес-Хемская,Тоджинская,Улуг-Хемская,Чаа-Хольская,Чеди-Хольская,Эрзинская,Тере-Хольская
"избирателей, включенных в список избирателей",175102,6508,5063,7211,10798,7192,65895,14965,3078,4221,7479,4749,6384,4610,3665,10379,3603,4291,4004,1007
"изб.бюллетеней, полученных участковой избирательной комиссией",185961,6662,5866,7427,12545,7349,68500,16033,3171,4590,7791,5233,6963,5019,3671,11562,3777,4640,3987,1175
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",6476,0,630,901,47,197,0,185,474,873,0,700,374,624,236,45,19,302,683,186
"изб.бюллетеней, выданных в помещении для голосования в день голосования",146485,5342,4002,5835,9787,5999,54663,12812,2498,3138,6422,3809,5648,3583,2880,9338,3312,3555,3077,785
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",11046,115,305,231,838,435,4734,904,92,152,524,198,250,388,197,910,234,307,208,24
"изб.бюллетеней, погашенных",21951,1205,929,458,1873,718,9102,2132,107,427,845,526,691,424,358,1269,212,476,19,180
"изб.бюллетеней, в переносных ящиках для голосования",17370,115,935,1132,885,632,4734,1089,566,1023,524,898,474,1012,433,955,253,609,891,210
"изб.бюллетеней, в стационарных ящиках для голосования",146570,5340,4002,5835,9787,5996,54659,12810,2498,3137,6421,3809,5798,3583,2879,9287,3312,3555,3077,785
"изб.бюллетеней, недействительных",1160,95,59,72,64,55,299,110,14,70,34,25,72,26,42,55,49,11,0,8
"изб.бюллетеней, действительных",162780,5360,4878,6895,10608,6573,59094,13789,3050,4090,6911,4682,6200,4569,3270,10187,3516,4153,3968,987
"изб.бюллетеней, утраченных",3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,406,19,5,15,23,11,214,30,6,4,12,3,13,5,9,20,8,5,1,3
Грудинин,5762,185,82,153,87,229,3369,503,12,69,206,47,260,92,73,235,91,45,8,16
Жириновский,2809,87,12,36,39,199,1592,206,5,19,139,28,196,23,61,103,13,33,7,11
Путин,150795,4966,4762,6611,10379,6032,52086,12818,3016,3956,6474,4579,5673,4411,3070,9678,3373,4012,3949,950
Собчак,1779,55,9,50,35,56,1047,151,8,34,46,13,29,28,37,110,21,41,3,6
Сурайкин,439,23,4,19,22,20,242,35,1,2,18,7,14,2,9,10,4,7,0,0
Титов,339,16,3,6,11,18,217,20,0,3,9,4,8,5,8,8,2,0,0,1
Явлинский,451,9,1,5,12,8,327,26,2,3,7,1,7,3,3,23,4,10,0,0
