Республика Хакасия,Сумма,Абаканская городская,Алтайская,Аскизская,Бейская,Боградская,Орджоникидзевская,Саяногорская городская,Таштыпская,Усть-Абаканская,Черногорская городская,Ширинская,Абазинская городская,Сорская городская
"избирателей, включенных в список избирателей",372528,127335,16155,27947,13508,10276,9051,45310,9618,31402,45926,18227,10218,7555
"изб.бюллетеней, полученных участковой избирательной комиссией",366667,121100,16847,29750,14069,11150,9085,44747,11295,28641,45088,17825,10750,6320
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",356,0,0,132,0,84,0,0,12,0,0,128,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",230967,74888,11138,16020,8891,6191,6025,30326,6572,18157,29323,11853,6572,5011
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",14043,2996,975,1063,846,639,641,1011,528,1099,2195,1140,702,208
"изб.бюллетеней, погашенных",121297,43213,4734,12535,4332,4236,2419,13410,4183,9385,13569,4704,3476,1101
"изб.бюллетеней, в переносных ящиках для голосования",14383,2983,975,1195,846,723,641,1011,540,1099,2192,1268,702,208
"изб.бюллетеней, в стационарных ящиках для голосования",230865,74855,11136,16018,8891,6191,6025,30302,6572,18152,29287,11853,6572,5011
"изб.бюллетеней, недействительных",2986,903,167,202,128,106,94,473,66,201,277,182,103,84
"изб.бюллетеней, действительных",242262,76935,11944,17011,9609,6808,6572,30840,7046,19050,31202,12939,7171,5135
"изб.бюллетеней, утраченных",4,3,0,0,0,0,0,0,0,0,1,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1567,594,67,97,45,39,41,219,24,105,165,84,59,28
Грудинин,45276,14543,2292,2975,1739,1425,884,7038,886,3373,6242,1273,1660,946
Жириновский,17610,5165,840,1170,690,606,665,2117,432,1528,2252,870,672,603
Путин,169615,52830,8475,12329,6951,4629,4852,20494,5585,13517,21513,10416,4589,3435
Собчак,3372,1625,106,185,79,43,35,350,45,221,463,117,61,42
Сурайкин,1593,587,67,131,61,28,42,192,31,120,172,77,51,34
Титов,1624,786,57,61,23,22,27,207,27,98,199,52,41,24
Явлинский,1605,805,40,63,21,16,26,223,16,88,196,50,38,23
