Рязанская область,Сумма,Ермишинская,Захаровская,Кадомская,Касимовская,Касимовская городская,Kлепиковская,Кораблинская,Милославская,Mихайловская,Александро-Невская,Пителинская,Пронская,Путятинская,Рыбновская,Ряжская,Рязанская,"Рязань, Железнодорожная","Рязань, Московская","Рязань, Октябрьская","Рязань, Советская",Сапожковская,Cараевская,Cacовская,Сасовская городская,Скопинская,Скопинская городская,Спасская,Старожиловская,Ухоловская,Чучковская,Шацкая,Шиловская
"избирателей, включенных в список избирателей",922884,6634,8128,6358,23971,26512,19910,17782,9976,26694,8693,4420,26098,6202,29790,22932,46900,107554,138573,113199,67484,8309,14413,13806,23278,21658,22569,24145,12769,7920,6414,18785,31008
"изб.бюллетеней, полученных участковой избирательной комиссией",887160,6000,7450,6490,23647,27140,18234,16940,10741,26405,8813,4100,26510,6480,27345,23159,45830,103400,136060,102153,59950,8000,13730,14000,22300,21790,20950,23389,12800,8180,6290,19079,29805
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",536440,3999,4859,3680,12309,16288,11793,10815,5697,18004,5578,2644,15629,3489,18277,11692,27007,62580,79896,63046,42264,3968,7985,7594,16120,12039,11196,12046,7570,4477,3409,11203,19287
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",64715,824,1009,815,3607,1002,1914,1318,1824,3743,1443,579,1309,764,2870,2459,2656,2209,3444,3064,2089,1141,2616,1462,1652,4595,2784,2700,1631,1141,528,2753,2770
"изб.бюллетеней, погашенных",286004,1177,1582,1995,7731,9850,4527,4807,3220,4658,1792,877,9572,2227,6198,9008,16167,38611,52720,36043,15597,2891,3129,4944,4528,5156,6970,8642,3599,2562,2353,5123,7748
"изб.бюллетеней, в переносных ящиках для голосования",64714,824,1009,815,3607,1002,1914,1318,1824,3743,1443,579,1309,764,2870,2459,2656,2209,3444,3064,2089,1141,2616,1462,1652,4595,2783,2700,1631,1141,528,2753,2770
"изб.бюллетеней, в стационарных ящиках для голосования",536362,3999,4859,3680,12309,16288,11793,10815,5696,18004,5578,2644,15629,3489,18276,11692,27004,62564,79875,63031,42249,3968,7985,7593,16120,12038,11196,12046,7570,4477,3407,11203,19285
"изб.бюллетеней, недействительных",5756,37,29,34,122,217,114,84,26,349,175,19,198,42,180,167,264,638,771,600,573,45,66,83,162,146,164,82,92,47,41,80,109
"изб.бюллетеней, действительных",595320,4786,5839,4461,15794,17073,13593,12049,7494,21398,6846,3204,16740,4211,20966,13984,29396,64135,82548,65495,43765,5064,10535,8972,17610,16487,13815,14664,9109,5571,3894,13876,21946
"изб.бюллетеней, утраченных",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4094,30,27,25,97,115,75,84,29,105,27,17,114,32,134,73,194,531,693,533,307,38,64,60,65,80,97,109,49,46,23,94,127
Грудинин,76023,717,496,636,2068,3310,1830,1337,785,2485,377,448,2502,316,2102,1128,3681,8948,11546,9361,6092,741,1086,1497,1403,1688,1814,1670,1035,714,683,1149,2378
Жириновский,37091,324,343,271,1005,1316,934,742,313,1357,294,232,1131,220,1337,951,1811,4127,5556,4420,2339,326,595,585,638,933,923,904,808,340,292,732,992
Путин,458882,3592,4878,3449,12299,11813,10488,9606,6251,17027,6055,2440,12558,3552,16840,11538,22966,47504,60988,48099,32875,3870,8617,6654,15229,13485,10628,11660,7040,4370,2836,11649,18026
Собчак,7777,44,38,31,110,206,88,83,46,157,36,27,189,43,231,113,306,1287,1548,1258,957,34,59,64,104,118,120,123,64,43,20,63,167
Сурайкин,3731,35,25,20,111,123,72,86,28,119,25,21,122,22,129,83,183,447,649,445,248,24,56,59,61,79,93,79,59,26,18,66,118
Титов,3654,24,19,18,64,118,53,71,22,73,20,9,69,15,111,60,139,547,652,598,452,12,29,29,66,58,74,58,27,18,12,61,76
Явлинский,4068,20,13,11,40,72,53,40,20,75,12,10,55,11,82,38,116,744,916,781,495,19,29,24,44,46,66,61,27,14,10,62,62
