Самарская область,Сумма,Алексеевская,Безенчукская,Богатовская,Большеглушицкая,Большечерниговская,Борская,Волжская,Елховская,Жигулевская городская,Исаклинская,Камышлинская,Кинель-Черкасская,Кинельская,Кинельская городская,Клявлинская,Кошкинская,Красноармейская,Красноярская,Нефтегорская,Новокуйбышевская городская,Октябрьская городская,Отрадная городская,Пестравская,Похвистневская,Похвистневская городская,Приволжская,"Самара, Железнодорожная","Самара, Кировская","Самара, Красноглинская","Самара, Куйбышевская","Самара, Ленинская","Самара, Октябрьская","Самара, Промышленная","Самара, Самарская","Самара, Советская",Сергиевская,Ставропольская,Сызранская,Сызранская городская,"Тольятти, Автозаводская","Тольятти, Комсомольская","Тольятти, Центральная",Хворостянская,Чапаевская городская,Челно-Вершинская,Шенталинская,Шигонская
"избирателей, включенных в список избирателей",2436024,8843,29992,11150,13225,12629,13993,64644,6633,44139,9427,6897,33341,20943,37822,10802,14790,11723,42076,23453,82052,18538,30764,12776,18954,18679,16359,81667,182048,82986,63217,53851,101769,212451,23821,132438,34618,56291,19454,130787,335978,87823,119253,10202,54742,12927,10365,14692
"изб.бюллетеней, полученных участковой избирательной комиссией",2272088,9178,29925,11402,13925,12594,14900,62510,6811,42170,10388,7260,32420,20556,35338,11400,15320,11549,38849,22811,75787,18100,29300,13300,20700,19524,16959,70300,175542,78812,55000,44000,89583,184600,21550,114520,35030,52290,19193,131604,303900,81400,106750,11150,53994,13351,11400,15143
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1522108,6423,22027,8923,10144,10358,11191,49571,5484,28399,7423,5432,23216,16949,26592,9095,11789,10034,28024,17050,54384,11713,22367,10764,15610,13508,14181,46061,98497,46265,37846,30876,59715,122852,13025,72122,26374,35547,13110,79538,197438,54093,66065,8925,31722,11036,8618,11732
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",107663,864,2353,1275,1688,1227,1678,2887,796,2500,992,691,2680,1757,2102,1266,1615,1053,2811,1487,3435,2290,1355,1065,1988,1946,1378,4057,5392,2568,2044,1366,3518,6117,721,4365,2312,2758,1808,6442,4938,2617,3402,1151,2981,1289,1073,1565
"изб.бюллетеней, погашенных",642292,1891,5545,1204,2093,1009,2031,10042,531,11271,1973,1137,6524,1850,6644,1039,1916,462,8014,4274,17968,4097,5578,1471,3102,4070,1400,20182,71651,29977,15105,11758,26350,55629,7802,38033,6344,13985,4274,45624,101524,24690,37282,1074,19291,1026,1709,1846
"изб.бюллетеней, в переносных ящиках для голосования",107656,864,2353,1275,1688,1227,1678,2887,796,2500,992,691,2680,1757,2102,1266,1615,1053,2811,1487,3435,2289,1355,1065,1988,1946,1378,4057,5392,2568,2044,1366,3517,6116,721,4365,2312,2757,1808,6442,4937,2617,3400,1151,2981,1289,1073,1565
"изб.бюллетеней, в стационарных ящиках для голосования",1520840,6422,22023,8922,10144,10358,11191,49533,5484,28390,7423,5432,23214,16947,26589,9095,11778,10033,28022,17048,54358,11712,22317,10764,15610,13508,14178,46047,98458,46251,37841,30645,59594,122506,13025,72096,26265,35543,13109,79507,197338,54079,66012,8925,31718,11036,8618,11732
"изб.бюллетеней, недействительных",21460,73,330,120,108,87,139,620,74,481,64,65,348,219,401,116,149,140,381,269,905,172,302,169,588,214,139,661,1314,662,526,437,760,1544,173,981,249,457,191,1090,3043,824,1057,58,503,34,82,141
"изб.бюллетеней, действительных",1607036,7213,24046,10077,11724,11498,12730,51800,6206,30409,8351,6058,25546,18485,28290,10245,13244,10946,30452,18266,56888,13829,23370,11660,17010,15240,15417,49443,102536,48157,39359,31574,62351,127078,13573,75480,28328,37843,14726,84859,199232,55872,68355,10018,34196,12291,9609,13156
"изб.бюллетеней, утраченных",27,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,0,2,2,0,0,0,1,0,0,0,3,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Бабурин,10805,53,123,66,76,65,57,230,17,218,47,22,144,83,189,43,65,47,205,112,444,88,155,55,43,104,51,368,756,370,244,287,486,916,113,532,131,249,95,522,1526,415,583,35,217,34,43,81
Грудинин,189314,869,2605,983,1171,1352,1693,4329,587,4624,989,1027,2810,1804,3583,488,1717,827,3160,2596,7017,1487,2818,956,1279,1872,1537,5463,11058,5687,4131,3934,7932,14070,1564,8203,2443,5010,1637,10612,28439,7653,9506,531,3655,531,1574,1501
Жириновский,98007,665,1551,702,845,747,836,2949,351,2369,580,163,1845,1087,1815,338,914,665,1949,1550,4168,1054,1715,728,695,971,650,2731,5919,2935,2357,1365,2853,6728,639,4416,1307,2351,1362,6386,12216,3620,4280,504,2550,229,453,904
Путин,1234759,5406,19218,8124,9369,9091,9874,43004,5128,21976,6563,4742,20148,15048,21683,9222,10277,9157,24072,13498,42482,10832,17956,9692,14705,11825,12965,37518,79590,36894,31041,22978,45596,97481,10088,57770,23758,28734,11236,64364,145758,41330,49957,8774,26745,11340,7377,10373
Собчак,32392,87,198,72,104,84,104,611,43,481,66,42,238,166,436,61,122,102,409,225,1262,114,312,95,108,176,89,1510,2310,1041,791,1430,2664,3633,592,1989,231,685,139,1114,4828,1134,1702,80,460,56,67,129
Сурайкин,11543,73,158,63,65,85,71,224,35,224,44,32,162,156,199,57,83,74,232,119,445,97,153,73,91,126,61,366,716,360,228,199,403,894,79,581,178,295,115,700,1736,501,548,42,210,49,48,93
Титов,12324,39,110,39,42,46,46,218,29,283,41,18,107,75,179,20,34,46,223,79,456,86,138,39,49,91,29,497,789,388,239,454,863,1171,175,686,182,293,71,575,1941,487,660,38,166,27,25,35
Явлинский,17892,21,83,28,52,28,49,235,16,234,21,12,92,66,206,16,32,28,202,87,614,71,123,22,40,75,35,990,1398,482,328,927,1554,2185,323,1303,98,226,71,586,2788,732,1119,14,193,25,22,40
