Саратовская область,Сумма,Александрово-Гайская,Аркадакская,Аткарская,Базарно-Карабулакская,Балаковская,Балашовская,Балтайская,Вольская,Воскресенская,Дергачевская,Духовницкая,Екатериновская,Ершовская,Ивантеевская,Калининская,Красноармейская,Краснокутская,Краснопартизанская,Лысогорская,Марксовская,Новобурасская,Новоузенская,Озинская,Перелюбская,Петровская,Питерская,Пугачевская,Ровенская,Романовская,Ртищевская,Самойловская,"Саратов, Волжская","Саратов, Заводская","Саратов, Кировская","Саратов, Ленинская","Саратов, Октябрьская","Саратов, Фрунзенская",Саратовская,Советская,Татищевская,Светловская,Турковская,Федоровская,Хвалынская,Энгельсская,Шиханская,Михайловская
"избирателей, включенных в список избирателей",1896735,11489,18445,30337,23890,159015,82398,8990,61741,8717,16845,10385,14174,30643,11190,27165,30819,25680,10048,14737,47340,12389,22764,15251,11635,32260,12095,42224,13090,10497,41184,15181,75681,147110,104318,211187,92912,38684,37677,20679,22020,8671,9399,14909,18594,216262,4669,1345
"изб.бюллетеней, полученных участковой избирательной комиссией",1838300,12140,19010,31111,24965,155888,78280,9130,68280,8895,17804,10829,14212,33140,11884,28243,32382,23678,10471,15085,43103,12700,23532,15594,12126,32461,12933,42880,13655,11325,42078,15815,65560,135458,87150,210110,79367,36692,37140,18720,22310,8545,9875,15854,19064,202470,4930,1426
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1149182,9082,13678,16272,17604,94293,47110,5638,41618,5700,11513,6298,8380,17888,7031,18358,19772,16164,7153,9187,33038,7405,16453,11148,7085,20363,8596,22791,9969,5915,25128,8567,38519,75469,65685,108564,51752,22017,29916,13713,18377,6104,5338,9334,14268,136820,3198,911
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",112030,1024,2006,3118,3430,4621,6110,1207,5995,881,2499,991,1137,3013,1158,2062,4238,2069,926,1415,3370,1344,1598,1200,957,1836,1256,2599,1593,1481,3738,1757,2243,3233,6214,5625,3283,1510,1822,1632,2220,202,741,1055,1984,9248,253,136
"изб.бюллетеней, погашенных",577062,2034,3326,11721,3931,56973,25060,2285,20667,2314,3792,3540,4695,12239,3695,7823,8372,5445,2392,4483,6695,3951,5481,3246,4084,10262,3081,17490,2093,3929,13212,5491,24796,56756,15246,95920,24327,13165,5402,3375,1704,2239,3796,5465,2812,56399,1479,379
"изб.бюллетеней, в переносных ящиках для голосования",112026,1024,2006,3118,3430,4620,6110,1207,5995,881,2498,991,1137,3013,1158,2062,4238,2069,926,1415,3370,1344,1598,1200,957,1836,1256,2599,1593,1480,3738,1757,2243,3233,6214,5624,3283,1510,1822,1632,2220,202,741,1055,1984,9248,253,136
"изб.бюллетеней, в стационарных ящиках для голосования",1148504,9082,13631,16272,17604,94275,47098,5638,41617,5700,11513,6298,8380,17888,7025,18358,19772,16164,7153,9186,33038,7405,16453,11148,7085,20363,8596,22791,9969,5915,25128,8567,38479,75437,65580,108536,51573,21954,29867,13710,18319,6103,5338,9334,14268,136785,3198,911
"изб.бюллетеней, недействительных",10736,43,97,178,95,1134,700,48,340,88,70,40,58,176,83,135,267,330,72,53,320,80,112,41,97,166,27,270,43,47,293,99,456,635,491,882,618,225,108,168,89,93,32,103,173,1012,45,4
"изб.бюллетеней, действительных",1249794,10063,15540,19212,20939,97761,52508,6797,47272,6493,13941,7249,9459,20725,8100,20285,23743,17903,8007,10548,36088,8669,17939,12307,7945,22033,9825,25120,11519,7348,28573,10225,40266,78035,71303,113278,54238,23239,31581,15174,20450,6212,6047,10286,16079,145021,3406,1043
"изб.бюллетеней, утраченных",35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,5,0,1,0,9,0,0,0,0,9,0,0
"изб.бюллетеней, не учтенных при получении",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,0
Бабурин,7436,24,59,110,61,715,278,24,233,40,41,35,41,138,44,87,105,99,38,58,150,37,47,43,38,125,31,142,48,17,138,54,375,595,524,930,432,201,102,94,66,22,22,53,57,832,30,1
Грудинин,148585,645,1089,2261,1761,13589,7769,821,3958,513,1410,720,1282,3155,1273,1960,2591,2742,1083,1241,4649,1224,2078,1266,1054,2775,1094,4060,998,698,2411,1349,5154,10186,8637,14576,7147,3065,1532,1555,747,717,687,1513,859,18020,587,84
Жириновский,66254,271,709,1214,686,6634,3846,324,2419,340,390,493,580,1470,488,998,1039,1299,419,512,1366,467,666,467,471,1171,394,1664,468,375,1538,647,1975,4419,4406,6001,2358,1025,827,770,499,514,387,666,455,7807,291,29
Путин,987373,8993,13534,15156,18131,72845,39302,5537,39571,5477,11962,5850,7388,15556,6151,16789,19651,13402,6343,8538,29303,6757,14926,10353,6248,17505,8172,18670,9813,6158,23866,7991,29932,59634,54055,86770,40949,17230,28649,12419,18782,4698,4844,7886,14512,113750,2404,921
Собчак,15067,56,51,143,91,1360,500,31,408,49,35,47,60,121,51,125,127,131,35,64,221,78,69,62,47,161,49,175,78,39,227,57,1194,1164,1489,1893,1479,700,191,98,164,152,39,50,62,1620,22,2
Сурайкин,8326,38,43,164,100,979,331,41,288,35,58,47,70,168,42,156,98,104,48,57,190,46,68,49,38,137,44,183,47,35,194,71,301,604,523,917,338,154,102,109,67,40,40,53,56,1017,34,2
Титов,7485,20,44,85,54,866,248,12,196,14,21,39,24,61,30,108,73,65,23,34,113,29,52,38,24,82,21,154,33,11,114,29,466,626,584,966,535,290,112,67,68,33,20,28,49,902,20,2
Явлинский,9268,16,11,79,55,773,234,7,199,25,24,18,14,56,21,62,59,61,18,44,96,31,33,29,25,77,20,72,34,15,85,27,869,807,1085,1225,1000,574,66,62,57,36,8,37,29,1073,18,2
