Сахалинская область,Сумма,Александровск-Сахалинская,Анивская,Долинская,Корсаковская,Курильская,Макаровская,Невельская,Ногликская,Охинская,Поронайская,Северо-Курильская,Смирныховская,Томаринская,Тымовская,Углегорская,Холмская,Южно-Курильская,Южно-Сахалинская городская,Невельская судовая,Холмская судовая
"избирателей, включенных в список избирателей",374297,9051,13968,19897,29738,5059,5776,13283,9090,20241,18638,1712,7777,8545,11927,17585,33464,6963,136592,3543,1448
"изб.бюллетеней, полученных участковой избирательной комиссией",361348,9180,12200,18150,31134,4400,5570,13280,8970,19850,19362,1750,8420,8200,11201,18700,33400,6790,125800,3543,1448
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3359,8,0,0,0,174,0,128,1296,464,0,11,0,767,0,0,0,511,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",215721,4508,8839,10416,17890,3820,3491,7078,5241,10437,10588,951,4978,4396,6408,8565,16798,4812,81555,3528,1422
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",10059,550,323,489,693,72,403,488,178,773,741,29,682,586,535,430,854,144,2089,0,0
"изб.бюллетеней, погашенных",132208,4114,3038,7245,12551,334,1676,5586,2255,8176,8033,759,2760,2451,4257,9705,15748,1323,42156,15,26
"изб.бюллетеней, в переносных ящиках для голосования",13418,558,323,489,693,246,403,616,1474,1237,741,40,682,1353,535,430,854,655,2089,0,0
"изб.бюллетеней, в стационарных ящиках для голосования",215637,4508,8837,10411,17889,3820,3490,7078,5238,10434,10588,949,4976,4395,6407,8565,16798,4812,81492,3528,1422
"изб.бюллетеней, недействительных",3942,93,150,198,353,73,142,114,137,223,296,13,150,98,126,155,344,51,1154,51,21
"изб.бюллетеней, действительных",225113,4973,9010,10702,18229,3993,3751,7580,6575,11448,11033,976,5508,5650,6816,8840,17308,5416,82427,3477,1401
"изб.бюллетеней, утраченных",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1586,33,53,59,132,13,27,50,44,70,76,1,42,39,68,50,147,29,617,21,15
Грудинин,41201,626,1553,1839,3297,329,502,1271,1698,2600,2027,116,1285,760,1239,1918,3171,436,16132,280,122
Жириновский,20075,479,899,1011,1679,393,443,854,553,1031,1146,99,607,611,768,835,1519,454,6072,400,222
Путин,153289,3713,6205,7480,12434,3161,2687,5215,4088,7468,7465,727,3413,4056,4521,5809,11892,4329,55060,2607,959
Собчак,3874,58,131,140,287,41,33,67,77,99,125,10,65,74,61,81,241,89,2072,79,44
Сурайкин,1496,24,49,68,118,24,14,40,43,71,73,8,49,38,57,69,105,23,576,35,12
Титов,1654,22,70,61,120,12,25,50,32,51,65,10,27,26,52,35,117,26,808,31,14
Явлинский,1938,18,50,44,162,20,20,33,40,58,56,5,20,46,50,43,116,30,1090,24,13
