Свердловская область,Сумма,Алапаевская городская,Алапаевская,Арамильская городская,Артемовская,Артинская,Асбестовская городская,Ачитская,Байкаловская,Белоярская,Березовская городская,Бисертская поселковая,Богдановичская,Верхнедубровская поселковая,Верх-Нейвинская поселковая,Верхнепышминская городская,Верхнесалдинская,Верхнетагильская городская,Верхнетуринская городская,Верхотурская,Волчанская городская,Гаринская,Дегтярская городская,"Екатеринбург, Верх-Исетская","Екатеринбург, Железнодорожная","Екатеринбург, Кировская","Екатеринбург, Ленинская","Екатеринбург, Октябрьская","Екатеринбург, Орджоникидзевская","Екатеринбург, Чкаловская",Заречная городская,Ивдельская городская,Ирбитская городская,Ирбитская,Каменская,Каменск-Уральская городская,Камышловская городская,Камышловская,Карпинская городская,Качканарская городская,Кировградская городская,Краснотурьинская городская,Красноуральская городская,Красноуфимская городская,Красноуфимская,Кушвинская городская,Лесная городская,Малышевская поселковая,Невьянская,Нижнесалдинская городская,Нижнесергинская,Нижнетуринская,"Нижний Тагил, Дзержинская","Нижний Тагил, Ленинская","Нижний Тагил, Тагилстроевская",Новолялинская,Новоуральская городская,Пелымская поселковая,Первоуральская городская,Полевская городская,Пригородная,Пышминская,Ревдинская,Режевская,Рефтинская поселковая,Свободненская поселковая,Североуральская городская,Серовская городская,Серовская,Слободо-Туринская,Среднеуральская городская,Староуткинская поселковая,Сухоложская городская,Сысертская,Таборинская,Тавдинская,Талицкая,Тугулымская,Туринская,Уральская поселковая,Шалинская
"избирателей, включенных в список избирателей",3345221,34430,26206,16922,46660,23278,55171,13327,12630,30078,58039,8401,37179,3977,3521,63125,38239,10436,7607,11470,7413,2738,11981,172451,113373,159897,148864,110835,198888,198677,24763,14262,30996,23134,23439,136204,20756,20116,23332,32227,22419,45803,19634,29165,21482,33817,41825,8683,32806,13170,34124,21391,90846,85898,96187,16132,73327,2899,118739,57757,26616,16032,48180,37270,12575,6432,33929,67310,9422,11568,17893,2370,36423,52429,2824,29506,37456,17294,21007,1726,15813
"изб.бюллетеней, полученных участковой избирательной комиссией",3166041,33580,24082,16100,46040,23500,55100,12050,12150,28400,51980,6450,35850,3799,3300,58900,36815,10310,7900,11140,7800,2900,10650,161300,102675,155900,140490,105700,195150,189430,20150,14525,31000,22030,22500,116100,20500,17650,24500,33050,21700,43300,19300,28950,20130,32380,41850,8000,31450,12950,33135,21430,81200,80870,83530,16066,69800,2750,106400,55600,25400,14050,47360,36835,10500,5614,33550,65375,8650,11390,17000,2400,34250,49190,2775,29785,35600,16500,20450,1700,15430
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3210,0,9,0,91,337,0,29,629,0,0,28,0,0,0,0,0,0,0,160,0,44,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,78,0,0,0,0,9,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,91,86,0,0,0,0,270,0,31,11,0,0,0,0,0,39,3,0,131,708,0,289
"изб.бюллетеней, выданных в помещении для голосования в день голосования",2003456,19027,14230,10040,25488,13579,32931,7493,6531,17379,35394,4454,22614,2508,1891,38281,27160,6027,4416,6075,4846,1554,6450,102153,66096,96028,91780,65756,118340,114115,16764,8843,18495,14430,13241,86446,12165,13143,14576,20768,13552,28518,11676,17784,13145,18635,27670,5189,19865,8151,19151,12824,56310,51664,57079,8871,44748,2006,76409,34582,14710,9992,29428,21394,8040,4851,21514,39734,5194,6690,10425,1273,21114,31246,1734,16410,20986,8869,11178,1286,8052
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",79001,1432,1121,291,1437,1101,931,671,954,900,1160,348,1093,104,136,917,733,233,354,704,584,182,384,2649,1026,1767,1739,1315,2747,1950,486,442,971,1576,1019,3182,603,1278,770,720,843,878,509,876,1209,770,835,177,744,286,1296,580,1503,2011,1771,691,1552,94,2541,1063,1097,869,882,907,165,127,930,1729,517,559,185,117,1075,1403,157,1331,3322,1295,849,11,1235
"изб.бюллетеней, погашенных",1080366,13121,8722,5769,19024,8483,21238,3857,4036,10121,15425,1620,12143,1187,1273,19702,8922,4050,3130,4201,2370,1120,3816,56498,35553,58105,46968,38629,74063,73365,2900,5179,11534,6024,8240,26472,7732,3229,9076,11562,7304,13903,7115,10280,5775,12975,13345,2634,10841,4513,12688,8026,23387,27119,24680,6504,23500,650,27450,19864,9507,3189,17050,14534,2295,366,11106,23881,2928,4141,6390,1010,12061,16541,845,12041,11292,6205,7715,403,5854
"изб.бюллетеней, в переносных ящиках для голосования",82161,1432,1130,291,1528,1438,931,700,1583,900,1161,376,1093,104,136,917,733,233,354,864,584,182,384,2649,1025,1767,1739,1314,2743,1948,486,503,971,1575,1019,3182,603,1278,848,720,844,879,509,886,1210,770,835,177,744,286,1296,580,1503,2087,1771,691,1552,94,2539,1154,1183,869,882,907,165,397,930,1760,528,559,185,117,1075,1403,196,1334,3322,1426,1557,11,1524
"изб.бюллетеней, в стационарных ящиках для голосования",2003002,19024,14230,10038,25487,13579,32928,7493,6531,17379,35388,4454,22614,2508,1889,38255,27155,6027,4416,6075,4846,1598,6449,102113,66078,96009,91738,65691,118267,114090,16758,8842,18495,14430,13240,86437,12165,13143,14575,20767,13551,28512,11676,17783,13145,18634,27662,5188,19865,8150,19150,12823,56272,51656,57076,8871,44743,2006,76360,34581,14710,9991,29423,21394,8039,4851,21514,39732,5194,6690,10418,1273,21109,31246,1734,16410,20986,8869,11177,1286,8051
"изб.бюллетеней, недействительных",27282,270,194,137,392,180,493,71,74,220,323,65,288,33,30,437,451,73,47,82,102,23,68,1270,877,1229,1022,855,1542,1408,243,123,207,141,171,1164,127,189,283,303,207,528,190,208,197,282,380,82,309,135,273,189,940,778,942,119,681,37,1237,394,189,137,370,218,94,50,452,674,80,78,168,9,274,408,21,165,271,100,106,13,90
"изб.бюллетеней, действительных",2057881,20186,15166,10192,26623,14837,33366,8122,8040,18059,36226,4765,23419,2579,1995,38735,27437,6187,4723,6857,5328,1757,6765,103492,66226,96547,92455,66150,119468,114630,17001,9222,19259,15864,14088,88455,12641,14232,15140,21184,14188,28863,11995,18461,14158,19122,28117,5283,20300,8301,20173,13214,56835,52965,57905,9443,45614,2063,77662,35341,15704,10723,29935,22083,8110,5198,21992,40818,5642,7171,10435,1381,21910,32241,1909,17579,24037,10195,12628,1284,9485
