Смоленская область,Сумма,Велижская,Вяземская,Гагаринская,Глинковская,Демидовская,Десногорская,Дорогобужская,Духовщинская,Ельнинская,Ершичская,Кардымовская,Краснинская,Монастырщинская,Новодугинская,Починковская,Рославльская,Руднянская,Сафоновская,"Смоленск, Заднепровская","Смоленск, Ленинская","Смоленск, Промышленная",Смоленская,Сычевская,Темкинская,Угранская,Хиславичская,Холм-Жирковская,Шумячская,Ярцевская
"избирателей, включенных в список избирателей",773021,9638,62450,35146,3789,11347,24207,22532,12736,10617,5282,8553,10728,8722,7428,24793,56617,18059,43538,78587,82723,104888,39606,10463,4571,6971,7688,8091,8891,44360
"изб.бюллетеней, полученных участковой избирательной комиссией",739888,9337,62347,33020,3750,11418,24060,23000,10581,10170,5441,7900,10601,8100,7500,22579,55500,18900,43780,73800,77100,95450,37365,10038,4550,7026,7180,8150,8195,43050
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",437716,4698,33223,18752,1931,5969,16657,12378,6634,5593,3012,4495,5443,4733,3846,14094,29101,10858,26916,45900,51048,62794,22393,6504,2353,3293,3842,4910,4406,21940
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",35880,691,2582,1155,335,1062,329,827,824,616,669,702,1023,781,832,1734,2980,1985,1576,2161,2051,2393,2198,1528,700,535,781,789,640,1401
"изб.бюллетеней, погашенных",266292,3948,26542,13113,1484,4387,7074,9795,3123,3961,1760,2703,4135,2586,2822,6751,23419,6057,15288,25739,24001,30263,12774,2006,1497,3198,2557,2451,3149,19709
"изб.бюллетеней, в переносных ящиках для голосования",35878,691,2582,1155,335,1062,329,827,824,616,669,702,1023,781,832,1734,2980,1985,1576,2161,2050,2392,2198,1528,700,535,781,789,640,1401
"изб.бюллетеней, в стационарных ящиках для голосования",437492,4698,33214,18745,1931,5969,16631,12302,6634,5592,3011,4495,5443,4733,3845,14040,29100,10857,26915,45893,51026,62780,22391,6504,2353,3293,3841,4910,4406,21940
"изб.бюллетеней, недействительных",5399,58,399,217,14,89,195,158,79,69,21,60,56,43,40,177,375,128,348,544,683,815,275,69,44,50,48,59,56,230
"изб.бюллетеней, действительных",467971,5331,35397,19683,2252,6942,16765,12971,7379,6139,3659,5137,6410,5471,4637,15597,31705,12714,28143,47510,52393,64357,24314,7963,3009,3778,4574,5640,4990,23111
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3894,24,310,142,14,56,114,122,70,36,31,33,43,66,25,94,254,80,227,381,568,607,173,43,19,24,38,58,33,209
Грудинин,62351,620,4618,2538,265,901,2294,1810,1054,842,474,565,720,830,600,1828,4222,1518,3661,6305,7919,8932,3078,808,459,589,524,533,782,3062
Жириновский,36894,507,3022,1587,152,699,1294,1259,855,546,266,451,514,445,478,1548,2840,1011,2692,3325,3124,4211,1878,577,226,300,478,605,423,1581
Путин,347859,4070,26328,14848,1778,5096,12381,9409,5201,4555,2805,3961,4977,4011,3451,11769,23498,9821,20728,35570,37633,47208,18382,6382,2234,2785,3442,4319,3663,17554
Собчак,6724,44,394,215,17,62,275,152,82,71,18,45,60,47,32,138,308,110,304,795,1389,1313,358,62,26,26,35,44,38,264
Сурайкин,3519,27,281,135,14,58,116,101,58,40,34,27,51,32,26,101,244,81,234,364,420,578,155,46,18,26,28,33,32,159
Титов,3304,26,250,126,7,42,138,54,36,29,16,34,27,20,17,76,191,47,145,364,608,640,162,21,9,13,16,25,15,150
Явлинский,3426,13,194,92,5,28,153,64,23,20,15,21,18,20,8,43,148,46,152,406,732,868,128,24,18,15,13,23,4,132
