Ставропольский край,Сумма,Александровская,Андроповская,Апанасенковская,Арзгирская,Благодарненская,Буденновская,Георгиевская,Грачевская,Ессентукская городская,Железноводская городская,Изобильненская,Ипатовская,Кировская,Кисловодская городская,Кочубеевская,Красногвардейская,Курская,Левокумская,Лермонтовская городская,Минераловодская,Невинномысская городская,Нефтекумская,Новоалександровская,Новоселицкая,Петровская,Предгорная,Пятигорская городская,Советская,"Ставрополь, Ленинская","Ставрополь, Октябрьская","Ставрополь, Промышленная",Степновская,Труновская,Туркменская,Шпаковская,Георгиевская городская
"избирателей, включенных в список избирателей",1882304,31869,21054,23041,17592,41516,76466,62951,25156,68300,37843,70312,43261,44896,72283,55369,27665,34278,26130,17338,95786,85816,41902,43573,17030,52267,80055,135701,47338,81742,62365,151063,13834,24441,17680,89987,44404
"изб.бюллетеней, полученных участковой избирательной комиссией",1831541,31000,19780,21660,16520,38950,78684,60050,24360,66150,39000,66600,41720,42400,71530,51650,26878,31860,24890,16500,88912,85710,39950,42440,16600,48350,80000,136590,46470,78445,61498,147831,14000,24773,17000,90090,42700
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1224354,21988,13616,12574,9159,21359,46677,38924,15172,44956,26515,42782,27498,32070,45954,36706,16503,17219,15271,10277,53022,62369,29908,35092,10726,28187,43275,80663,23194,64595,50177,118967,8387,14828,11226,70659,23859
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",165692,5176,3431,2142,1302,3640,7272,6875,2534,5965,3037,5869,5938,5962,5969,4836,5215,2466,2732,557,5557,8905,3638,2965,1932,6897,7824,3490,5139,5742,3010,13317,1317,2737,1427,6262,4615
"изб.бюллетеней, погашенных",441495,3836,2733,6944,6059,13951,24735,14251,6654,15229,9448,17949,8284,4368,19607,10108,5160,12175,6887,5666,30333,14436,6404,4383,3942,13266,28901,52437,18137,8108,8311,15547,4296,7208,4347,13169,14226
"изб.бюллетеней, в переносных ящиках для голосования",165689,5176,3431,2142,1302,3640,7272,6875,2534,5965,3037,5869,5938,5962,5969,4836,5215,2466,2732,557,5557,8905,3638,2965,1932,6897,7824,3490,5139,5742,3010,13316,1317,2737,1427,6262,4613
"изб.бюллетеней, в стационарных ящиках для голосования",1222888,21988,13616,12572,9159,21275,46587,38924,15172,44952,26514,42779,27483,32063,45944,36703,16503,17218,15249,10277,53008,62369,29908,35088,10726,28180,42472,80538,23192,64593,50171,118952,8387,14828,11224,70416,23858
"изб.бюллетеней, недействительных",13559,181,148,231,140,347,752,394,183,408,336,912,339,237,480,369,237,269,211,101,668,728,309,347,127,411,639,967,297,397,289,682,204,252,181,419,367
"изб.бюллетеней, действительных",1375018,26983,16899,14483,10321,24568,53107,45405,17523,50509,29215,47736,33082,37788,51433,41170,21481,19415,17770,10733,57897,70546,33237,37706,12531,34666,49657,83061,28034,69938,52892,131586,9500,17313,12470,76259,28104
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,7593,108,62,102,68,144,302,190,107,269,150,276,198,153,351,201,140,116,117,82,353,501,113,154,64,227,245,615,142,285,256,720,49,119,73,362,179
Грудинин,157345,2399,1426,2820,1951,3231,7221,5532,2085,5882,3387,5994,3569,3516,5038,4173,3008,3739,2808,2157,9350,7164,4601,2786,1802,4991,7588,11461,3787,5325,4477,8830,1204,2714,1912,5817,3600
Жириновский,58778,899,535,1213,565,1534,2872,2030,907,1725,1177,2790,1861,1166,1993,2053,1329,716,946,692,2712,3530,1069,1467,586,2226,2208,3734,1484,1792,1575,3570,442,1022,488,2623,1247
Путин,1118523,23226,14622,10000,7510,19172,41442,36885,14063,41366,23717,37546,26855,32427,42158,34027,16608,14451,13508,7390,44049,57086,26884,32677,9894,26455,38464,63991,22073,60864,45161,115161,7609,13096,9813,65988,22285
Собчак,11656,99,73,130,78,151,478,272,133,412,309,359,193,154,710,234,132,161,117,138,504,811,224,213,58,248,428,1288,152,622,506,1210,81,115,63,542,258
Сурайкин,8008,120,79,123,79,182,334,222,95,246,165,327,223,193,357,240,139,130,145,98,406,488,220,143,77,238,334,539,178,251,272,615,53,118,52,352,175
Титов,6985,78,43,64,38,82,274,172,80,301,148,249,112,109,371,151,69,53,78,96,297,500,75,131,28,166,212,694,158,392,331,745,39,74,42,330,203
Явлинский,6130,54,59,31,32,72,184,102,53,308,162,195,71,70,455,91,56,49,51,80,226,466,51,135,22,115,178,739,60,407,314,735,23,55,27,245,157
