Тамбовская область,Сумма,Бондарская,Гавриловская,Жердевская,Знаменская,Инжавинская,Кирсановская,Кирсановская городская,Котовская городская,Мичуринская,Мичуринская городская,Мордовская,Моршанская,Моршанская городская,Мучкапская,Никифоровская,Первомайская,Петровская,Пичаевская,Рассказовская,Рассказовская городская,Ржаксинская,Сампурская,Сосновская,Староюрьевская,"Тамбов, Ленинская","Тамбов, Октябрьская","Тамбов, Советская",Тамбовская,Токаревская,Уваровская,Уваровская городская,Уметская
"избирателей, включенных в список избирателей",840040,9504,8294,22158,13931,17758,14250,12257,25245,24634,67568,13997,23908,30949,10930,15338,21671,14139,9701,15605,35504,13044,10907,23851,11216,32547,133990,75946,78626,13907,8214,22249,8202
"изб.бюллетеней, полученных участковой избирательной комиссией",800893,9380,8639,20530,13900,17066,14260,11750,23075,23789,63463,12882,23535,27800,11800,14730,21260,13800,8240,15660,35250,12200,10300,23760,11252,28886,125547,69900,77800,13820,7550,20669,8400
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",532598,6452,5205,14358,9973,9861,8730,9416,17642,17180,43218,8111,17802,16947,7074,11727,13829,9578,5589,11603,22976,8125,7294,17893,7674,18143,77133,41165,53376,9458,5286,14916,4864
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",72585,1096,1375,2832,1374,1650,2324,858,1768,2958,7045,1699,2663,1919,1553,1516,2308,1861,1305,1836,5363,2756,1397,2881,1570,1106,4176,2035,3927,2318,1638,2150,1328
"изб.бюллетеней, погашенных",195710,1832,2059,3340,2553,5555,3206,1476,3665,3651,13200,3072,3070,8934,3173,1487,5123,2361,1346,2221,6911,1319,1609,2986,2008,9637,44238,26700,20497,2044,626,3603,2208
"изб.бюллетеней, в переносных ящиках для голосования",72582,1096,1375,2832,1374,1651,2324,858,1768,2958,7043,1699,2663,1919,1553,1515,2308,1861,1305,1836,5363,2756,1397,2881,1570,1106,4175,2035,3927,2318,1638,2150,1328
"изб.бюллетеней, в стационарных ящиках для голосования",532409,6450,5205,14355,9973,9860,8730,9415,17634,17180,43129,8110,17800,16946,7074,11725,13829,9577,5589,11603,22974,8125,7294,17893,7674,18133,77082,41154,53372,9458,5286,14916,4864
"изб.бюллетеней, недействительных",5652,80,26,191,66,110,99,43,67,114,491,162,218,240,72,30,109,90,45,57,165,50,59,156,37,249,962,533,383,270,153,299,26
"изб.бюллетеней, действительных",599339,7466,6554,16996,11281,11401,10955,10230,19335,20024,49681,9647,20245,18625,8555,13210,16028,11348,6849,13382,28172,10831,8632,20618,9207,18990,80295,42656,56916,11506,6771,16767,6166
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3137,23,20,65,31,44,41,33,63,72,261,32,84,114,49,27,73,51,45,55,134,40,35,99,20,166,664,342,284,34,29,82,25
Грудинин,55183,528,355,1336,834,1584,942,1190,1292,1608,4793,985,1582,2860,734,445,1314,834,882,547,1452,859,588,1455,708,2537,10508,5659,4739,515,312,819,387
Жириновский,31418,429,246,787,643,626,574,374,1298,872,2791,395,871,1217,431,304,624,477,333,556,1620,426,448,1197,386,879,4507,2703,3105,563,333,1139,264
Путин,494966,6399,5843,14517,9597,8984,9221,8510,16392,17274,40784,8094,17349,13924,7198,12333,13827,9820,5490,12065,24227,9376,7423,17631,7980,14270,60708,32083,47519,10255,6004,14430,5439
Собчак,5311,38,25,94,65,52,69,46,79,74,396,40,112,147,44,34,61,50,37,66,320,38,57,71,56,428,1476,752,400,38,28,99,19
Сурайкин,3593,32,34,101,46,53,69,36,62,65,280,61,115,173,55,35,63,57,39,48,99,52,49,80,24,197,747,377,336,54,39,96,19
Титов,2521,9,12,57,38,39,21,21,70,27,188,20,75,102,19,18,37,23,10,23,101,22,20,49,16,165,688,304,251,24,16,47,9
Явлинский,3210,8,19,39,27,19,18,20,79,32,188,20,57,88,25,14,29,36,13,22,219,18,12,36,17,348,997,436,282,23,10,55,4
