Тверская область,Сумма,Андреапольская,Бежецкая,Бельская,Бологовская,Весьегонская,Вышневолоцкая,Вышневолоцкая городская,Жарковская,Западнодвинская,Зубцовская,Калининская,Калязинская,Кашинская,Кесовогорская,Кимрская,Кимрская городская,Конаковская,Краснохолмская,Кувшиновская,Лесная,Лихославльская,Максатихинская,Молоковская,Нелидовская,Озерная поселковая,Оленинская,Осташковская,Пеновская,Рамешковская,Ржевская,Ржевская городская,Сандовская,Селижаровская,Солнечная поселковая,Сонковская,Спировская,Старицкая,"Тверь, Заволжская","Тверь, Московская","Тверь, Пролетарская","Тверь, Центральная",Торжокская,Торжокская городская,Торопецкая,Удомельская,Фировская
"избирателей, включенных в список избирателей",1070221,9333,27757,5245,29739,10089,19024,37991,4532,12917,13590,47414,16615,21172,6351,10774,39180,72444,8947,11856,4284,22155,13937,4103,23102,7876,9483,19605,5467,11148,9662,45867,5202,10105,1628,6708,9043,17485,117983,97446,75123,42490,16143,34275,16642,30728,7561
"изб.бюллетеней, полученных участковой избирательной комиссией",990731,9327,27554,4760,27135,10128,17850,36212,4469,11430,11150,45190,15220,20150,6070,10550,38150,70436,7525,8600,4040,21550,14000,3840,23510,7700,9854,19619,5050,10500,9000,42220,5265,8520,1200,5190,8730,16444,101350,92435,67062,35240,14630,33260,15550,27266,5800
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",567381,5182,12923,2284,14666,4319,10148,19586,2245,6740,6781,23049,8974,9914,2789,5090,21191,38026,3518,5019,2034,11499,5646,1767,11660,5749,5035,9862,2800,5681,6152,25386,2960,5085,1068,2798,3963,9244,69510,55182,42038,24907,6915,19302,7217,18403,3074
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",48898,806,1486,403,2071,1110,1297,806,372,1054,1190,1774,968,1896,897,1005,579,1816,1072,578,615,1357,1045,453,1221,191,1799,1261,599,1312,928,1350,507,1104,20,633,638,2269,1543,1233,1044,668,1813,506,1837,924,848
"изб.бюллетеней, погашенных",374450,3339,13145,2073,10398,4699,6405,15820,1852,3636,3179,20367,5278,8340,2384,4455,16380,30594,2935,3003,1391,8693,7309,1620,10629,1760,3020,8496,1651,3507,1920,15484,1798,2331,112,1759,4129,4931,30297,36020,23980,9664,5902,13452,6496,7939,1878
"изб.бюллетеней, в переносных ящиках для голосования",48895,806,1485,403,2071,1110,1297,806,372,1054,1190,1774,968,1896,897,1005,579,1816,1072,578,615,1357,1045,453,1221,190,1799,1261,599,1312,928,1350,507,1104,20,633,638,2269,1543,1233,1043,668,1813,506,1837,924,848
"изб.бюллетеней, в стационарных ящиках для голосования",567046,5182,12923,2284,14665,4319,10148,19583,2245,6740,6781,23041,8974,9914,2789,5090,21176,37854,3518,5019,2034,11495,5646,1767,11659,5735,5035,9862,2800,5681,6151,25371,2960,5084,1068,2798,3962,9243,69497,55131,42026,24896,6915,19299,7216,18396,3074
"изб.бюллетеней, недействительных",6027,42,115,20,153,37,102,238,19,62,86,232,111,101,28,49,265,490,35,32,16,112,39,11,140,62,161,133,45,39,78,314,16,60,10,17,38,58,688,542,426,241,53,194,72,218,27
"изб.бюллетеней, действительных",609914,5946,14293,2667,16583,5392,11343,20151,2598,7732,7885,24583,9831,11709,3658,6046,21490,39180,4555,5565,2633,12740,6652,2209,12740,5863,6673,10990,3354,6954,7001,26407,3451,6128,1078,3414,4562,11454,70352,55822,42643,25323,8675,19611,8981,19102,3895
