Территория за пределами РФ,Сумма
"избирателей, включенных в список избирателей",483957
"изб.бюллетеней, полученных участковой избирательной комиссией",1408383
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",53482
"изб.бюллетеней, выданных в помещении для голосования в день голосования",403108
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",18026
"изб.бюллетеней, погашенных",933738
"изб.бюллетеней, в переносных ящиках для голосования",71484
"изб.бюллетеней, в стационарных ящиках для голосования",402882
"изб.бюллетеней, недействительных",5801
"изб.бюллетеней, действительных",468565
"изб.бюллетеней, утраченных",29
"изб.бюллетеней, не учтенных при получении",0
Бабурин,2010
Грудинин,23871
Жириновский,8224
Путин,403306
Собчак,19203
Сурайкин,1439
Титов,3079
Явлинский,7433
