Томская область,Сумма,Александровская,Асиновская,Бакчарская,Верхнекетская,Зырянская,Каргасокская,Кедровская городская,Кожевниковская,Колпашевская,Кривошеинская,Молчановская,Парабельская,Первомайская,Северская городская,Cтрежевская городская,Тегульдетская,"Томск, Кировская","Томск, Ленинская","Томск, Октябрьская","Томск, Советская",Томская,Чаинская,Шегарская
"избирателей, включенных в список избирателей",778244,6785,27875,9282,12394,11098,18041,2861,16023,32980,10902,10914,10579,14311,90522,29652,5308,82663,85650,135195,80587,60664,9188,14770
"изб.бюллетеней, полученных участковой избирательной комиссией",678897,6170,27090,9089,11370,11109,16450,2460,15080,32570,10075,11190,9900,14290,87100,25100,5152,68400,64900,113633,57869,56550,9200,14150
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",2003,97,0,0,0,0,1272,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",439041,3860,14421,5387,6932,5885,8928,1467,9383,17756,5870,5407,6042,8141,56652,17197,2982,48281,46368,75045,46005,33645,5065,8322
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",20226,139,1417,598,521,340,786,83,799,1575,506,589,373,474,2086,338,198,2036,1041,2107,1241,1676,432,871
"изб.бюллетеней, погашенных",217627,2074,11252,3104,3917,4884,5464,910,4898,13239,3699,5194,2851,5675,28362,7565,1972,18083,17491,36481,10623,21229,3703,4957
"изб.бюллетеней, в переносных ящиках для голосования",22215,236,1417,598,520,340,2054,83,799,1575,506,589,1006,474,2085,338,198,2036,1041,2105,1236,1676,432,871
"изб.бюллетеней, в стационарных ящиках для голосования",438713,3860,14419,5387,6930,5885,8926,1467,9381,17756,5870,5407,6042,8141,56577,17196,2982,48268,46345,74922,45923,33642,5065,8322
"изб.бюллетеней, недействительных",5307,49,165,61,56,71,157,19,96,215,62,64,103,82,772,191,46,614,571,857,468,405,68,115
"изб.бюллетеней, действительных",455621,4047,15671,5924,7394,6154,10823,1531,10084,19116,6314,5932,6945,8533,57890,17343,3134,49690,46815,76170,46691,34913,5429,9078
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,2976,28,86,31,48,35,85,3,52,103,18,32,38,45,476,72,21,371,317,511,331,191,36,46
Грудинин,70163,584,2108,672,994,889,1663,223,1613,2797,781,797,897,1139,10126,2312,352,8097,7687,11928,7428,5298,582,1196
Жириновский,31466,263,1375,568,631,477,1006,142,845,1355,516,495,699,874,4693,1099,289,2417,2752,5021,2341,2373,564,671
Путин,328296,3086,11757,4529,5557,4636,7777,1130,7416,14401,4897,4476,5120,6297,39333,13376,2387,34647,33385,54303,32854,25826,4135,6971
Собчак,10091,24,123,36,54,57,103,14,54,166,36,54,80,73,1367,207,33,1968,1231,1986,1744,543,46,92
Сурайкин,2757,24,106,39,48,32,67,9,38,121,27,30,37,46,459,82,22,291,277,440,305,194,19,44
Титов,3986,18,51,36,30,16,69,8,31,83,13,24,40,29,658,102,10,708,403,752,653,195,28,29
Явлинский,5886,20,65,13,32,12,53,2,35,90,26,24,34,30,778,93,20,1191,763,1229,1035,293,19,29
