Тюменская область,Сумма,Абатская,Армизонская,Аромашевская,Бердюжская,Вагайская,Викуловская,Голышмановская,Заводоуковская,Исетская,Ишимская,Ишимская городская,Казанская,Нижнетавдинская,Омутинская,Сладковская,Сорокинская,Тобольская,Тобольская городская,Тюменская,"Тюмень, Калининская","Тюмень, Ленинская","Тюмень, Центральная",Уватская,Упоровская,Юргинская,Ялуторовская,Ялуторовская городская,Ярковская,"Тюмень, Восточная"
"избирателей, включенных в список избирателей",1068796,14685,7361,9335,9079,15278,11548,19049,37337,19543,23809,47523,16711,18771,14353,9176,7246,14908,79417,90155,145357,110443,122450,15892,14982,8837,11404,27591,15461,131095
"изб.бюллетеней, полученных участковой избирательной комиссией",1031045,14760,7328,9324,9360,15255,11964,19039,35198,19000,23921,47476,16274,18674,14391,9469,7584,15255,74450,87623,137718,103350,114990,15545,15063,8839,11846,26900,15279,125170
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",2951,0,0,0,0,0,0,438,0,0,127,0,0,0,88,360,0,513,0,0,0,0,0,1425,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",807397,12878,5605,7657,7556,12491,8183,15864,28156,15428,20172,36307,12934,14015,12708,7251,5713,11983,58138,67497,105090,79754,90970,12720,12563,7261,10146,20607,12617,95133
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",33204,773,451,748,640,1084,1087,934,1988,1201,1557,2288,639,1355,694,938,722,1384,1010,2584,1573,1624,1836,413,1132,721,593,898,1207,1130
"изб.бюллетеней, погашенных",187489,1109,1272,919,1164,1680,2694,1803,5054,2371,2064,8881,2701,3304,901,920,1149,1375,15302,17542,31055,21972,22181,987,1368,857,1107,5395,1455,28907
"изб.бюллетеней, в переносных ящиках для голосования",36153,773,451,748,640,1084,1087,1372,1988,1201,1684,2288,639,1355,782,1298,722,1897,1010,2584,1573,1623,1835,1838,1132,721,593,898,1207,1130
"изб.бюллетеней, в стационарных ящиках для голосования",806945,12878,5605,7657,7556,12491,8183,15863,28155,15428,20171,36287,12934,14015,12706,7251,5713,11983,58085,67415,105026,79634,90940,12719,12563,7261,10146,20605,12617,95058
"изб.бюллетеней, недействительных",7152,31,22,31,39,57,81,62,225,76,30,265,66,71,51,17,15,117,710,603,1162,993,946,141,23,4,32,139,81,1062
"изб.бюллетеней, действительных",835946,13620,6034,8374,8157,13518,9189,17173,29918,16553,21825,38310,13507,15299,13437,8532,6420,13763,58385,69396,105437,80264,91829,14416,13672,7978,10707,21364,13743,95126
"изб.бюллетеней, утраченных",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4543,39,28,31,25,60,62,78,165,57,35,252,26,59,48,14,62,52,359,312,746,511,556,46,18,27,24,111,46,694
Грудинин,69294,367,444,244,661,1167,1698,1599,2250,976,514,2467,1130,923,595,272,256,848,6107,6109,9631,7781,8262,318,605,413,699,1897,795,10266
Жириновский,64367,499,342,294,354,501,875,972,2346,917,579,2595,712,1064,903,215,362,611,4684,5467,9714,7740,9256,559,553,251,376,2020,761,8845
Путин,672385,12586,5150,7716,7047,11642,6383,14373,24537,14374,20588,32086,11525,13026,11713,7987,5581,12075,45356,56045,80601,60809,69610,13234,12392,7205,9503,16871,11911,70459
Собчак,11723,43,25,28,22,60,86,66,237,87,28,288,46,87,72,17,54,73,826,639,2273,1749,2120,75,33,30,50,161,92,2356
Сурайкин,4249,34,23,21,23,45,37,41,174,71,33,242,37,66,50,12,42,55,387,296,631,486,490,50,31,18,26,125,59,644
Титов,4577,26,13,30,17,26,29,26,121,38,27,180,17,46,32,8,39,23,317,275,869,532,725,54,21,19,13,107,49,898
Явлинский,4808,26,9,10,8,17,19,18,88,33,21,200,14,28,24,7,24,26,349,253,972,656,810,80,19,15,16,72,30,964
