Ульяновская область,Сумма,Базарносызганская,Барышская,Вешкаймская,Димитровградская городская,Инзенская,Карсунская,Кузоватовская,Майнская,Мелекесская,Николаевская,Новомалыклинская,Новоспасская,Павловская,Радищевская,Сенгилеевская,Старокулаткинская,Старомайнская,Сурская,Тереньгульская,"Ульяновск, Железнодорожная","Ульяновск, Заволжская N1","Ульяновск, Заволжская N2","Ульяновск, Засвияжская N1","Ульяновск, Засвияжская N2","Ульяновск, Ленинская",Ульяновская,Цильнинская,Чердаклинская,Новоульяновская
"избирателей, включенных в список избирателей",1000022,6820,32793,14559,95456,25680,17823,17798,20375,29137,20066,11719,17044,10603,9875,17376,10004,13801,13109,13071,70984,84992,82842,77554,97903,96458,27217,19077,31158,14728
"изб.бюллетеней, полученных участковой избирательной комиссией",953291,6934,33710,14552,80550,25221,18060,18529,21270,26085,20600,12185,16300,9355,9638,16965,10940,13290,13570,13400,64150,77220,78600,75650,95840,90600,26860,19672,30500,13045
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",590660,4324,16567,9164,53869,16208,12603,12007,13001,17086,13832,7715,11353,6778,6223,11106,6888,8192,8839,6936,38565,48108,49403,42550,56017,55977,17273,13030,18914,8132
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",52700,695,3303,1282,3048,2592,2318,1934,2341,2349,2865,1118,1418,1160,1072,1711,1100,1070,2046,1117,2617,1697,872,2310,1735,2656,2027,2030,1683,534
"изб.бюллетеней, погашенных",309931,1915,13840,4106,23633,6421,3139,4588,5928,6650,3903,3352,3529,1417,2343,4148,2952,4028,2685,5347,22968,27415,28325,30790,38088,31967,7560,4612,9903,4379
"изб.бюллетеней, в переносных ящиках для голосования",52691,695,3303,1282,3048,2592,2318,1934,2341,2349,2865,1118,1418,1160,1072,1711,1100,1070,2046,1117,2617,1697,871,2310,1728,2656,2027,2030,1682,534
"изб.бюллетеней, в стационарных ящиках для голосования",590457,4324,16566,9163,53812,16207,12596,12007,13001,17086,13832,7715,11353,6778,6223,11102,6888,8192,8839,6934,38551,48090,49369,42538,55994,55951,17271,13030,18913,8132
"изб.бюллетеней, недействительных",7023,74,188,122,636,296,136,112,162,215,166,117,123,58,70,138,105,87,94,88,461,526,479,530,663,672,279,120,220,86
"изб.бюллетеней, действительных",636125,4945,19681,10323,56224,18503,14778,13829,15180,19220,16531,8716,12648,7880,7225,12675,7883,9175,10791,7963,40707,49261,49761,44318,57059,57935,19019,14940,20375,8580
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,3972,18,89,51,330,85,75,56,59,90,93,36,82,43,30,65,32,38,50,37,326,336,381,376,413,432,118,72,97,62
Грудинин,94809,683,3017,1633,11191,2586,1551,1474,1517,2610,1669,889,1621,892,985,2001,1186,1492,1237,1518,6318,7106,8009,6464,8611,9801,2787,1822,2830,1309
Жириновский,40028,304,1179,802,3798,1146,730,813,898,1186,821,508,1043,297,586,819,194,512,539,518,2782,3325,3187,3169,3718,3297,1195,678,1179,805
Путин,477654,3849,15036,7638,38952,14361,12208,11236,12480,14974,13719,7126,9602,6538,5478,9554,6342,6962,8812,5743,29554,36462,36157,32615,42035,41591,14482,12163,15813,6172
Собчак,7146,31,123,45,618,102,69,78,67,106,82,71,96,37,37,71,35,60,51,46,714,757,781,642,822,1127,162,77,160,79
Сурайкин,4752,28,127,93,517,113,67,96,85,127,92,44,103,39,66,63,51,58,59,48,329,452,389,341,527,385,138,74,156,85
Титов,4197,25,62,38,386,69,50,51,47,79,32,28,63,23,25,66,21,26,22,26,366,465,467,361,530,650,76,27,75,41
Явлинский,3567,7,48,23,432,41,28,25,27,48,23,14,38,11,18,36,22,27,21,27,318,358,390,350,403,652,61,27,65,27
