Хабаровский край,Сумма,Амурская,Аяно-Майская,Бикинская,Ванинская,Верхнебуреинская,Вяземская,Лазовская,Осипенковская,Комсомольская городская,Комсомольская,Нанайская,Николаевская,Охотская,Советско-Гаванская,Солнечная,Тугуро-Чумиканская,Ульчская,"Хабаровск, Железнодорожная","Хабаровск, Индустриальная","Хабаровск, Кировская","Хабаровск, Краснофлотская","Хабаровск, Центральная",Хабаровская
"избирателей, включенных в список избирателей",1009776,48110,1808,17813,25743,21649,18015,35873,4466,190563,17613,12199,24411,6530,31504,23153,1893,12852,112700,162017,42652,64706,69817,63689
"изб.бюллетеней, полученных участковой избирательной комиссией",985672,49900,2450,17535,26748,21640,18424,37500,4300,189041,19063,12800,24340,6200,30038,23780,1650,13520,112000,152493,37200,63050,60400,61600
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",3154,82,277,0,115,179,0,0,867,0,159,2,606,323,14,0,363,116,0,4,0,0,0,47
"изб.бюллетеней, выданных в помещении для голосования в день голосования",619083,27759,1147,10244,16543,12170,10027,19467,1874,122288,14085,6923,12550,3742,18239,13900,887,7303,69528,98839,27375,39336,46064,38793
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",26313,1261,60,609,659,421,666,2076,242,3403,1011,808,1123,299,656,1048,88,726,2463,2758,1306,1691,1287,1652
"изб.бюллетеней, погашенных",337120,20798,966,6682,9431,8870,7731,15957,1317,63350,3807,5067,10061,1836,11129,8832,312,5375,40009,50892,8518,22023,13049,21108
"изб.бюллетеней, в переносных ящиках для голосования",29462,1343,337,609,774,600,666,2076,1109,3403,1170,810,1729,622,670,1048,449,842,2462,2762,1306,1690,1287,1698
"изб.бюллетеней, в стационарных ящиках для голосования",618780,27756,1147,10244,16541,12164,10027,19463,1874,122137,14084,6921,12549,3740,18234,13900,887,7303,69513,98777,27363,39326,46044,38786
"изб.бюллетеней, недействительных",10969,459,17,205,335,204,143,403,49,2656,425,151,256,83,320,350,5,128,972,1563,427,643,554,621
"изб.бюллетеней, действительных",637273,28640,1467,10648,16980,12560,10550,21136,2934,122884,14829,7580,14022,4279,18584,14598,1331,8017,71003,99976,28242,40373,46777,39863
"изб.бюллетеней, утраченных",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,4612,201,5,66,98,75,63,178,21,984,73,31,96,29,136,85,11,46,525,702,278,297,387,225
Грудинин,119389,5749,125,1643,3987,2292,2150,3865,519,23864,2046,1382,2274,296,3772,2736,52,1203,13207,18823,5234,7992,8859,7319
Жириновский,60414,2999,166,1200,2001,1648,1223,2635,475,11693,1312,891,1682,548,2267,1624,118,1020,5801,8738,2097,3376,2912,3988
Путин,426385,18817,1130,7389,10397,8222,6820,13843,1816,81650,11089,5043,9551,3263,11851,9815,1133,5523,47997,66907,18952,26796,31488,26893
Собчак,11199,306,19,147,182,98,102,232,42,1854,122,93,137,66,191,132,6,86,1530,2155,729,816,1484,670
Сурайкин,4485,213,8,66,141,86,80,178,24,946,81,56,114,33,158,96,2,57,481,670,182,270,288,255
Титов,5354,184,10,69,83,87,63,106,22,912,53,47,86,23,93,53,4,49,727,998,370,425,622,268
Явлинский,5435,171,4,68,91,52,49,99,15,981,53,37,82,21,116,57,5,33,735,983,400,401,737,245
