ЦИК суммарно по России,Сумма,Республика Адыгея (Адыгея),Республика Алтай,Республика Башкортостан,Республика Бурятия,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Республика Калмыкия,Карачаево-Черкесская Республика,Республика Карелия,Республика Коми,Республика Крым,Республика Марий Эл,Республика Мордовия,Республика Саха (Якутия),Республика Северная Осетия - Алания,Республика Татарстан (Татарстан),Республика Тыва,Удмуртская Республика,Республика Хакасия,Чеченская Республика,Чувашская Республика - Чувашия,Алтайский край,Забайкальский край,Камчатский край,Краснодарский край,Красноярский край,Пермский край,Приморский край,Ставропольский край,Хабаровский край,Амурская область,Архангельская область,Астраханская область,Белгородская область,Брянская область,Владимирская область,Волгоградская область,Вологодская область,Воронежская область,Ивановская область,Иркутская область,Калининградская область,Калужская область,Кемеровская область,Кировская область,Костромская область,Курганская область,Курская область,Ленинградская область,Липецкая область,Магаданская область,Московская область,Мурманская область,Нижегородская область,Новгородская область,Новосибирская область,Омская область,Оренбургская область,Орловская область,Пензенская область,Псковская область,Ростовская область,Рязанская область,Самарская область,Саратовская область,Сахалинская область,Свердловская область,Смоленская область,Тамбовская область,Тверская область,Томская область,Тульская область,Тюменская область,Ульяновская область,Челябинская область,Ярославская область,город Москва,город Санкт-Петербург,город Севастополь,Еврейская автономная область,Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,Чукотский автономный округ,Ямало-Ненецкий автономный округ,Город Байконур (Республика Казахстан),Территория за пределами РФ
"избирателей, включенных в список избирателей",109012315,336720,158891,3045698,603265,1631826,219305,528431,201912,292031,519667,674071,1508701,536655,611857,643786,515157,2919482,175102,1185303,372528,709635,915114,1822203,790054,239045,4049575,2100869,1982962,1478748,1882304,1009776,635083,914218,736206,1218896,978509,1141236,1761088,947066,1870895,809832,1877547,799406,797897,2005066,1055239,532700,704338,923309,1331507,929445,102626,5829578,599851,2618865,502905,2159912,1535403,1518357,631300,1061806,527477,3210796,922884,2436024,1896735,374297,3345221,773021,840040,1070221,778244,1194044,1068796,1000022,2632596,1026447,7551730,3632398,339010,128844,39470,1130343,33541,370823,14575,483957
"изб.бюллетеней, полученных участковой избирательной комиссией",102936212,328666,156580,2866878,578925,1619208,209693,534343,200119,288361,501054,599737,1309349,509737,586592,611220,511210,2802989,185961,1134546,366667,695880,921852,1650783,755211,240085,3942775,2034473,1727208,1432295,1831541,985672,578918,884150,700193,1162467,950080,1066871,1768147,899455,1795296,686042,1763939,736173,762558,1945218,1005278,481521,687678,827179,1233933,862478,107633,5210945,560390,2458513,479754,2041894,1500429,1463314,620855,1037724,503638,2930263,887160,2272088,1838300,361348,3166041,739888,800893,990731,678897,1050581,1031045,953291,2438638,938364,6198108,3394221,288290,120568,33688,1095884,32298,372171,12800,1408383
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",219648,0,1186,0,4473,0,544,0,0,0,257,6602,0,0,0,17281,71,0,6476,0,356,500,0,61,3397,2009,229,8991,5520,1498,0,3154,3498,3942,432,0,0,0,0,0,0,0,178,0,0,591,96,0,0,0,55,0,2417,0,1096,403,0,0,0,381,0,0,0,0,0,0,0,3359,3210,0,0,0,2003,0,2951,0,0,0,0,1795,633,106,6116,26633,2531,41135,0,53482
"изб.бюллетеней, выданных в помещении для голосования в день голосования",68590533,235040,97103,2186576,419475,1395447,177335,467655,132523,241477,282899,384002,1024311,325463,439990,418588,438279,2155833,146485,716357,230967,642850,650661,1106745,425198,154014,2825178,1200443,1211886,867578,1224354,619083,365862,514021,417312,806610,692036,678717,1062296,572115,1059782,429677,995467,474695,500980,1535544,601182,299038,400315,526134,826203,592717,68365,3540550,387283,1595437,266259,1240320,877614,934617,400548,678998,299495,1920477,536440,1522108,1149182,215721,2003456,437716,532598,567381,439041,730170,807397,590660,1641894,606776,4353685,2248088,233869,73398,18414,745638,24193,295648,9491,403108
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",4822051,15183,4630,111258,29706,32041,1862,17453,8099,13774,14071,16512,55220,31048,36384,21196,25230,104476,11046,33586,14043,6250,46866,84824,29543,5907,327900,58181,101478,34697,165692,26313,25321,23229,27074,86165,87912,63247,137672,54878,148156,44507,50075,23320,42918,132628,60583,23308,34521,69220,64370,78115,3018,167006,9670,132168,21925,64418,51132,68462,55088,104043,45141,159301,64715,107663,112030,10059,79001,35880,72585,48898,20226,89645,33204,52700,106530,51432,172916,70251,7674,4123,579,15804,874,4008,168,18026
"изб.бюллетеней, погашенных",29303034,78443,53661,569036,125271,191631,29952,49232,59497,33110,203821,192619,229816,153226,110214,154155,47630,542680,21951,384600,121297,46222,224322,459153,297073,78155,789468,766858,408313,528518,441495,337120,184237,342958,255375,269692,170132,324907,568170,272462,587358,211858,718218,238144,218656,276445,343417,159175,252842,231825,343305,191641,33833,1503019,162339,730505,191569,737149,571681,459846,165218,254676,159002,850461,286004,642292,577062,132208,1080366,266292,195710,374450,217627,230766,187489,309931,690200,280156,1671443,1073986,46110,42941,8579,307809,4700,31380,3141,933738
"изб.бюллетеней, в переносных ящиках для голосования",5039955,15182,5816,111248,34175,32039,2406,17453,8099,13771,14327,23110,55218,31045,36384,38474,25178,104450,17370,33588,14383,6750,46862,84869,32939,7916,328098,67163,106943,36195,165689,29462,28810,27168,27487,86165,87903,63241,137609,54851,148109,44504,50251,23320,42908,133177,60679,23307,34517,69213,64423,78112,5434,166859,10763,132480,21925,64418,51130,68784,55085,104036,45139,159294,64714,107656,112026,13418,82161,35878,72582,48895,22215,89612,36153,52691,106525,51428,172493,71976,8279,4229,6695,42426,3405,45143,168,71484
"изб.бюллетеней, в стационарных ящиках для голосования",68541688,235021,97096,2185854,419428,1394887,177335,467107,132520,241300,282638,383805,1024077,325349,439864,418450,438139,2154215,146570,716290,230865,642632,650552,1106390,425096,153948,2823875,1199820,1210963,866873,1222888,618780,365743,513794,417239,806269,691575,678160,1061051,571512,1059561,429535,995267,474255,500732,1532543,601078,298970,400269,526060,825903,592645,68345,3536654,387044,1594498,266137,1239841,877350,934198,400486,678602,299422,1918992,536362,1520840,1148504,215637,2003002,437492,532409,567046,438713,728766,806945,590457,1641126,606512,4346895,2241482,233777,73381,18412,745474,24186,295540,9491,402882
"изб.бюллетеней, недействительных",791267,2647,974,18506,5980,6265,710,628,1790,1101,3656,5908,11395,3146,3549,4636,3470,18045,1160,9308,2986,2497,9763,14203,5767,1920,26090,14327,18203,14571,13559,10969,5383,4880,4340,8749,7177,9351,10850,6090,9435,4663,11545,5627,6425,10657,7455,3048,3873,5207,10539,6225,1108,48175,4915,15107,3448,16625,12487,10938,4670,6740,3165,18200,5756,21460,10736,3942,27282,5399,5652,6027,5307,8333,7152,7023,27234,6636,66275,28951,2040,1331,267,10824,293,2616,104,5801
"изб.бюллетеней, действительных",72790376,247556,101938,2278596,447623,1420661,179031,483932,138829,253970,293309,401007,1067900,353248,472699,452288,459847,2240620,162780,740570,242262,646885,687651,1177056,452268,159944,3125883,1252656,1299703,888497,1375018,637273,389170,536082,440386,883685,772301,732050,1187810,620273,1198235,469376,1033973,491948,537215,1655063,654302,319229,430913,590066,879787,664532,72671,3655338,392892,1711871,284614,1287634,915993,992044,450901,775898,341396,2060086,595320,1607036,1249794,225113,2057881,467971,599339,609914,455621,810045,835946,636125,1720417,651304,4453113,2284507,240016,76279,24840,777076,27298,338067,9555,468565
