Челябинская область,Сумма,Агаповская,Аргаяшская,Ашинская городская,Брединская,Варненская,Верхнеуральская,Верхнеуфалейская городская,Еманжелинская,Еткульская,Златоустовская городская,Карабашская городская,Локомотивная поселковая,Карталинская,Каслинская,Снежинская городская,Катав-Ивановская,Трехгорная городская,Кизильская,Копейская городская,Коркинская городская,Красноармейская,Кунашакская,Кусинская,Кыштымская городская,Озерская городская,"Магнитогорск, Ленинская","Магнитогорск, Орджоникидзевская","Магнитогорск, Правобережная",Миасская городская,Нагайбакская,Нязепетровская,Октябрьская,Пластовская,Саткинская,Сосновская,Троицкая городская,Увельская,Уйская,Усть-Катавская городская,Чебаркульская городская,"Челябинск, Калининская","Челябинск, Курчатовская","Челябинск, Ленинская","Челябинск, Металлургическая","Челябинск, Советская","Челябинск, Тракторозаводская","Челябинск, Центральная",Чесменская,Южноуральская городская,Троицкая,Чебаркульская
"избирателей, включенных в список избирателей",2632596,25491,32147,47484,20845,21371,28530,25783,36432,21555,123379,9614,3700,34663,26358,40969,25235,25760,17356,110365,46986,32760,21607,21348,29973,72825,74507,153835,83019,134749,15270,14222,15475,19471,57882,56179,49153,23974,17436,19700,36801,158994,159708,139183,101430,107224,128885,77776,13819,28591,21182,21595
"изб.бюллетеней, полученных участковой избирательной комиссией",2438638,24430,32217,46290,20340,19140,26738,24400,31150,21700,93222,7560,3750,34860,23612,40200,24290,24562,18400,108000,46650,32042,21940,21450,29540,68700,65477,143700,74541,130700,16335,13500,14890,16865,50437,48340,47444,24215,18060,18445,33312,151234,138500,132450,96000,95100,116734,68463,12838,24300,20358,21217
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",1641894,16468,20977,28240,11394,14038,17525,15564,21824,13402,71014,5925,2118,19399,14924,28726,16211,18237,10660,66347,27634,19436,12885,12445,18518,46346,49782,100974,55824,80665,11015,7836,10788,13195,37711,34130,31006,16583,11425,12961,23468,99114,99727,85050,63177,66156,77979,47672,9105,18766,13032,14496
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",106530,1635,1332,1729,833,1457,1892,1509,1619,875,4266,531,105,1544,1572,933,957,660,1782,4512,1721,1638,1092,1140,1367,1561,3323,5205,3728,3152,1287,1128,1113,1429,2715,2514,5129,1133,1603,1014,1094,5764,4200,5366,3604,2586,3264,2714,887,1072,1831,1413
"изб.бюллетеней, погашенных",690200,6327,9908,16321,8113,3645,7321,7327,7707,7423,17938,1104,1527,13917,7116,10541,7122,5665,5958,37141,17295,10968,7963,7865,9655,20793,12371,37521,14989,46881,4033,4536,2989,2241,10011,11696,11309,6499,5031,4470,8748,46355,34572,42034,29219,26359,35491,18075,2846,4461,5495,5308
"изб.бюллетеней, в переносных ящиках для голосования",106525,1635,1332,1729,833,1457,1892,1509,1619,875,4266,531,105,1544,1572,933,957,660,1782,4512,1721,1637,1092,1140,1367,1561,3324,5205,3728,3151,1287,1128,1113,1429,2715,2516,5129,1133,1603,1014,1094,5764,4200,5366,3604,2586,3259,2713,887,1072,1831,1413
"изб.бюллетеней, в стационарных ящиках для голосования",1641126,16468,20977,28240,11393,14038,17525,15563,21822,13401,71004,5925,2115,19399,14912,28717,16210,18229,10654,66333,27632,19434,12885,12441,18518,46334,49740,100955,55798,80643,11015,7836,10787,13192,37709,34117,31000,16583,11423,12961,23439,98813,99702,85011,63170,66112,77964,47592,9103,18766,13031,14495
"изб.бюллетеней, недействительных",27234,273,283,510,157,181,285,257,365,182,1339,97,42,327,232,409,319,277,126,1103,499,258,182,189,275,812,990,2041,1158,1447,129,95,193,259,779,531,548,214,184,282,416,1533,1467,1092,1108,1001,1331,656,159,263,185,194
"изб.бюллетеней, действительных",1720417,17830,22026,29459,12069,15314,19132,16815,23076,14094,73931,6359,2178,20616,16252,29241,16848,18612,12310,69742,28854,20813,13795,13392,19610,47083,52074,104119,58368,82347,12173,8869,11707,14362,39645,36102,35581,17502,12842,13693,24117,103044,102435,89285,65666,67697,79892,49649,9831,19575,14677,15714
"изб.бюллетеней, утраченных",16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,2,0,1,0,0
"изб.бюллетеней, не учтенных при получении",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Бабурин,13468,95,120,204,54,73,116,130,145,73,677,54,13,110,110,210,150,172,61,526,195,133,67,96,161,392,432,846,501,752,50,73,62,89,300,217,248,82,53,132,151,1035,853,747,544,685,631,509,45,137,74,83
Грудинин,227134,2609,3262,3895,1885,2604,3182,2312,3033,1657,9651,633,331,3091,2010,2961,2675,2449,1539,7602,4456,2258,2035,2124,2197,5709,7525,15344,7954,9920,1838,1453,1354,1754,5623,4474,5422,2414,1745,2451,2901,12916,13579,10414,7832,8824,9893,6888,1996,2747,2074,1639
