Чеченская Республика,Сумма,Аргунская городская,Ачхой-Мартановская,Веденская,Грозненская,"Грозный, Заводская","Грозный, Ленинская","Грозный, Октябрьская","Грозный, Старопромысловская",Гудермесская,Итум-Калинская,Курчалоевская,Надтеречная,Наурская,Ножай-Юртовская,Сунженская,Урус-Мартановская,Шалинская,Шаройская,Шатойская,Шелковская
"избирателей, включенных в список избирателей",709635,18135,40396,19232,67050,30430,49084,42997,39916,83081,4313,43800,35946,32568,28903,11035,66830,52904,1913,8800,32302
"изб.бюллетеней, полученных участковой избирательной комиссией",695880,17650,39250,18700,65400,29700,48500,42096,38834,82490,4300,43210,35300,31900,28450,10800,65700,51600,1900,8600,31500
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",642850,16841,38451,17837,63007,23730,33532,33890,31711,79285,4095,41812,33912,30995,28008,10399,63867,50655,1639,8297,30887
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",6250,354,314,501,990,135,192,668,143,406,51,322,274,256,158,141,425,437,39,124,320
"изб.бюллетеней, погашенных",46222,455,485,362,1403,5793,14775,7017,6986,2799,154,1076,1114,649,284,260,1408,508,222,179,293
"изб.бюллетеней, в переносных ящиках для голосования",6750,354,314,501,990,135,192,1168,143,406,51,322,274,256,158,141,425,437,39,124,320
"изб.бюллетеней, в стационарных ящиках для голосования",642632,16841,38451,17837,63007,23557,33525,33890,31698,79285,4095,41787,33912,30995,28008,10399,63867,50655,1639,8297,30887
"изб.бюллетеней, недействительных",2497,61,55,63,65,265,507,338,271,266,18,90,229,34,49,12,59,54,10,22,29
"изб.бюллетеней, действительных",646885,17134,38710,18275,63932,23427,33210,34720,31570,79425,4128,42019,33957,31217,28117,10528,64233,51038,1668,8399,31178
"изб.бюллетеней, утраченных",73,0,0,0,0,42,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",15,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,7679,209,463,182,951,244,436,519,309,860,49,376,290,381,393,125,922,585,16,92,277
Грудинин,30012,770,1354,603,2231,2476,3715,2767,2698,3272,178,1177,2281,1161,820,275,2169,820,60,390,795
Жириновский,1631,58,81,74,210,96,76,89,150,128,37,39,82,128,69,27,70,59,3,13,142
Путин,593806,15769,36512,17216,59814,19411,27528,29959,26998,74511,3724,40059,30851,28685,26579,9793,59782,48279,1455,7795,29086
Собчак,3531,59,63,58,136,553,478,414,499,271,15,40,244,102,56,65,231,191,16,11,29
Сурайкин,2093,65,37,29,99,114,212,197,237,83,25,65,57,197,44,53,237,105,23,8,206
Титов,3285,94,87,67,279,197,243,312,303,134,37,131,37,201,63,72,391,257,36,44,300
Явлинский,4848,110,113,46,212,336,522,463,376,166,63,132,115,362,93,118,431,742,59,46,343
